sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2022-23,2021-22,1,38,5,false,1965,1987,44,8,51.71052631578947,52.28947368421053,,,,,,,1993,52.44736842105263,1738,45.73684210526316,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2023-24,2022-23,1,38,5,false,2233,1809,37,1,58.76315789473684,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2024-25,2023-24,1,38,5,false,2218,1847,35,2,58.36842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2025-26,2024-25,1,38,5,false,2134,1514,36,2,56.1578947368421,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2022-23,2021-22,6,33,5,false,1781,1692,37,7,53.96969696969697,51.27272727272727,,,,,,,1635,49.54545454545455,1507,45.666666666666664,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2023-24,2022-23,6,33,5,false,2077,1662,33,2,62.93939393939394,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2024-25,2023-24,6,33,5,false,1940,1762,33,4,58.78787878787879,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2025-26,2024-25,6,33,5,false,1865,1742,31,3,56.515151515151516,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2022-23,2021-22,11,28,5,false,1590,1538,33,7,56.785714285714285,54.92857142857143,,,,,,,1444,51.57142857142857,1358,48.5,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2023-24,2022-23,11,28,5,false,1710,1424,27,1,61.07142857142857,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2024-25,2023-24,11,28,5,false,1776,1704,26,1,63.42857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2025-26,2024-25,11,28,5,false,1525,1489,24,0,54.464285714285715,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2022-23,2021-22,16,23,5,false,1312,1207,26,6,57.04347826086956,52.47826086956522,,,,,,,1156,50.26086956521739,1043,45.34782608695652,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2023-24,2022-23,16,23,5,false,1450,1077,22,1,63.04347826086956,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2024-25,2023-24,16,23,5,false,1401,1336,23,2,60.91304347826087,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2025-26,2024-25,16,23,5,false,1339,1288,23,3,58.21739130434783,56,,,,,,,1289,56.04347826086956,1127,49,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2022-23,2021-22,21,18,5,false,1088,1118,17,3,60.44444444444444,62.111111111111114,,,,,,,1121,62.27777777777778,980,54.44444444444444,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2023-24,2022-23,21,18,5,false,1199,909,17,1,66.61111111111111,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2024-25,2023-24,21,18,5,false,1081,1047,15,1,60.05555555555556,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2025-26,2024-25,21,18,5,false,1049,950,15,1,58.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2022-23,2021-22,26,13,5,false,865,815,10,0,66.53846153846153,62.69230769230769,,,,,,,818,62.92307692307692,710,54.61538461538461,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2023-24,2022-23,26,13,5,false,816,620,11,0,62.76923076923077,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2024-25,2023-24,26,13,5,false,732,710,9,0,56.30769230769231,54.61538461538461,,,,,,,710,54.61538461538461,637,49,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,real prices (ships),0,true,2025-26,2024-25,26,13,5,false,725,740,11,1,55.76923076923077,56.92307692307692,,,,,,,741,57,639,49.15384615384615,-,none
TestDiagPriceTimingSignificance#1,1786396764-50576,ORACLE[info:prices] perfect timing,1,false,2022-23,2021-22,1,38,5,false,2012,1987,42,8,52.94736842105263,52.28947368421053,,,,,,,1993,52.44736842105263,1738,45.73684210526316,info:prices,info
TestDiagPriceTimingSignificance#1,1786396764-50576,ORACLE[info:prices] perfect timing,1,false,2023-24,2022-23,1,38,5,false,2313,1809,37,1,60.86842105263158,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,info:prices,info
TestDiagPriceTimingSignificance#1,1786396764-50576,ORACLE[info:prices] perfect timing,1,false,2024-25,2023-24,1,38,5,false,2397,1847,39,3,63.078947368421055,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,info:prices,info
TestDiagPriceTimingSignificance#1,1786396764-50576,ORACLE[info:prices] perfect timing,1,false,2025-26,2024-25,1,38,5,false,2169,1514,37,3,57.078947368421055,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,info:prices,info
TestDiagPriceTimingSignificance#1,1786396764-50576,ORACLE[info:prices] perfect timing,1,false,2022-23,2021-22,6,33,5,false,1780,1692,39,9,53.93939393939394,51.27272727272727,,,,,,,1635,49.54545454545455,1507,45.666666666666664,info:prices,info
TestDiagPriceTimingSignificance#1,1786396764-50576,ORACLE[info:prices] perfect timing,1,false,2023-24,2022-23,6,33,5,false,2072,1662,32,1,62.78787878787879,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,info:prices,info
TestDiagPriceTimingSignificance#1,1786396764-50576,ORACLE[info:prices] perfect timing,1,false,2024-25,2023-24,6,33,5,false,1900,1762,32,3,57.57575757575758,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,info:prices,info
TestDiagPriceTimingSignificance#1,1786396764-50576,ORACLE[info:prices] perfect timing,1,false,2025-26,2024-25,6,33,5,false,1865,1742,31,3,56.515151515151516,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,info:prices,info
TestDiagPriceTimingSignificance#1,1786396764-50576,ORACLE[info:prices] perfect timing,1,false,2022-23,2021-22,11,28,5,false,1579,1538,34,8,56.392857142857146,54.92857142857143,,,,,,,1444,51.57142857142857,1358,48.5,info:prices,info
TestDiagPriceTimingSignificance#1,1786396764-50576,ORACLE[info:prices] perfect timing,1,false,2023-24,2022-23,11,28,5,false,1710,1424,27,1,61.07142857142857,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,info:prices,info
TestDiagPriceTimingSignificance#1,1786396764-50576,ORACLE[info:prices] perfect timing,1,false,2024-25,2023-24,11,28,5,false,1844,1704,24,1,65.85714285714286,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,info:prices,info
TestDiagPriceTimingSignificance#1,1786396764-50576,ORACLE[info:prices] perfect timing,1,false,2025-26,2024-25,11,28,5,false,1485,1489,26,1,53.035714285714285,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,info:prices,info
TestDiagPriceTimingSignificance#1,1786396764-50576,ORACLE[info:prices] perfect timing,1,false,2022-23,2021-22,16,23,5,false,1307,1207,25,6,56.82608695652174,52.47826086956522,,,,,,,1156,50.26086956521739,1043,45.34782608695652,info:prices,info
