sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2020-21,2019-20,1,38,5,false,2110,1643,38,3,55.526315789473685,43.23684210526316,,,,,,,1648,43.36842105263158,1408,37.05263157894737,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2021-22,2020-21,1,38,5,false,2047,1824,38,3,53.86842105263158,48,,,,,,,1844,48.526315789473685,1549,40.76315789473684,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2022-23,2021-22,1,38,5,false,1965,1987,44,8,51.71052631578947,52.28947368421053,,,,,,,1993,52.44736842105263,1738,45.73684210526316,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2023-24,2022-23,1,38,5,false,2233,1809,37,1,58.76315789473684,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2024-25,2023-24,1,38,5,false,2218,1847,35,2,58.36842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2025-26,2024-25,1,38,5,false,2134,1514,36,2,56.1578947368421,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2020-21,2019-20,6,33,5,false,1748,1501,31,2,52.96969696969697,45.484848484848484,,,,,,,1500,45.45454545454545,1314,39.81818181818182,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2021-22,2020-21,6,33,5,false,1768,1592,38,7,53.57575757575758,48.24242424242424,,,,,,,1614,48.90909090909091,1369,41.484848484848484,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2022-23,2021-22,6,33,5,false,1781,1692,37,7,53.96969696969697,51.27272727272727,,,,,,,1635,49.54545454545455,1507,45.666666666666664,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2023-24,2022-23,6,33,5,false,2077,1662,33,2,62.93939393939394,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2024-25,2023-24,6,33,5,false,1940,1762,33,4,58.78787878787879,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2025-26,2024-25,6,33,5,false,1865,1742,31,3,56.515151515151516,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2020-21,2019-20,11,28,5,false,1560,1466,29,3,55.714285714285715,52.357142857142854,,,,,,,1476,52.714285714285715,1291,46.107142857142854,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2021-22,2020-21,11,28,5,false,1514,1476,34,8,54.07142857142857,52.714285714285715,,,,,,,1464,52.285714285714285,1276,45.57142857142857,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2022-23,2021-22,11,28,5,false,1590,1538,33,7,56.785714285714285,54.92857142857143,,,,,,,1444,51.57142857142857,1358,48.5,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2023-24,2022-23,11,28,5,false,1710,1424,27,1,61.07142857142857,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2024-25,2023-24,11,28,5,false,1776,1704,26,1,63.42857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2025-26,2024-25,11,28,5,false,1525,1489,24,0,54.464285714285715,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2020-21,2019-20,16,23,5,false,1293,1185,21,2,56.21739130434783,51.52173913043478,,,,,,,1151,50.04347826086956,1038,45.130434782608695,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2021-22,2020-21,16,23,5,false,1310,1334,25,4,56.95652173913044,58,,,,,,,1313,57.08695652173913,1179,51.26086956521739,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2022-23,2021-22,16,23,5,false,1312,1207,26,6,57.04347826086956,52.47826086956522,,,,,,,1156,50.26086956521739,1043,45.34782608695652,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2023-24,2022-23,16,23,5,false,1450,1077,22,1,63.04347826086956,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2024-25,2023-24,16,23,5,false,1401,1336,23,2,60.91304347826087,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2025-26,2024-25,16,23,5,false,1339,1288,23,3,58.21739130434783,56,,,,,,,1289,56.04347826086956,1127,49,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2020-21,2019-20,21,18,5,false,1097,1000,14,0,60.94444444444444,55.55555555555556,,,,,,,1018,56.55555555555556,900,50,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2021-22,2020-21,21,18,5,false,1067,1037,20,4,59.27777777777778,57.611111111111114,,,,,,,1007,55.94444444444444,900,50,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2022-23,2021-22,21,18,5,false,1088,1118,17,3,60.44444444444444,62.111111111111114,,,,,,,1121,62.27777777777778,980,54.44444444444444,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2023-24,2022-23,21,18,5,false,1199,909,17,1,66.61111111111111,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2024-25,2023-24,21,18,5,false,1081,1047,15,1,60.05555555555556,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2025-26,2024-25,21,18,5,false,1049,950,15,1,58.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2020-21,2019-20,26,13,5,false,734,660,9,0,56.46153846153846,50.76923076923077,,,,,,,663,51,596,45.84615384615385,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2021-22,2020-21,26,13,5,false,807,675,12,1,62.07692307692308,51.92307692307692,,,,,,,676,52,592,45.53846153846154,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2022-23,2021-22,26,13,5,false,865,815,10,0,66.53846153846153,62.69230769230769,,,,,,,818,62.92307692307692,710,54.61538461538461,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2023-24,2022-23,26,13,5,false,816,620,11,0,62.76923076923077,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2024-25,2023-24,26,13,5,false,732,710,9,0,56.30769230769231,54.61538461538461,,,,,,,710,54.61538461538461,637,49,-,none
ORACLETEAMNEWS#1,1786546398-356672,real (ships),0,true,2025-26,2024-25,26,13,5,false,725,740,11,1,55.76923076923077,56.92307692307692,,,,,,,741,57,639,49.15384615384615,-,none
ORACLETEAMNEWS#1,1786546398-356672,ORACLE[info:teamnews] real flags at each deadline,1,false,2020-21,2019-20,1,38,5,false,2120,1649,41,5,55.78947368421053,43.39473684210526,,,,,,,1648,43.36842105263158,1408,37.05263157894737,info:teamnews,info
ORACLETEAMNEWS#1,1786546398-356672,ORACLE[info:teamnews] real flags at each deadline,1,false,2021-22,2020-21,1,38,5,false,2063,1846,44,7,54.28947368421053,48.578947368421055,,,,,,,1873,49.28947368421053,1578,41.526315789473685,info:teamnews,info
ORACLETEAMNEWS#1,1786546398-356672,ORACLE[info:teamnews] real flags at each deadline,1,false,2022-23,2021-22,1,38,5,false,2004,1988,45,8,52.73684210526316,52.31578947368421,,,,,,,1994,52.473684210526315,1739,45.76315789473684,info:teamnews,info
ORACLETEAMNEWS#1,1786546398-356672,ORACLE[info:teamnews] real flags at each deadline,1,false,2023-24,2022-23,1,38,5,false,2320,1940,43,7,61.05263157894737,51.05263157894737,,,,,,,1895,49.86842105263158,1684,44.31578947368421,info:teamnews,info
ORACLETEAMNEWS#1,1786546398-356672,ORACLE[info:teamnews] real flags at each deadline,1,false,2024-25,2023-24,1,38,5,false,2465,1856,45,9,64.86842105263158,48.8421052631579,,,,,,,1825,48.026315789473685,1643,43.23684210526316,info:teamnews,info
ORACLETEAMNEWS#1,1786546398-356672,ORACLE[info:teamnews] real flags at each deadline,1,false,2025-26,2024-25,1,38,5,false,2169,1592,40,5,57.078947368421055,41.89473684210526,,,,,,,1600,42.10526315789474,1446,38.05263157894737,info:teamnews,info
ORACLETEAMNEWS#1,1786546398-356672,ORACLE[info:teamnews] real flags at each deadline,1,false,2020-21,2019-20,6,33,5,false,1867,1698,41,10,56.57575757575758,51.45454545454545,,,,,,,1696,51.39393939393939,1504,45.57575757575758,info:teamnews,info
ORACLETEAMNEWS#1,1786546398-356672,ORACLE[info:teamnews] real flags at each deadline,1,false,2021-22,2020-21,6,33,5,false,1819,1609,41,9,55.121212121212125,48.75757575757576,,,,,,,1608,48.72727272727273,1363,41.303030303030305,info:teamnews,info
ORACLETEAMNEWS#1,1786546398-356672,ORACLE[info:teamnews] real flags at each deadline,1,false,2022-23,2021-22,6,33,5,false,1742,1692,37,5,52.78787878787879,51.27272727272727,,,,,,,1636,49.57575757575758,1507,45.666666666666664,info:teamnews,info
ORACLETEAMNEWS#1,1786546398-356672,ORACLE[info:teamnews] real flags at each deadline,1,false,2023-24,2022-23,6,33,5,false,2087,1680,37,6,63.24242424242424,50.90909090909091,,,,,,,1654,50.121212121212125,1436,43.515151515151516,info:teamnews,info
