figure,value
harness.mde.present,false
stamp.commit,88b5e7fa6252
stamp.dirty,false
model.present,true
model.calibration_drift.model_built_through_gw4.predicted,2.9276
model.calibration_drift.model_built_through_gw4.actual,2.7968
model.calibration_drift.model_built_through_gw4.ratio,0.9553
model.calibration_drift.model_built_through_gw4.bias,-0.1308
model.calibration_drift.model_built_through_gw4.mean_absolute_error,1.3384
model.calibration_drift.model_built_through_gw8.predicted,2.9246
model.calibration_drift.model_built_through_gw8.actual,2.9254
model.calibration_drift.model_built_through_gw8.ratio,1.0003
model.calibration_drift.model_built_through_gw8.bias,0.0009
model.calibration_drift.model_built_through_gw8.mean_absolute_error,1.3187
model.calibration_drift.model_built_through_gw12.predicted,2.9543
model.calibration_drift.model_built_through_gw12.actual,2.9038
model.calibration_drift.model_built_through_gw12.ratio,0.9829
model.calibration_drift.model_built_through_gw12.bias,-0.0505
model.calibration_drift.model_built_through_gw12.mean_absolute_error,1.3787
model.calibration_drift.model_built_through_gw16.predicted,3.2575
model.calibration_drift.model_built_through_gw16.actual,2.8061
model.calibration_drift.model_built_through_gw16.ratio,0.8614
model.calibration_drift.model_built_through_gw16.bias,-0.4515
model.calibration_drift.model_built_through_gw16.mean_absolute_error,1.5491
model.calibration_drift.model_built_through_gw20.predicted,3.1555
model.calibration_drift.model_built_through_gw20.actual,3.0064
model.calibration_drift.model_built_through_gw20.ratio,0.9528
model.calibration_drift.model_built_through_gw20.bias,-0.1491
model.calibration_drift.model_built_through_gw20.mean_absolute_error,1.4665
model.calibration_drift.model_built_through_gw24.predicted,3.1251
model.calibration_drift.model_built_through_gw24.actual,2.9960
model.calibration_drift.model_built_through_gw24.ratio,0.9587
model.calibration_drift.model_built_through_gw24.bias,-0.1291
model.calibration_drift.model_built_through_gw24.mean_absolute_error,1.4232
model.calibration_drift.model_built_through_gw28.predicted,3.0715
model.calibration_drift.model_built_through_gw28.actual,2.8315
model.calibration_drift.model_built_through_gw28.ratio,0.9219
model.calibration_drift.model_built_through_gw28.bias,-0.2400
model.calibration_drift.model_built_through_gw28.mean_absolute_error,1.3840
model.calibration_drift.model_built_through_gw32.predicted,3.0430
model.calibration_drift.model_built_through_gw32.actual,3.1451
model.calibration_drift.model_built_through_gw32.ratio,1.0335
model.calibration_drift.model_built_through_gw32.bias,0.1021
model.calibration_drift.model_built_through_gw32.mean_absolute_error,1.4282
model.clean_sheet_calibration.clean_sheet_rate_all_team_matches_pooled.predicted,0.3000
model.clean_sheet_calibration.clean_sheet_rate_all_team_matches_pooled.actual,0.2404
model.clean_sheet_calibration.clean_sheet_rate_all_team_matches_pooled.error,0.0596
model.clean_sheet_calibration.clean_sheet_rate_all_team_matches_pooled.points_per_match_for_a_defender,0.2383
model.clean_sheet_calibration.expected_against_actual_goals_conceded.predicted,1.5061
model.clean_sheet_calibration.expected_against_actual_goals_conceded.actual,1.5274
model.clean_sheet_calibration.expected_against_actual_goals_conceded.error,-0.0213
model.defcon_bias.defenders_lowest_third_by_defcon_rate.defcon_actions_per_90,5.6688
model.defcon_bias.defenders_lowest_third_by_defcon_rate.term,0.1532
model.defcon_bias.defenders_lowest_third_by_defcon_rate.bias,0.2344
model.defcon_bias.defenders_lowest_third_by_defcon_rate.bias_plus_term,0.3876
model.defcon_bias.defenders_lowest_third_by_defcon_rate.bonus_per_90,0.2075
model.defcon_bias.defenders_middle_by_defcon_rate.defcon_actions_per_90,7.5567
model.defcon_bias.defenders_middle_by_defcon_rate.term,0.4667
model.defcon_bias.defenders_middle_by_defcon_rate.bias,0.2128
model.defcon_bias.defenders_middle_by_defcon_rate.bias_plus_term,0.6795
model.defcon_bias.defenders_middle_by_defcon_rate.bonus_per_90,0.2062
model.defcon_bias.defenders_highest_third_by_defcon_rate.defcon_actions_per_90,9.9459
model.defcon_bias.defenders_highest_third_by_defcon_rate.term,1.0551
model.defcon_bias.defenders_highest_third_by_defcon_rate.bias,-0.3105
model.defcon_bias.defenders_highest_third_by_defcon_rate.bias_plus_term,0.7445
model.defcon_bias.defenders_highest_third_by_defcon_rate.bonus_per_90,0.2777
model.defcon_bias.midfielders_lowest_third_by_defcon_rate.defcon_actions_per_90,5.7524
model.defcon_bias.midfielders_lowest_third_by_defcon_rate.term,0.0476
