sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2022-23,2021-22,1,38,5,false,2080,1694,43,9,54.73684210526316,44.578947368421055,,,,,,,1640,43.1578947368421,1461,38.44736842105263,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2023-24,2022-23,1,38,5,false,2254,1809,37,1,59.31578947368421,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2024-25,2023-24,1,38,5,false,2275,1847,35,2,59.86842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2025-26,2024-25,1,38,5,false,2126,1514,36,2,55.94736842105263,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2022-23,2021-22,6,33,5,false,1840,1619,33,3,55.75757575757576,49.06060606060606,,,,,,,1534,46.484848484848484,1413,42.81818181818182,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2023-24,2022-23,6,33,5,false,2082,1662,33,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2024-25,2023-24,6,33,5,false,1954,1762,33,4,59.21212121212121,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2025-26,2024-25,6,33,5,false,1904,1742,31,3,57.696969696969695,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2022-23,2021-22,11,28,5,false,1684,1541,22,1,60.142857142857146,55.035714285714285,,,,,,,1550,55.357142857142854,1374,49.07142857142857,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2023-24,2022-23,11,28,5,false,1732,1424,27,1,61.857142857142854,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2025-26,2024-25,11,28,5,false,1547,1489,24,0,55.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2022-23,2021-22,16,23,5,false,1412,1239,23,4,61.391304347826086,53.869565217391305,,,,,,,1260,54.78260869565217,1095,47.608695652173914,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2023-24,2022-23,16,23,5,false,1455,1077,22,1,63.26086956521739,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2024-25,2023-24,16,23,5,false,1409,1336,23,2,61.26086956521739,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2025-26,2024-25,16,23,5,false,1350,1288,23,3,58.69565217391305,56,,,,,,,1289,56.04347826086956,1127,49,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2022-23,2021-22,21,18,5,false,1176,1115,15,1,65.33333333333333,61.94444444444444,,,,,,,1134,63,1002,55.666666666666664,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2023-24,2022-23,21,18,5,false,1215,909,17,1,67.5,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2024-25,2023-24,21,18,5,false,1076,1047,15,1,59.77777777777778,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2025-26,2024-25,21,18,5,false,1067,950,15,1,59.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,-,none
FIXW#1,1786594836-505521,fixture weight 0.65 (ships),0,true,2022-23,2021-22,26,13,5,false,834,824,10,0,64.15384615384616,63.38461538461539,,,,,,,843,64.84615384615384,752,57.84615384615385,-,none
