sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2022-23,2021-22,1,38,5,false,2058,1842,38,2,54.1578947368421,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2023-24,2022-23,1,38,5,false,2254,1809,37,1,59.31578947368421,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2024-25,2023-24,1,38,5,false,2275,1847,35,2,59.86842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2025-26,2024-25,1,38,5,false,2126,1514,36,2,55.94736842105263,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2022-23,2021-22,6,33,5,false,1820,1563,31,1,55.15151515151515,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2023-24,2022-23,6,33,5,false,2082,1662,33,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2024-25,2023-24,6,33,5,false,1954,1762,33,4,59.21212121212121,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2025-26,2024-25,6,33,5,false,1904,1742,31,3,57.696969696969695,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2022-23,2021-22,11,28,5,false,1578,1548,30,4,56.357142857142854,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2023-24,2022-23,11,28,5,false,1732,1424,27,1,61.857142857142854,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2025-26,2024-25,11,28,5,false,1547,1489,24,0,55.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2022-23,2021-22,16,23,5,false,1361,1106,23,2,59.17391304347826,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2023-24,2022-23,16,23,5,false,1455,1077,22,1,63.26086956521739,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2024-25,2023-24,16,23,5,false,1409,1336,23,2,61.26086956521739,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2025-26,2024-25,16,23,5,false,1350,1288,23,3,58.69565217391305,56,,,,,,,1289,56.04347826086956,1127,49,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2022-23,2021-22,21,18,5,false,1202,1181,14,0,66.77777777777777,65.61111111111111,,,,,,,1171,65.05555555555556,1032,57.333333333333336,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2023-24,2022-23,21,18,5,false,1215,909,17,1,67.5,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2024-25,2023-24,21,18,5,false,1076,1047,15,1,59.77777777777778,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2025-26,2024-25,21,18,5,false,1067,950,15,1,59.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2022-23,2021-22,26,13,5,false,922,812,11,0,70.92307692307692,62.46153846153846,,,,,,,808,62.15384615384615,696,53.53846153846154,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2023-24,2022-23,26,13,5,false,827,620,11,0,63.61538461538461,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2024-25,2023-24,26,13,5,false,737,710,9,0,56.69230769230769,54.61538461538461,,,,,,,710,54.61538461538461,637,49,-,none
FIXW#1,1786594825-505254,fixture weight 0.65 (ships),0,true,2025-26,2024-25,26,13,5,false,767,761,9,0,59,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,-,none
FIXW#1,1786594825-505254,fixture weight 0.00,1,false,2022-23,2021-22,1,38,5,false,2130,1734,39,3,56.05263157894737,45.63157894736842,,,,,,,1737,45.71052631578947,1474,38.78947368421053,-,none
FIXW#1,1786594825-505254,fixture weight 0.00,1,false,2023-24,2022-23,1,38,5,false,2257,1773,41,5,59.39473684210526,46.6578947368421,,,,,,,1760,46.31578947368421,1549,40.76315789473684,-,none
FIXW#1,1786594825-505254,fixture weight 0.00,1,false,2024-25,2023-24,1,38,5,false,2335,1847,36,2,61.44736842105263,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
FIXW#1,1786594825-505254,fixture weight 0.00,1,false,2025-26,2024-25,1,38,5,false,2140,1514,36,2,56.31578947368421,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
FIXW#1,1786594825-505254,fixture weight 0.00,1,false,2022-23,2021-22,6,33,5,false,1725,1556,32,2,52.27272727272727,47.15151515151515,,,,,,,1506,45.63636363636363,1377,41.72727272727273,-,none
FIXW#1,1786594825-505254,fixture weight 0.00,1,false,2023-24,2022-23,6,33,5,false,1887,1724,38,6,57.18181818181818,52.24242424242424,,,,,,,1713,51.90909090909091,1495,45.303030303030305,-,none
FIXW#1,1786594825-505254,fixture weight 0.00,1,false,2024-25,2023-24,6,33,5,false,1975,1778,33,3,59.84848484848485,53.878787878787875,,,,,,,1675,50.75757575757576,1519,46.03030303030303,-,none
