sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
MINHL#1,1786593792-502587,shipped (baseline),0,true,2022-23,2021-22,1,38,5,false,2002,1682,42,6,52.68421052631579,44.26315789473684,,,,,,,1645,43.28947368421053,1466,38.578947368421055,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2023-24,2022-23,1,38,5,false,2254,1809,37,1,59.31578947368421,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2024-25,2023-24,1,38,5,false,2275,1847,35,2,59.86842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2025-26,2024-25,1,38,5,false,2126,1514,36,2,55.94736842105263,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2022-23,2021-22,6,33,5,false,1775,1580,38,7,53.78787878787879,47.878787878787875,,,,,,,1466,44.42424242424242,1389,42.09090909090909,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2023-24,2022-23,6,33,5,false,2082,1662,33,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2024-25,2023-24,6,33,5,false,1954,1762,33,4,59.21212121212121,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2025-26,2024-25,6,33,5,false,1904,1742,31,3,57.696969696969695,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2022-23,2021-22,11,28,5,false,1659,1571,31,5,59.25,56.107142857142854,,,,,,,1510,53.92857142857143,1385,49.464285714285715,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2023-24,2022-23,11,28,5,false,1732,1424,27,1,61.857142857142854,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2025-26,2024-25,11,28,5,false,1547,1489,24,0,55.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2022-23,2021-22,16,23,5,false,1327,1193,26,6,57.69565217391305,51.869565217391305,,,,,,,1224,53.21739130434783,1067,46.391304347826086,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2023-24,2022-23,16,23,5,false,1455,1077,22,1,63.26086956521739,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2024-25,2023-24,16,23,5,false,1409,1336,23,2,61.26086956521739,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2025-26,2024-25,16,23,5,false,1350,1288,23,3,58.69565217391305,56,,,,,,,1289,56.04347826086956,1127,49,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2022-23,2021-22,21,18,5,false,1105,1068,16,3,61.388888888888886,59.333333333333336,,,,,,,1033,57.388888888888886,973,54.05555555555556,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2023-24,2022-23,21,18,5,false,1215,909,17,1,67.5,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2024-25,2023-24,21,18,5,false,1076,1047,15,1,59.77777777777778,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2025-26,2024-25,21,18,5,false,1067,950,15,1,59.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2022-23,2021-22,26,13,5,false,772,712,13,2,59.38461538461539,54.76923076923077,,,,,,,719,55.30769230769231,660,50.76923076923077,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2023-24,2022-23,26,13,5,false,827,620,11,0,63.61538461538461,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2024-25,2023-24,26,13,5,false,737,710,9,0,56.69230769230769,54.61538461538461,,,,,,,710,54.61538461538461,637,49,-,none
MINHL#1,1786593792-502587,shipped (baseline),0,true,2025-26,2024-25,26,13,5,false,767,761,9,0,59,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2022-23,2021-22,1,38,5,false,2002,1682,42,6,52.68421052631579,44.26315789473684,,,,,,,1645,43.28947368421053,1466,38.578947368421055,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2023-24,2022-23,1,38,5,false,2254,1809,37,1,59.31578947368421,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2024-25,2023-24,1,38,5,false,2275,1847,35,2,59.86842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2025-26,2024-25,1,38,5,false,2126,1514,36,2,55.94736842105263,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2022-23,2021-22,6,33,5,false,1775,1580,38,7,53.78787878787879,47.878787878787875,,,,,,,1466,44.42424242424242,1389,42.09090909090909,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2023-24,2022-23,6,33,5,false,2082,1662,33,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2024-25,2023-24,6,33,5,false,1954,1762,33,4,59.21212121212121,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2025-26,2024-25,6,33,5,false,1904,1742,31,3,57.696969696969695,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2022-23,2021-22,11,28,5,false,1659,1571,31,5,59.25,56.107142857142854,,,,,,,1510,53.92857142857143,1385,49.464285714285715,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2023-24,2022-23,11,28,5,false,1732,1424,27,1,61.857142857142854,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2025-26,2024-25,11,28,5,false,1547,1489,24,0,55.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2022-23,2021-22,16,23,5,false,1327,1193,26,6,57.69565217391305,51.869565217391305,,,,,,,1224,53.21739130434783,1067,46.391304347826086,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2023-24,2022-23,16,23,5,false,1455,1077,22,1,63.26086956521739,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2024-25,2023-24,16,23,5,false,1409,1336,23,2,61.26086956521739,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2025-26,2024-25,16,23,5,false,1350,1288,23,3,58.69565217391305,56,,,,,,,1289,56.04347826086956,1127,49,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2022-23,2021-22,21,18,5,false,1105,1068,16,3,61.388888888888886,59.333333333333336,,,,,,,1033,57.388888888888886,973,54.05555555555556,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2023-24,2022-23,21,18,5,false,1215,909,17,1,67.5,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2024-25,2023-24,21,18,5,false,1076,1047,15,1,59.77777777777778,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2025-26,2024-25,21,18,5,false,1067,950,15,1,59.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2022-23,2021-22,26,13,5,false,772,712,13,2,59.38461538461539,54.76923076923077,,,,,,,719,55.30769230769231,660,50.76923076923077,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2023-24,2022-23,26,13,5,false,827,620,11,0,63.61538461538461,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2024-25,2023-24,26,13,5,false,737,710,9,0,56.69230769230769,54.61538461538461,,,,,,,710,54.61538461538461,637,49,-,none
MINHL#2,1786593792-502587,half-life 4 (ships),0,true,2025-26,2024-25,26,13,5,false,767,761,9,0,59,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2022-23,2021-22,1,38,5,false,1964,1681,34,3,51.68421052631579,44.23684210526316,,,,,,,1642,43.21052631578947,1463,38.5,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2023-24,2022-23,1,38,5,false,2096,1808,21,1,55.1578947368421,47.578947368421055,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2024-25,2023-24,1,38,5,false,2313,1834,20,0,60.86842105263158,48.26315789473684,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2025-26,2024-25,1,38,5,false,2199,1531,24,0,57.86842105263158,40.28947368421053,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2022-23,2021-22,6,33,5,false,1717,1546,29,3,52.03030303030303,46.84848484848485,,,,,,,1457,44.15151515151515,1379,41.78787878787879,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2023-24,2022-23,6,33,5,false,1894,1672,23,0,57.39393939393939,50.666666666666664,,,,,,,1665,50.45454545454545,1447,43.84848484848485,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2024-25,2023-24,6,33,5,false,1886,1767,13,0,57.15151515151515,53.54545454545455,,,,,,,1664,50.42424242424242,1508,45.696969696969695,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2025-26,2024-25,6,33,5,false,1838,1669,12,0,55.696969696969695,50.57575757575758,,,,,,,1595,48.333333333333336,1450,43.93939393939394,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2022-23,2021-22,11,28,5,false,1550,1444,23,1,55.357142857142854,51.57142857142857,,,,,,,1407,50.25,1282,45.785714285714285,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2023-24,2022-23,11,28,5,false,1501,1379,15,0,53.607142857142854,49.25,,,,,,,1358,48.5,1200,42.857142857142854,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2024-25,2023-24,11,28,5,false,1752,1704,17,0,62.57142857142857,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2025-26,2024-25,11,28,5,false,1607,1484,11,0,57.392857142857146,53,,,,,,,1460,52.142857142857146,1303,46.535714285714285,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2022-23,2021-22,16,23,5,false,1325,1261,21,2,57.608695652173914,54.82608695652174,,,,,,,1324,57.56521739130435,1157,50.30434782608695,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2023-24,2022-23,16,23,5,false,1255,1100,18,0,54.56521739130435,47.82608695652174,,,,,,,1100,47.82608695652174,973,42.30434782608695,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2024-25,2023-24,16,23,5,false,1351,1293,7,0,58.73913043478261,56.21739130434783,,,,,,,1293,56.21739130434783,1100,47.82608695652174,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2025-26,2024-25,16,23,5,false,1322,1199,15,0,57.47826086956522,52.130434782608695,,,,,,,1204,52.34782608695652,1042,45.30434782608695,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2022-23,2021-22,21,18,5,false,1170,1075,12,0,65,59.72222222222222,,,,,,,1027,57.05555555555556,967,53.72222222222222,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2023-24,2022-23,21,18,5,false,1084,954,10,0,60.22222222222222,53,,,,,,,957,53.166666666666664,848,47.111111111111114,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2024-25,2023-24,21,18,5,false,990,994,8,0,55,55.22222222222222,,,,,,,994,55.22222222222222,859,47.72222222222222,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2025-26,2024-25,21,18,5,false,1054,981,10,0,58.55555555555556,54.5,,,,,,,986,54.77777777777778,859,47.72222222222222,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2022-23,2021-22,26,13,5,false,761,771,8,0,58.53846153846154,59.30769230769231,,,,,,,738,56.76923076923077,679,52.23076923076923,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2023-24,2022-23,26,13,5,false,722,642,5,0,55.53846153846154,49.38461538461539,,,,,,,645,49.61538461538461,584,44.92307692307692,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2024-25,2023-24,26,13,5,false,689,641,7,0,53,49.30769230769231,,,,,,,641,49.30769230769231,568,43.69230769230769,-,none
MINHL#2,1786593792-502587,flat (no recency),1,false,2025-26,2024-25,26,13,5,false,797,733,6,0,61.30769230769231,56.38461538461539,,,,,,,738,56.76923076923077,636,48.92307692307692,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2022-23,2021-22,1,38,5,false,1912,1665,44,9,50.31578947368421,43.81578947368421,,,,,,,1641,43.18421052631579,1462,38.473684210526315,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2023-24,2022-23,1,38,5,false,2242,1798,46,9,59,47.31578947368421,,,,,,,1772,46.63157894736842,1561,41.078947368421055,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2024-25,2023-24,1,38,5,false,2400,1826,39,3,63.1578947368421,48.05263157894737,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2025-26,2024-25,1,38,5,false,2228,1522,36,2,58.63157894736842,40.05263157894737,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2022-23,2021-22,6,33,5,false,1719,1699,35,7,52.09090909090909,51.484848484848484,,,,,,,1569,47.54545454545455,1514,45.878787878787875,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2023-24,2022-23,6,33,5,false,2068,1628,35,3,62.666666666666664,49.333333333333336,,,,,,,1616,48.96969696969697,1403,42.515151515151516,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2024-25,2023-24,6,33,5,false,1979,1773,32,3,59.96969696969697,53.72727272727273,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2025-26,2024-25,6,33,5,false,1829,1710,30,1,55.42424242424242,51.81818181818182,,,,,,,1632,49.45454545454545,1491,45.18181818181818,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2022-23,2021-22,11,28,5,false,1578,1466,34,7,56.357142857142854,52.357142857142854,,,,,,,1421,50.75,1312,46.857142857142854,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2023-24,2022-23,11,28,5,false,1632,1425,35,8,58.285714285714285,50.892857142857146,,,,,,,1423,50.82142857142857,1265,45.17857142857143,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2024-25,2023-24,11,28,5,false,1798,1686,32,6,64.21428571428571,60.214285714285715,,,,,,,1686,60.214285714285715,1417,50.607142857142854,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2025-26,2024-25,11,28,5,false,1529,1502,28,4,54.607142857142854,53.642857142857146,,,,,,,1478,52.785714285714285,1321,47.17857142857143,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2022-23,2021-22,16,23,5,false,1284,1193,30,8,55.82608695652174,51.869565217391305,,,,,,,1222,53.130434782608695,1065,46.30434782608695,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2023-24,2022-23,16,23,5,false,1372,1067,28,7,59.65217391304348,46.391304347826086,,,,,,,1085,47.17391304347826,934,40.608695652173914,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2024-25,2023-24,16,23,5,false,1411,1325,22,1,61.34782608695652,57.608695652173914,,,,,,,1325,57.608695652173914,1132,49.21739130434783,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2025-26,2024-25,16,23,5,false,1322,1223,22,2,57.47826086956522,53.17391304347826,,,,,,,1228,53.391304347826086,1066,46.34782608695652,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2022-23,2021-22,21,18,5,false,1085,1065,20,3,60.27777777777778,59.166666666666664,,,,,,,1043,57.94444444444444,975,54.166666666666664,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2023-24,2022-23,21,18,5,false,1109,928,20,3,61.611111111111114,51.55555555555556,,,,,,,930,51.666666666666664,821,45.611111111111114,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2024-25,2023-24,21,18,5,false,1066,1041,18,2,59.22222222222222,57.833333333333336,,,,,,,1041,57.833333333333336,906,50.333333333333336,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2025-26,2024-25,21,18,5,false,978,851,18,3,54.333333333333336,47.27777777777778,,,,,,,851,47.27777777777778,765,42.5,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2022-23,2021-22,26,13,5,false,740,775,12,1,56.92307692307692,59.61538461538461,,,,,,,750,57.69230769230769,691,53.15384615384615,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2023-24,2022-23,26,13,5,false,801,693,15,3,61.61538461538461,53.30769230769231,,,,,,,694,53.38461538461539,625,48.07692307692308,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2024-25,2023-24,26,13,5,false,645,682,11,0,49.61538461538461,52.46153846153846,,,,,,,682,52.46153846153846,609,46.84615384615385,-,none
MINHL#2,1786593792-502587,half-life 2,2,false,2025-26,2024-25,26,13,5,false,692,686,13,3,53.23076923076923,52.76923076923077,,,,,,,691,53.15384615384615,589,45.30769230769231,-,none
MINHL#2,1786593792-502587,half-life 8,3,false,2022-23,2021-22,1,38,5,false,1947,1679,42,5,51.23684210526316,44.18421052631579,,,,,,,1648,43.36842105263158,1469,38.6578947368421,-,none
MINHL#2,1786593792-502587,half-life 8,3,false,2023-24,2022-23,1,38,5,false,2326,1804,36,1,61.21052631578947,47.473684210526315,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
