sweep,run_id,key,value
MINHL#1,1786593792-502587,commit,59f083053d56b0ec43276a6eeeb507698ea0abd6
MINHL#1,1786593792-502587,dirty,true
MINHL#1,1786593792-502587,constants_digest,f47c0f3c11d2
MINHL#1,1786593792-502587,bank_up_to,5
MINHL#1,1786593792-502587,season,2022-23<-2021-22
MINHL#1,1786593792-502587,season,2023-24<-2022-23
MINHL#1,1786593792-502587,season,2024-25<-2023-24
MINHL#1,1786593792-502587,season,2025-26<-2024-25
MINHL#1,1786593792-502587,start_gw,1
MINHL#1,1786593792-502587,start_gw,6
MINHL#1,1786593792-502587,start_gw,11
MINHL#1,1786593792-502587,start_gw,16
MINHL#1,1786593792-502587,start_gw,21
MINHL#1,1786593792-502587,start_gw,26
MINHL#1,1786593792-502587,declared_arm,0	shipped (baseline)
MINHL#1,1786593792-502587,constant,chip_plan.bench_boost_gameweek	8
MINHL#1,1786593792-502587,constant,chip_plan.free_hit_gameweek	16
MINHL#1,1786593792-502587,constant,chip_plan.triple_captain_gameweek	9
MINHL#1,1786593792-502587,constant,chip_plan.wildcard_gameweek	6
MINHL#1,1786593792-502587,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
MINHL#1,1786593792-502587,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
MINHL#1,1786593792-502587,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
MINHL#1,1786593792-502587,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
MINHL#1,1786593792-502587,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
MINHL#1,1786593792-502587,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
MINHL#1,1786593792-502587,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
MINHL#1,1786593792-502587,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
MINHL#1,1786593792-502587,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
MINHL#1,1786593792-502587,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
MINHL#1,1786593792-502587,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
MINHL#1,1786593792-502587,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
MINHL#1,1786593792-502587,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
MINHL#1,1786593792-502587,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
MINHL#1,1786593792-502587,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
MINHL#1,1786593792-502587,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
