sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2020-21,2019-20,1,38,5,false,2126,1643,38,3,55.94736842105263,43.23684210526316,,,,,,,1648,43.36842105263158,1408,37.05263157894737,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2021-22,2020-21,1,38,5,false,2024,1824,38,3,53.26315789473684,48,,,,,,,1844,48.526315789473685,1549,40.76315789473684,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2022-23,2021-22,1,38,5,false,1979,1987,44,8,52.078947368421055,52.28947368421053,,,,,,,1993,52.44736842105263,1738,45.73684210526316,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2020-21,2019-20,6,33,5,false,1771,1501,31,2,53.666666666666664,45.484848484848484,,,,,,,1500,45.45454545454545,1314,39.81818181818182,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2021-22,2020-21,6,33,5,false,1726,1592,38,7,52.303030303030305,48.24242424242424,,,,,,,1614,48.90909090909091,1369,41.484848484848484,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2022-23,2021-22,6,33,5,false,1789,1692,37,7,54.21212121212121,51.27272727272727,,,,,,,1635,49.54545454545455,1507,45.666666666666664,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2020-21,2019-20,11,28,5,false,1624,1466,29,3,58,52.357142857142854,,,,,,,1476,52.714285714285715,1291,46.107142857142854,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2021-22,2020-21,11,28,5,false,1499,1476,34,8,53.535714285714285,52.714285714285715,,,,,,,1464,52.285714285714285,1276,45.57142857142857,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2022-23,2021-22,11,28,5,false,1628,1538,33,7,58.142857142857146,54.92857142857143,,,,,,,1444,51.57142857142857,1358,48.5,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2020-21,2019-20,16,23,5,false,1330,1185,21,2,57.82608695652174,51.52173913043478,,,,,,,1151,50.04347826086956,1038,45.130434782608695,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2021-22,2020-21,16,23,5,false,1321,1334,25,4,57.43478260869565,58,,,,,,,1313,57.08695652173913,1179,51.26086956521739,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2022-23,2021-22,16,23,5,false,1337,1207,26,6,58.130434782608695,52.47826086956522,,,,,,,1156,50.26086956521739,1043,45.34782608695652,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2020-21,2019-20,21,18,5,false,1143,1000,14,0,63.5,55.55555555555556,,,,,,,1018,56.55555555555556,900,50,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2021-22,2020-21,21,18,5,false,1042,1037,20,4,57.888888888888886,57.611111111111114,,,,,,,1007,55.94444444444444,900,50,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2022-23,2021-22,21,18,5,false,1109,1118,17,3,61.611111111111114,62.111111111111114,,,,,,,1121,62.27777777777778,980,54.44444444444444,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2020-21,2019-20,26,13,5,false,766,660,9,0,58.92307692307692,50.76923076923077,,,,,,,663,51,596,45.84615384615385,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2021-22,2020-21,26,13,5,false,796,675,12,1,61.23076923076923,51.92307692307692,,,,,,,676,52,592,45.53846153846154,-,none
XGC6R#1:v0,paired,xGC repair off (the archive's own),0,true,2022-23,2021-22,26,13,5,false,893,815,10,0,68.6923076923077,62.69230769230769,,,,,,,818,62.92307692307692,710,54.61538461538461,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2020-21,2019-20,1,38,5,false,2167,1711,39,3,57.026315789473685,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2021-22,2020-21,1,38,5,false,2284,1942,42,6,60.10526315789474,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2022-23,2021-22,1,38,5,false,2058,1842,38,2,54.1578947368421,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2020-21,2019-20,6,33,5,false,1816,1634,36,5,55.03030303030303,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2021-22,2020-21,6,33,5,false,1833,1513,36,5,55.54545454545455,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2022-23,2021-22,6,33,5,false,1820,1563,31,1,55.15151515151515,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2020-21,2019-20,11,28,5,false,1656,1389,24,1,59.142857142857146,49.607142857142854,,,,,,,1387,49.535714285714285,1212,43.285714285714285,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2021-22,2020-21,11,28,5,false,1514,1604,32,6,54.07142857142857,57.285714285714285,,,,,,,1632,58.285714285714285,1444,51.57142857142857,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2022-23,2021-22,11,28,5,false,1578,1548,30,4,56.357142857142854,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2020-21,2019-20,16,23,5,false,1359,1189,23,2,59.08695652173913,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2021-22,2020-21,16,23,5,false,1309,1260,24,3,56.91304347826087,54.78260869565217,,,,,,,1278,55.56521739130435,1153,50.130434782608695,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2022-23,2021-22,16,23,5,false,1361,1106,23,2,59.17391304347826,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2020-21,2019-20,21,18,5,false,1069,942,17,2,59.388888888888886,52.333333333333336,,,,,,,963,53.5,845,46.94444444444444,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2021-22,2020-21,21,18,5,false,999,944,19,2,55.5,52.44444444444444,,,,,,,962,53.44444444444444,855,47.5,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2022-23,2021-22,21,18,5,false,1202,1181,14,0,66.77777777777777,65.61111111111111,,,,,,,1171,65.05555555555556,1032,57.333333333333336,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2020-21,2019-20,26,13,5,false,698,638,11,0,53.69230769230769,49.07692307692308,,,,,,,646,49.69230769230769,579,44.53846153846154,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2021-22,2020-21,26,13,5,false,748,636,15,4,57.53846153846154,48.92307692307692,,,,,,,634,48.76923076923077,578,44.46153846153846,-,none
XGC6R#1:v0,paired,xGC repair on (ships),1,false,2022-23,2021-22,26,13,5,false,922,812,11,0,70.92307692307692,62.46153846153846,,,,,,,808,62.15384615384615,696,53.53846153846154,-,none
