sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
XGC6AGG#1,1786598687-518919,shipped (baseline),0,true,2020-21,2019-20,1,38,5,false,2030,1524,39,3,53.421052631578945,40.10526315789474,,,,,,,1454,38.26315789473684,1363,35.86842105263158,-,none
XGC6AGG#1,1786598687-518919,shipped (baseline),0,true,2021-22,2020-21,1,38,5,false,2030,2145,45,9,53.421052631578945,56.44736842105263,,,,,,,2013,52.973684210526315,1860,48.94736842105263,-,none
XGC6AGG#1,1786598687-518919,shipped (baseline),0,true,2022-23,2021-22,1,38,5,false,2080,1694,43,9,54.73684210526316,44.578947368421055,,,,,,,1640,43.1578947368421,1461,38.44736842105263,-,none
XGC6AGG#1,1786598687-518919,shipped (baseline),0,true,2023-24,2022-23,1,38,5,false,2254,1809,37,1,59.31578947368421,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
XGC6AGG#1,1786598687-518919,shipped (baseline),0,true,2024-25,2023-24,1,38,5,false,2275,1847,35,2,59.86842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
XGC6AGG#1,1786598687-518919,shipped (baseline),0,true,2025-26,2024-25,1,38,5,false,2126,1514,36,2,55.94736842105263,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
XGC6AGG#1,1786598687-518919,shipped (baseline),0,true,2020-21,2019-20,6,33,5,false,1776,1647,33,2,53.81818181818182,49.90909090909091,,,,,,,1621,49.121212121212125,1475,44.696969696969695,-,none
XGC6AGG#1,1786598687-518919,shipped (baseline),0,true,2021-22,2020-21,6,33,5,false,1807,1736,38,8,54.75757575757576,52.60606060606061,,,,,,,1677,50.81818181818182,1547,46.878787878787875,-,none
XGC6AGG#1,1786598687-518919,shipped (baseline),0,true,2022-23,2021-22,6,33,5,false,1840,1619,33,3,55.75757575757576,49.06060606060606,,,,,,,1534,46.484848484848484,1413,42.81818181818182,-,none
XGC6AGG#1,1786598687-518919,shipped (baseline),0,true,2023-24,2022-23,6,33,5,false,2082,1662,33,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
