sweep,run_id,key,value
XGC6NOREP#1,1786598685-518824,commit,d9b83c5072f9be38506c1dbb18083be835fa2d14
XGC6NOREP#1,1786598685-518824,dirty,true
XGC6NOREP#1,1786598685-518824,constants_digest,0e4468a8e3ff
XGC6NOREP#1,1786598685-518824,bank_up_to,5
XGC6NOREP#1,1786598685-518824,season,2020-21<-2019-20
XGC6NOREP#1,1786598685-518824,season,2021-22<-2020-21
XGC6NOREP#1,1786598685-518824,season,2022-23<-2021-22
XGC6NOREP#1,1786598685-518824,season,2023-24<-2022-23
XGC6NOREP#1,1786598685-518824,season,2024-25<-2023-24
XGC6NOREP#1,1786598685-518824,season,2025-26<-2024-25
XGC6NOREP#1,1786598685-518824,start_gw,1
XGC6NOREP#1,1786598685-518824,start_gw,6
XGC6NOREP#1,1786598685-518824,start_gw,11
XGC6NOREP#1,1786598685-518824,start_gw,16
XGC6NOREP#1,1786598685-518824,start_gw,21
XGC6NOREP#1,1786598685-518824,start_gw,26
XGC6NOREP#1,1786598685-518824,declared_arm,0	shipped (baseline)
XGC6NOREP#1,1786598685-518824,constant,chip_plan.bench_boost_gameweek	8
XGC6NOREP#1,1786598685-518824,constant,chip_plan.free_hit_gameweek	16
XGC6NOREP#1,1786598685-518824,constant,chip_plan.triple_captain_gameweek	9
XGC6NOREP#1,1786598685-518824,constant,chip_plan.wildcard_gameweek	6
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
XGC6NOREP#1,1786598685-518824,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
XGC6NOREP#1,1786598685-518824,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
XGC6NOREP#1,1786598685-518824,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
XGC6NOREP#1,1786598685-518824,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
XGC6NOREP#1,1786598685-518824,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.BRE[0].start_date	2026-08-26
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.CHE[0].competition	League Cup
XGC6NOREP#1,1786598685-518824,constant,"congestion.domestic_cup_campaigns.CHE[0].match_dates	6 items, sha f7a87904"
XGC6NOREP#1,1786598685-518824,constant,congestion.domestic_cup_campaigns.CHE[0].note	enters at round two
