sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
BOTH6#1:v0,paired,neither repair,0,true,2020-21,2019-20,1,38,5,false,2031,1552,29,0,53.44736842105263,40.8421052631579,,,,,,,1451,38.18421052631579,1360,35.78947368421053,-,none
BOTH6#1:v0,paired,neither repair,0,true,2021-22,2020-21,1,38,5,false,1874,2037,35,1,49.31578947368421,53.60526315789474,,,,,,,2007,52.81578947368421,1852,48.73684210526316,-,none
BOTH6#1:v0,paired,neither repair,0,true,2022-23,2021-22,1,38,5,false,2002,1682,42,6,52.68421052631579,44.26315789473684,,,,,,,1645,43.28947368421053,1466,38.578947368421055,-,none
BOTH6#1:v0,paired,neither repair,0,true,2023-24,2022-23,1,38,5,false,2254,1809,37,1,59.31578947368421,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
BOTH6#1:v0,paired,neither repair,0,true,2024-25,2023-24,1,38,5,false,2275,1847,35,2,59.86842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
BOTH6#1:v0,paired,neither repair,0,true,2025-26,2024-25,1,38,5,false,2126,1514,36,2,55.94736842105263,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
BOTH6#1:v0,paired,neither repair,0,true,2020-21,2019-20,6,33,5,false,1786,1462,27,0,54.121212121212125,44.303030303030305,,,,,,,1440,43.63636363636363,1340,40.60606060606061,-,none
BOTH6#1:v0,paired,neither repair,0,true,2021-22,2020-21,6,33,5,false,1724,1558,31,2,52.24242424242424,47.21212121212121,,,,,,,1540,46.666666666666664,1391,42.15151515151515,-,none
BOTH6#1:v0,paired,neither repair,0,true,2022-23,2021-22,6,33,5,false,1775,1580,38,7,53.78787878787879,47.878787878787875,,,,,,,1466,44.42424242424242,1389,42.09090909090909,-,none
BOTH6#1:v0,paired,neither repair,0,true,2023-24,2022-23,6,33,5,false,2082,1662,33,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
BOTH6#1:v0,paired,neither repair,0,true,2024-25,2023-24,6,33,5,false,1954,1762,33,4,59.21212121212121,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
BOTH6#1:v0,paired,neither repair,0,true,2025-26,2024-25,6,33,5,false,1904,1742,31,3,57.696969696969695,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
BOTH6#1:v0,paired,neither repair,0,true,2020-21,2019-20,11,28,5,false,1564,1425,21,0,55.857142857142854,50.892857142857146,,,,,,,1431,51.107142857142854,1317,47.035714285714285,-,none
BOTH6#1:v0,paired,neither repair,0,true,2021-22,2020-21,11,28,5,false,1330,1288,27,1,47.5,46,,,,,,,1300,46.42857142857143,1183,42.25,-,none
BOTH6#1:v0,paired,neither repair,0,true,2022-23,2021-22,11,28,5,false,1659,1571,31,5,59.25,56.107142857142854,,,,,,,1510,53.92857142857143,1385,49.464285714285715,-,none
BOTH6#1:v0,paired,neither repair,0,true,2023-24,2022-23,11,28,5,false,1732,1424,27,1,61.857142857142854,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
BOTH6#1:v0,paired,neither repair,0,true,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
BOTH6#1:v0,paired,neither repair,0,true,2025-26,2024-25,11,28,5,false,1547,1489,24,0,55.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
BOTH6#1:v0,paired,neither repair,0,true,2020-21,2019-20,16,23,5,false,1340,1114,13,0,58.26086956521739,48.43478260869565,,,,,,,1103,47.95652173913044,996,43.30434782608695,-,none
BOTH6#1:v0,paired,neither repair,0,true,2021-22,2020-21,16,23,5,false,1264,1163,21,0,54.95652173913044,50.56521739130435,,,,,,,1144,49.73913043478261,1045,45.43478260869565,-,none
BOTH6#1:v0,paired,neither repair,0,true,2022-23,2021-22,16,23,5,false,1327,1193,26,6,57.69565217391305,51.869565217391305,,,,,,,1224,53.21739130434783,1067,46.391304347826086,-,none
BOTH6#1:v0,paired,neither repair,0,true,2023-24,2022-23,16,23,5,false,1455,1077,22,1,63.26086956521739,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,-,none
BOTH6#1:v0,paired,neither repair,0,true,2024-25,2023-24,16,23,5,false,1409,1336,23,2,61.26086956521739,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,-,none
BOTH6#1:v0,paired,neither repair,0,true,2025-26,2024-25,16,23,5,false,1350,1288,23,3,58.69565217391305,56,,,,,,,1289,56.04347826086956,1127,49,-,none
BOTH6#1:v0,paired,neither repair,0,true,2020-21,2019-20,21,18,5,false,987,871,15,1,54.833333333333336,48.388888888888886,,,,,,,884,49.111111111111114,804,44.666666666666664,-,none
BOTH6#1:v0,paired,neither repair,0,true,2021-22,2020-21,21,18,5,false,989,946,14,0,54.94444444444444,52.55555555555556,,,,,,,945,52.5,865,48.05555555555556,-,none
BOTH6#1:v0,paired,neither repair,0,true,2022-23,2021-22,21,18,5,false,1105,1068,16,3,61.388888888888886,59.333333333333336,,,,,,,1033,57.388888888888886,973,54.05555555555556,-,none
BOTH6#1:v0,paired,neither repair,0,true,2023-24,2022-23,21,18,5,false,1215,909,17,1,67.5,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,-,none
BOTH6#1:v0,paired,neither repair,0,true,2024-25,2023-24,21,18,5,false,1076,1047,15,1,59.77777777777778,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
BOTH6#1:v0,paired,neither repair,0,true,2025-26,2024-25,21,18,5,false,1067,950,15,1,59.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,-,none
BOTH6#1:v0,paired,neither repair,0,true,2020-21,2019-20,26,13,5,false,749,672,6,0,57.61538461538461,51.69230769230769,,,,,,,676,52,636,48.92307692307692,-,none
BOTH6#1:v0,paired,neither repair,0,true,2021-22,2020-21,26,13,5,false,811,698,11,0,62.38461538461539,53.69230769230769,,,,,,,695,53.46153846153846,661,50.84615384615385,-,none
BOTH6#1:v0,paired,neither repair,0,true,2022-23,2021-22,26,13,5,false,772,712,13,2,59.38461538461539,54.76923076923077,,,,,,,719,55.30769230769231,660,50.76923076923077,-,none
