sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
XG6R#1:v0,paired,neither repair,0,true,2020-21,2019-20,1,38,5,false,2031,1552,29,0,53.44736842105263,40.8421052631579,,,,,,,1451,38.18421052631579,1360,35.78947368421053,-,none
XG6R#1:v0,paired,neither repair,0,true,2021-22,2020-21,1,38,5,false,1874,2037,35,1,49.31578947368421,53.60526315789474,,,,,,,2007,52.81578947368421,1852,48.73684210526316,-,none
XG6R#1:v0,paired,neither repair,0,true,2022-23,2021-22,1,38,5,false,2002,1682,42,6,52.68421052631579,44.26315789473684,,,,,,,1645,43.28947368421053,1466,38.578947368421055,-,none
XG6R#1:v0,paired,neither repair,0,true,2020-21,2019-20,6,33,5,false,1786,1462,27,0,54.121212121212125,44.303030303030305,,,,,,,1440,43.63636363636363,1340,40.60606060606061,-,none
XG6R#1:v0,paired,neither repair,0,true,2021-22,2020-21,6,33,5,false,1724,1558,31,2,52.24242424242424,47.21212121212121,,,,,,,1540,46.666666666666664,1391,42.15151515151515,-,none
XG6R#1:v0,paired,neither repair,0,true,2022-23,2021-22,6,33,5,false,1775,1580,38,7,53.78787878787879,47.878787878787875,,,,,,,1466,44.42424242424242,1389,42.09090909090909,-,none
XG6R#1:v0,paired,neither repair,0,true,2020-21,2019-20,11,28,5,false,1564,1425,21,0,55.857142857142854,50.892857142857146,,,,,,,1431,51.107142857142854,1317,47.035714285714285,-,none
XG6R#1:v0,paired,neither repair,0,true,2021-22,2020-21,11,28,5,false,1330,1288,27,1,47.5,46,,,,,,,1300,46.42857142857143,1183,42.25,-,none
XG6R#1:v0,paired,neither repair,0,true,2022-23,2021-22,11,28,5,false,1659,1571,31,5,59.25,56.107142857142854,,,,,,,1510,53.92857142857143,1385,49.464285714285715,-,none
XG6R#1:v0,paired,neither repair,0,true,2020-21,2019-20,16,23,5,false,1340,1114,13,0,58.26086956521739,48.43478260869565,,,,,,,1103,47.95652173913044,996,43.30434782608695,-,none
XG6R#1:v0,paired,neither repair,0,true,2021-22,2020-21,16,23,5,false,1264,1163,21,0,54.95652173913044,50.56521739130435,,,,,,,1144,49.73913043478261,1045,45.43478260869565,-,none
XG6R#1:v0,paired,neither repair,0,true,2022-23,2021-22,16,23,5,false,1327,1193,26,6,57.69565217391305,51.869565217391305,,,,,,,1224,53.21739130434783,1067,46.391304347826086,-,none
XG6R#1:v0,paired,neither repair,0,true,2020-21,2019-20,21,18,5,false,987,871,15,1,54.833333333333336,48.388888888888886,,,,,,,884,49.111111111111114,804,44.666666666666664,-,none
XG6R#1:v0,paired,neither repair,0,true,2021-22,2020-21,21,18,5,false,989,946,14,0,54.94444444444444,52.55555555555556,,,,,,,945,52.5,865,48.05555555555556,-,none
XG6R#1:v0,paired,neither repair,0,true,2022-23,2021-22,21,18,5,false,1105,1068,16,3,61.388888888888886,59.333333333333336,,,,,,,1033,57.388888888888886,973,54.05555555555556,-,none
XG6R#1:v0,paired,neither repair,0,true,2020-21,2019-20,26,13,5,false,749,672,6,0,57.61538461538461,51.69230769230769,,,,,,,676,52,636,48.92307692307692,-,none
XG6R#1:v0,paired,neither repair,0,true,2021-22,2020-21,26,13,5,false,811,698,11,0,62.38461538461539,53.69230769230769,,,,,,,695,53.46153846153846,661,50.84615384615385,-,none
XG6R#1:v0,paired,neither repair,0,true,2022-23,2021-22,26,13,5,false,772,712,13,2,59.38461538461539,54.76923076923077,,,,,,,719,55.30769230769231,660,50.76923076923077,-,none
XG6R#1:v0,paired,"expected-goals backfill, xGC still absent",1,false,2020-21,2019-20,1,38,5,false,2126,1643,38,3,55.94736842105263,43.23684210526316,,,,,,,1648,43.36842105263158,1408,37.05263157894737,-,none
XG6R#1:v0,paired,"expected-goals backfill, xGC still absent",1,false,2021-22,2020-21,1,38,5,false,2024,1824,38,3,53.26315789473684,48,,,,,,,1844,48.526315789473685,1549,40.76315789473684,-,none
XG6R#1:v0,paired,"expected-goals backfill, xGC still absent",1,false,2022-23,2021-22,1,38,5,false,1979,1987,44,8,52.078947368421055,52.28947368421053,,,,,,,1993,52.44736842105263,1738,45.73684210526316,-,none
XG6R#1:v0,paired,"expected-goals backfill, xGC still absent",1,false,2020-21,2019-20,6,33,5,false,1771,1501,31,2,53.666666666666664,45.484848484848484,,,,,,,1500,45.45454545454545,1314,39.81818181818182,-,none
XG6R#1:v0,paired,"expected-goals backfill, xGC still absent",1,false,2021-22,2020-21,6,33,5,false,1726,1592,38,7,52.303030303030305,48.24242424242424,,,,,,,1614,48.90909090909091,1369,41.484848484848484,-,none
