sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2022-23,2021-22,1,38,5,false,2002,1682,42,6,52.68421052631579,44.26315789473684,,,,,,,1645,43.28947368421053,1466,38.578947368421055,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2023-24,2022-23,1,38,5,false,2254,1809,37,1,59.31578947368421,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2024-25,2023-24,1,38,5,false,2275,1847,35,2,59.86842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2025-26,2024-25,1,38,5,false,2126,1514,36,2,55.94736842105263,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2022-23,2021-22,6,33,5,false,1775,1580,38,7,53.78787878787879,47.878787878787875,,,,,,,1466,44.42424242424242,1389,42.09090909090909,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2023-24,2022-23,6,33,5,false,2082,1662,33,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2024-25,2023-24,6,33,5,false,1954,1762,33,4,59.21212121212121,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2025-26,2024-25,6,33,5,false,1904,1742,31,3,57.696969696969695,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2022-23,2021-22,11,28,5,false,1659,1571,31,5,59.25,56.107142857142854,,,,,,,1510,53.92857142857143,1385,49.464285714285715,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2023-24,2022-23,11,28,5,false,1732,1424,27,1,61.857142857142854,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2025-26,2024-25,11,28,5,false,1547,1489,24,0,55.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2022-23,2021-22,16,23,5,false,1327,1193,26,6,57.69565217391305,51.869565217391305,,,,,,,1224,53.21739130434783,1067,46.391304347826086,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2023-24,2022-23,16,23,5,false,1455,1077,22,1,63.26086956521739,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2024-25,2023-24,16,23,5,false,1409,1336,23,2,61.26086956521739,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2025-26,2024-25,16,23,5,false,1350,1288,23,3,58.69565217391305,56,,,,,,,1289,56.04347826086956,1127,49,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2022-23,2021-22,21,18,5,false,1105,1068,16,3,61.388888888888886,59.333333333333336,,,,,,,1033,57.388888888888886,973,54.05555555555556,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2023-24,2022-23,21,18,5,false,1215,909,17,1,67.5,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2024-25,2023-24,21,18,5,false,1076,1047,15,1,59.77777777777778,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2025-26,2024-25,21,18,5,false,1067,950,15,1,59.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2022-23,2021-22,26,13,5,false,772,712,13,2,59.38461538461539,54.76923076923077,,,,,,,719,55.30769230769231,660,50.76923076923077,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2023-24,2022-23,26,13,5,false,827,620,11,0,63.61538461538461,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2024-25,2023-24,26,13,5,false,737,710,9,0,56.69230769230769,54.61538461538461,,,,,,,710,54.61538461538461,637,49,-,none
BENCH#1,1786598886-522240,bench weight 0.10 (ships),0,true,2025-26,2024-25,26,13,5,false,767,761,9,0,59,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2022-23,2021-22,1,38,5,false,1962,1719,42,6,51.63157894736842,45.23684210526316,,,,,,,1694,44.578947368421055,1515,39.86842105263158,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2023-24,2022-23,1,38,5,false,2344,1680,39,2,61.68421052631579,44.21052631578947,,,,,,,1653,43.5,1442,37.94736842105263,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2024-25,2023-24,1,38,5,false,2341,1908,37,3,61.60526315789474,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2025-26,2024-25,1,38,5,false,2178,1498,34,0,57.31578947368421,39.421052631578945,,,,,,,1493,39.28947368421053,1339,35.23684210526316,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2022-23,2021-22,6,33,5,false,1775,1580,38,7,53.78787878787879,47.878787878787875,,,,,,,1466,44.42424242424242,1389,42.09090909090909,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2023-24,2022-23,6,33,5,false,2030,1702,31,0,61.515151515151516,51.57575757575758,,,,,,,1675,50.75757575757576,1457,44.15151515151515,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2024-25,2023-24,6,33,5,false,1929,1797,33,4,58.45454545454545,54.45454545454545,,,,,,,1694,51.333333333333336,1538,46.60606060606061,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2025-26,2024-25,6,33,5,false,1822,1696,31,1,55.21212121212121,51.39393939393939,,,,,,,1614,48.90909090909091,1473,44.63636363636363,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2022-23,2021-22,11,28,5,false,1603,1542,28,2,57.25,55.07142857142857,,,,,,,1481,52.892857142857146,1356,48.42857142857143,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2023-24,2022-23,11,28,5,false,1700,1380,27,1,60.714285714285715,49.285714285714285,,,,,,,1389,49.607142857142854,1231,43.964285714285715,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2025-26,2024-25,11,28,5,false,1547,1489,24,0,55.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2022-23,2021-22,16,23,5,false,1331,1201,26,6,57.869565217391305,52.21739130434783,,,,,,,1232,53.56521739130435,1075,46.73913043478261,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2023-24,2022-23,16,23,5,false,1455,1077,22,1,63.26086956521739,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2024-25,2023-24,16,23,5,false,1438,1321,20,2,62.52173913043478,57.43478260869565,,,,,,,1321,57.43478260869565,1128,49.04347826086956,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2025-26,2024-25,16,23,5,false,1345,1285,22,3,58.47826086956522,55.869565217391305,,,,,,,1286,55.91304347826087,1124,48.869565217391305,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2022-23,2021-22,21,18,5,false,1105,1068,16,3,61.388888888888886,59.333333333333336,,,,,,,1033,57.388888888888886,973,54.05555555555556,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2023-24,2022-23,21,18,5,false,1151,962,17,1,63.94444444444444,53.44444444444444,,,,,,,958,53.22222222222222,849,47.166666666666664,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2024-25,2023-24,21,18,5,false,1076,1047,15,1,59.77777777777778,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2025-26,2024-25,21,18,5,false,1068,907,15,1,59.333333333333336,50.388888888888886,,,,,,,884,49.111111111111114,798,44.333333333333336,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2022-23,2021-22,26,13,5,false,735,766,12,2,56.53846153846154,58.92307692307692,,,,,,,741,57,682,52.46153846153846,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2023-24,2022-23,26,13,5,false,875,748,11,0,67.3076923076923,57.53846153846154,,,,,,,735,56.53846153846154,664,51.07692307692308,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2024-25,2023-24,26,13,5,false,660,723,11,1,50.76923076923077,55.61538461538461,,,,,,,723,55.61538461538461,650,50,-,none
BENCH#1,1786598886-522240,bench weight 0.02,1,false,2025-26,2024-25,26,13,5,false,778,674,12,2,59.84615384615385,51.84615384615385,,,,,,,675,51.92307692307692,573,44.07692307692308,-,none
BENCH#1,1786598886-522240,bench weight 0.05,2,false,2022-23,2021-22,1,38,5,false,1904,1642,41,6,50.10526315789474,43.21052631578947,,,,,,,1590,41.8421052631579,1475,38.81578947368421,-,none
BENCH#1,1786598886-522240,bench weight 0.05,2,false,2023-24,2022-23,1,38,5,false,2344,1680,39,2,61.68421052631579,44.21052631578947,,,,,,,1653,43.5,1442,37.94736842105263,-,none
BENCH#1,1786598886-522240,bench weight 0.05,2,false,2024-25,2023-24,1,38,5,false,2341,1908,37,3,61.60526315789474,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,-,none
BENCH#1,1786598886-522240,bench weight 0.05,2,false,2025-26,2024-25,1,38,5,false,2178,1498,34,0,57.31578947368421,39.421052631578945,,,,,,,1493,39.28947368421053,1339,35.23684210526316,-,none
BENCH#1,1786598886-522240,bench weight 0.05,2,false,2022-23,2021-22,6,33,5,false,1775,1580,38,7,53.78787878787879,47.878787878787875,,,,,,,1466,44.42424242424242,1389,42.09090909090909,-,none
