sweep,run_id,key,value
BENCH#1,1786598886-522240,commit,d9b83c5072f9be38506c1dbb18083be835fa2d14
BENCH#1,1786598886-522240,dirty,true
BENCH#1,1786598886-522240,constants_digest,e96b61fe9477
BENCH#1,1786598886-522240,bank_up_to,5
BENCH#1,1786598886-522240,season,2022-23<-2021-22
BENCH#1,1786598886-522240,season,2023-24<-2022-23
BENCH#1,1786598886-522240,season,2024-25<-2023-24
BENCH#1,1786598886-522240,season,2025-26<-2024-25
BENCH#1,1786598886-522240,start_gw,1
BENCH#1,1786598886-522240,start_gw,6
BENCH#1,1786598886-522240,start_gw,11
BENCH#1,1786598886-522240,start_gw,16
BENCH#1,1786598886-522240,start_gw,21
BENCH#1,1786598886-522240,start_gw,26
BENCH#1,1786598886-522240,declared_arm,0	bench weight 0.10 (ships)
BENCH#1,1786598886-522240,declared_arm,1	bench weight 0.02
BENCH#1,1786598886-522240,declared_arm,2	bench weight 0.05
BENCH#1,1786598886-522240,declared_arm,3	bench weight 0.20
BENCH#1,1786598886-522240,constant,chip_plan.bench_boost_gameweek	8
BENCH#1,1786598886-522240,constant,chip_plan.free_hit_gameweek	16
BENCH#1,1786598886-522240,constant,chip_plan.triple_captain_gameweek	9
BENCH#1,1786598886-522240,constant,chip_plan.wildcard_gameweek	6
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
BENCH#1,1786598886-522240,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
BENCH#1,1786598886-522240,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
BENCH#1,1786598886-522240,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
BENCH#1,1786598886-522240,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
BENCH#1,1786598886-522240,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.BRE[0].start_date	2026-08-26
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.CHE[0].competition	League Cup
BENCH#1,1786598886-522240,constant,"congestion.domestic_cup_campaigns.CHE[0].match_dates	6 items, sha f7a87904"
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.CHE[0].note	enters at round two
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.CHE[0].start_date	2026-08-26
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.COV[0].competition	League Cup
BENCH#1,1786598886-522240,constant,"congestion.domestic_cup_campaigns.COV[0].match_dates	6 items, sha f7a87904"
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.COV[0].note	enters at round two
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.COV[0].start_date	2026-08-26
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.CRY[0].competition	League Cup
BENCH#1,1786598886-522240,constant,"congestion.domestic_cup_campaigns.CRY[0].match_dates	5 items, sha 3f0a0705"
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.CRY[0].note	enters at round three as a European qualifier
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.CRY[0].start_date	2026-09-15
BENCH#1,1786598886-522240,constant,congestion.domestic_cup_campaigns.EVE[0].competition	League Cup
