sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2022-23,2021-22,1,38,5,false,1979,1987,44,8,52.078947368421055,52.28947368421053,,,,,,,1993,52.44736842105263,1738,45.73684210526316,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2023-24,2022-23,1,38,5,false,2254,1809,37,1,59.31578947368421,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2024-25,2023-24,1,38,5,false,2275,1847,35,2,59.86842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2025-26,2024-25,1,38,5,false,2126,1514,36,2,55.94736842105263,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2022-23,2021-22,6,33,5,false,1789,1692,37,7,54.21212121212121,51.27272727272727,,,,,,,1635,49.54545454545455,1507,45.666666666666664,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2023-24,2022-23,6,33,5,false,2082,1662,33,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2024-25,2023-24,6,33,5,false,1954,1762,33,4,59.21212121212121,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2025-26,2024-25,6,33,5,false,1904,1742,31,3,57.696969696969695,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2022-23,2021-22,11,28,5,false,1628,1538,33,7,58.142857142857146,54.92857142857143,,,,,,,1444,51.57142857142857,1358,48.5,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2023-24,2022-23,11,28,5,false,1732,1424,27,1,61.857142857142854,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2025-26,2024-25,11,28,5,false,1547,1489,24,0,55.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2022-23,2021-22,16,23,5,false,1337,1207,26,6,58.130434782608695,52.47826086956522,,,,,,,1156,50.26086956521739,1043,45.34782608695652,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2023-24,2022-23,16,23,5,false,1455,1077,22,1,63.26086956521739,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2024-25,2023-24,16,23,5,false,1409,1336,23,2,61.26086956521739,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2025-26,2024-25,16,23,5,false,1350,1288,23,3,58.69565217391305,56,,,,,,,1289,56.04347826086956,1127,49,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2022-23,2021-22,21,18,5,false,1109,1118,17,3,61.611111111111114,62.111111111111114,,,,,,,1121,62.27777777777778,980,54.44444444444444,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2023-24,2022-23,21,18,5,false,1215,909,17,1,67.5,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2024-25,2023-24,21,18,5,false,1076,1047,15,1,59.77777777777778,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2025-26,2024-25,21,18,5,false,1067,950,15,1,59.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2022-23,2021-22,26,13,5,false,893,815,10,0,68.6923076923077,62.69230769230769,,,,,,,818,62.92307692307692,710,54.61538461538461,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2023-24,2022-23,26,13,5,false,827,620,11,0,63.61538461538461,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2024-25,2023-24,26,13,5,false,737,710,9,0,56.69230769230769,54.61538461538461,,,,,,,710,54.61538461538461,637,49,-,none
BENCH#1,1786599405-529815,bench weight 0.10 (ships),0,true,2025-26,2024-25,26,13,5,false,767,761,9,0,59,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,-,none
BENCH#1,1786599405-529815,bench weight 0.02,1,false,2022-23,2021-22,1,38,5,false,2087,1881,41,5,54.921052631578945,49.5,,,,,,,1887,49.6578947368421,1632,42.94736842105263,-,none
BENCH#1,1786599405-529815,bench weight 0.02,1,false,2023-24,2022-23,1,38,5,false,2344,1680,39,2,61.68421052631579,44.21052631578947,,,,,,,1653,43.5,1442,37.94736842105263,-,none
BENCH#1,1786599405-529815,bench weight 0.02,1,false,2024-25,2023-24,1,38,5,false,2341,1908,37,3,61.60526315789474,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,-,none
BENCH#1,1786599405-529815,bench weight 0.02,1,false,2025-26,2024-25,1,38,5,false,2178,1498,34,0,57.31578947368421,39.421052631578945,,,,,,,1493,39.28947368421053,1339,35.23684210526316,-,none
BENCH#1,1786599405-529815,bench weight 0.02,1,false,2022-23,2021-22,6,33,5,false,1789,1692,37,7,54.21212121212121,51.27272727272727,,,,,,,1635,49.54545454545455,1507,45.666666666666664,-,none
BENCH#1,1786599405-529815,bench weight 0.02,1,false,2023-24,2022-23,6,33,5,false,2030,1702,31,0,61.515151515151516,51.57575757575758,,,,,,,1675,50.75757575757576,1457,44.15151515151515,-,none
BENCH#1,1786599405-529815,bench weight 0.02,1,false,2024-25,2023-24,6,33,5,false,1929,1797,33,4,58.45454545454545,54.45454545454545,,,,,,,1694,51.333333333333336,1538,46.60606060606061,-,none
BENCH#1,1786599405-529815,bench weight 0.02,1,false,2025-26,2024-25,6,33,5,false,1822,1696,31,1,55.21212121212121,51.39393939393939,,,,,,,1614,48.90909090909091,1473,44.63636363636363,-,none
BENCH#1,1786599405-529815,bench weight 0.02,1,false,2022-23,2021-22,11,28,5,false,1633,1532,33,7,58.32142857142857,54.714285714285715,,,,,,,1438,51.357142857142854,1352,48.285714285714285,-,none
BENCH#1,1786599405-529815,bench weight 0.02,1,false,2023-24,2022-23,11,28,5,false,1700,1380,27,1,60.714285714285715,49.285714285714285,,,,,,,1389,49.607142857142854,1231,43.964285714285715,-,none
BENCH#1,1786599405-529815,bench weight 0.02,1,false,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
BENCH#1,1786599405-529815,bench weight 0.02,1,false,2025-26,2024-25,11,28,5,false,1547,1489,24,0,55.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
BENCH#1,1786599405-529815,bench weight 0.02,1,false,2022-23,2021-22,16,23,5,false,1324,1139,27,6,57.56521739130435,49.52173913043478,,,,,,,1082,47.04347826086956,975,42.391304347826086,-,none
