sweep,run_id,metric,variant,variant_index,baseline_variant,mean_per_gw,n_cells,oracle
BONUS#1,1786599516-531436,policy,1.0 / 1.0,1,0.5 / 1.5 (ships),-0.19347092065913576,24,-
BONUS#1,1786599516-531436,policy,0.5 / 2.0,2,0.5 / 1.5 (ships),0.05142076437843013,24,-
BONUS#1,1786599516-531436,policy,0.0 / 2.0,3,0.5 / 1.5 (ships),0.20298613741119423,24,-
BONUS#1,1786599516-531436,policy,1.5 / 1.5,4,0.5 / 1.5 (ships),0.10415340549779877,24,-
BONUS#1,1786599516-531436,hold,1.0 / 1.0,1,0.5 / 1.5 (ships),0.2829274399640527,24,-
BONUS#1,1786599516-531436,hold,0.5 / 2.0,2,0.5 / 1.5 (ships),0.06676925763024144,24,-
BONUS#1,1786599516-531436,hold,0.0 / 2.0,3,0.5 / 1.5 (ships),0.2835124236726063,24,-
BONUS#1,1786599516-531436,hold,1.5 / 1.5,4,0.5 / 1.5 (ships),0.4882029996446467,24,-
BONUS#1,1786599516-531436,hold_fixedcap,1.0 / 1.0,1,0.5 / 1.5 (ships),0.16259717325220802,24,-
BONUS#1,1786599516-531436,hold_fixedcap,0.5 / 2.0,2,0.5 / 1.5 (ships),0.103705573814269,24,-
BONUS#1,1786599516-531436,hold_fixedcap,0.0 / 2.0,3,0.5 / 1.5 (ships),0.40185910580647405,24,-
BONUS#1,1786599516-531436,hold_fixedcap,1.5 / 1.5,4,0.5 / 1.5 (ships),0.4875603436101148,24,-
BONUS#1,1786599516-531436,hold_nocap,1.0 / 1.0,1,0.5 / 1.5 (ships),0.1649119880670226,24,-
BONUS#1,1786599516-531436,hold_nocap,0.5 / 2.0,2,0.5 / 1.5 (ships),0.08266321038060198,24,-
BONUS#1,1786599516-531436,hold_nocap,0.0 / 2.0,3,0.5 / 1.5 (ships),0.26069344461792987,24,-
BONUS#1,1786599516-531436,hold_nocap,1.5 / 1.5,4,0.5 / 1.5 (ships),0.37229805536441596,24,-
