sweep,run_id,key,value
BONUS#1,1786599516-531436,commit,1a08d431521b19058b48d62d4e7dd81e25a7cbd9
BONUS#1,1786599516-531436,dirty,true
BONUS#1,1786599516-531436,constants_digest,e96b61fe9477
BONUS#1,1786599516-531436,bank_up_to,5
BONUS#1,1786599516-531436,season,2022-23<-2021-22
BONUS#1,1786599516-531436,season,2023-24<-2022-23
BONUS#1,1786599516-531436,season,2024-25<-2023-24
BONUS#1,1786599516-531436,season,2025-26<-2024-25
BONUS#1,1786599516-531436,start_gw,1
BONUS#1,1786599516-531436,start_gw,6
BONUS#1,1786599516-531436,start_gw,11
BONUS#1,1786599516-531436,start_gw,16
BONUS#1,1786599516-531436,start_gw,21
BONUS#1,1786599516-531436,start_gw,26
BONUS#1,1786599516-531436,declared_arm,0	0.5 / 1.5 (ships)
BONUS#1,1786599516-531436,declared_arm,1	1.0 / 1.0
BONUS#1,1786599516-531436,declared_arm,2	0.5 / 2.0
BONUS#1,1786599516-531436,declared_arm,3	0.0 / 2.0
BONUS#1,1786599516-531436,declared_arm,4	1.5 / 1.5
BONUS#1,1786599516-531436,constant,chip_plan.bench_boost_gameweek	8
BONUS#1,1786599516-531436,constant,chip_plan.free_hit_gameweek	16
BONUS#1,1786599516-531436,constant,chip_plan.triple_captain_gameweek	9
BONUS#1,1786599516-531436,constant,chip_plan.wildcard_gameweek	6
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
BONUS#1,1786599516-531436,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
BONUS#1,1786599516-531436,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
BONUS#1,1786599516-531436,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
BONUS#1,1786599516-531436,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
BONUS#1,1786599516-531436,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.BRE[0].start_date	2026-08-26
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.CHE[0].competition	League Cup
BONUS#1,1786599516-531436,constant,"congestion.domestic_cup_campaigns.CHE[0].match_dates	6 items, sha f7a87904"
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.CHE[0].note	enters at round two
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.CHE[0].start_date	2026-08-26
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.COV[0].competition	League Cup
BONUS#1,1786599516-531436,constant,"congestion.domestic_cup_campaigns.COV[0].match_dates	6 items, sha f7a87904"
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.COV[0].note	enters at round two
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.COV[0].start_date	2026-08-26
BONUS#1,1786599516-531436,constant,congestion.domestic_cup_campaigns.CRY[0].competition	League Cup
BONUS#1,1786599516-531436,constant,"congestion.domestic_cup_campaigns.CRY[0].match_dates	5 items, sha 3f0a0705"
