sweep,run_id,metric,variant,variant_index,baseline_variant,mean_per_gw,n_cells,oracle
BONUS#1,1786599423-530187,policy,1.0 / 1.0,1,0.5 / 1.5 (ships),-0.0037643780492754666,24,-
BONUS#1,1786599423-530187,policy,0.5 / 2.0,2,0.5 / 1.5 (ships),0.39401487835412247,24,-
BONUS#1,1786599423-530187,policy,0.0 / 2.0,3,0.5 / 1.5 (ships),0.2999025589843661,24,-
BONUS#1,1786599423-530187,policy,1.5 / 1.5,4,0.5 / 1.5 (ships),0.09849213524842752,24,-
BONUS#1,1786599423-530187,hold,1.0 / 1.0,1,0.5 / 1.5 (ships),-0.09650148616109859,24,-
BONUS#1,1786599423-530187,hold,0.5 / 2.0,2,0.5 / 1.5 (ships),0.06231184327580112,24,-
BONUS#1,1786599423-530187,hold,0.0 / 2.0,3,0.5 / 1.5 (ships),0.32647330316094497,24,-
BONUS#1,1786599423-530187,hold,1.5 / 1.5,4,0.5 / 1.5 (ships),0.10514510121203398,24,-
BONUS#1,1786599423-530187,hold_fixedcap,1.0 / 1.0,1,0.5 / 1.5 (ships),-0.1071127178821684,24,-
BONUS#1,1786599423-530187,hold_fixedcap,0.5 / 2.0,2,0.5 / 1.5 (ships),0.12166924259315544,24,-
BONUS#1,1786599423-530187,hold_fixedcap,0.0 / 2.0,3,0.5 / 1.5 (ships),0.4118839779594934,24,-
BONUS#1,1786599423-530187,hold_fixedcap,1.5 / 1.5,4,0.5 / 1.5 (ships),0.1524642802531817,24,-
BONUS#1,1786599423-530187,hold_nocap,1.0 / 1.0,1,0.5 / 1.5 (ships),-0.09624315266477741,24,-
BONUS#1,1786599423-530187,hold_nocap,0.5 / 2.0,2,0.5 / 1.5 (ships),0.04634872977264296,24,-
BONUS#1,1786599423-530187,hold_nocap,0.0 / 2.0,3,0.5 / 1.5 (ships),0.17576064286590606,24,-
BONUS#1,1786599423-530187,hold_nocap,1.5 / 1.5,4,0.5 / 1.5 (ships),0.108986019383616,24,-
