"metric","p","design","clusters","estimator","se","df","t_crit","sig_gw","sig_season","mde_gw","mde_season"
"policy",1,"current: 6 nested starts",3,"season-clustered",0.712724825897416,2,4.30265272974946,3.06660741770773,116.531081872894,3.82256625397582,145.257517651081
"policy",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",1.43013094404091,2,4.30265272974946,6.15335681027678,233.827558790518,7.67023974305085,291.469110235932
"policy",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",1.43013094404091,5,2.57058183563631,3.67626862733297,139.698207838653,4.99133664185573,189.670792390518
"policy",1,"disjoint 3 x 13gw, clustered by season, p=1.00",3,"season-clustered",1.43013094404091,2,4.30265272974946,6.15335681027678,233.827558790518,7.67023974305085,291.469110235932
"policy",1,"disjoint 3 x 13gw as 9 clusters, p=1.00",9,"segment-clustered",1.43013094404091,8,2.30600413520417,3.29788787084177,125.319739091987,4.56911627603398,173.626418489291
"policy",-0.590198762740226,"disjoint 2 x 19gw, clustered by season, p=-0.59",3,"season-clustered",1.13180803655254,2,4.30265272974946,4.86977693802516,185.051523644956,6.07024064449676,230.669144490877
"policy",-0.590198762740226,"disjoint 2 x 19gw as 6 clusters, p=-0.59",6,"segment-clustered",1.13180803655254,5,2.57058183563631,2.90940518018916,110.557396847188,3.95015222062763,150.10578438385
"policy",-0.590198762740226,"disjoint 3 x 13gw, clustered by season, p=-0.59",3,"season-clustered",0.819903465839157,2,4.30265272974946,3.52775988542389,134.054875646108,4.39739883634373,167.101155781062
"policy",-0.590198762740226,"disjoint 3 x 13gw as 9 clusters, p=-0.59",9,"segment-clustered",0.819903465839157,8,2.30600413520417,1.89070078269332,71.8466297423463,2.6195043790586,99.5411664042269
"hold",1,"current: 6 nested starts",3,"season-clustered",0.888207582698901,2,4.30265272974946,3.8216487802836,145.222653650777,4.76373518752516,181.021937125956
"hold",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",1.78224905685031,2,4.30265272974946,7.6683987695504,291.399153242915,9.55875936034367,363.23285569306
"hold",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",1.78224905685031,5,2.57058183563631,4.58141705211936,174.093847980536,6.22027308718615,236.370377313074
"hold",1,"disjoint 3 x 13gw, clustered by season, p=1.00",3,"season-clustered",1.78224905685031,2,4.30265272974946,7.6683987695504,291.399153242915,9.55875936034367,363.23285569306
"hold",1,"disjoint 3 x 13gw as 9 clusters, p=1.00",9,"segment-clustered",1.78224905685031,8,2.30600413520417,4.10987369506054,156.175200412301,5.69409619974494,216.375655590308
"hold",-0.590198762740226,"disjoint 2 x 19gw, clustered by season, p=-0.59",3,"season-clustered",1.41047490377473,2,4.30265272974946,6.06878369496946,230.61378040884,7.5648182486983,287.463093450535
"hold",-0.590198762740226,"disjoint 2 x 19gw as 6 clusters, p=-0.59",6,"segment-clustered",1.41047490377473,5,2.57058183563631,3.62574116726421,137.77816435604,4.92273459221604,187.06391450421
"hold",-0.590198762740226,"disjoint 3 x 13gw, clustered by season, p=-0.59",3,"season-clustered",1.02177509324513,2,4.30265272974946,4.39634339414116,167.061048977364,5.48009954006288,208.243782522389
"hold",-0.590198762740226,"disjoint 3 x 13gw as 9 clusters, p=-0.59",9,"segment-clustered",1.02177509324513,8,2.30600413520417,2.35621759027189,89.5362684303317,3.2644627601729,124.04958488657
"hold_fixedcap",1,"current: 6 nested starts",3,"season-clustered",0.867559381830557,2,4.30265272974946,3.732806742453,141.846656213214,4.6529924254146,176.813712165755
"hold_fixedcap",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",1.7408170343816,2,4.30265272974946,7.49013116497635,284.624984269101,9.33654645970077,354.788765468629
"hold_fixedcap",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",1.7408170343816,5,2.57058183563631,4.47491264774761,170.046680614409,6.07567012425049,230.875464721519
"hold_fixedcap",1,"disjoint 3 x 13gw, clustered by season, p=1.00",3,"season-clustered",1.7408170343816,2,4.30265272974946,7.49013116497635,284.624984269101,9.33654645970077,354.788765468629
"hold_fixedcap",1,"disjoint 3 x 13gw as 9 clusters, p=1.00",9,"segment-clustered",1.7408170343816,8,2.30600413520417,4.01433127991782,152.544588636877,5.56172529412989,211.345561176936
"hold_fixedcap",-0.590198762740226,"disjoint 2 x 19gw, clustered by season, p=-0.59",3,"season-clustered",1.3776855314476,2,4.30265272974946,5.92770241261934,225.252691679535,7.38895858506313,280.780426232399
"hold_fixedcap",-0.590198762740226,"disjoint 2 x 19gw as 6 clusters, p=-0.59",6,"segment-clustered",1.3776855314476,5,2.57058183563631,3.54145340235816,134.57522928961,4.80829556392857,182.715231429286
"hold_fixedcap",-0.590198762740226,"disjoint 3 x 13gw, clustered by season, p=-0.59",3,"season-clustered",0.998021842565271,2,4.30265272974946,4.29414140526305,163.177373399996,5.35270342423834,203.402730121057
"hold_fixedcap",-0.590198762740226,"disjoint 3 x 13gw as 9 clusters, p=-0.59",9,"segment-clustered",0.998021842565271,8,2.30600413520417,2.30144249597959,87.4548148472246,3.18857365033839,121.165798712859
