"estimator","se","df","t_crit","sig_gw","sig_season","mde_gw","mde_season","scope","block","metric","variant","variant_index","f_season","p_season","f_power","arms","is_primary","p_season_pooled","seasons","start_gws","power","alpha","season_gws","scale"
"season-clustered (primary)",0.686314379780279,2,4.30265272974946,2.95297243962793,112.212952705861,3.68091876758064,139.874913168064,"arm","paired / XGC6R#1:v0","policy","xGC repair on (ships)",1,0.927261917332982,0.427149034516656,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",0.712724825897416,10,2.22813885198627,1.58804987535718,60.345895263573,2.21457621316466,84.1538961002572,"arm","paired / XGC6R#1:v0","policy","xGC repair on (ships)",1,0.927261917332982,0.427149034516656,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.332945022712064,2,4.30265272974946,1.43254681082856,54.4367788114853,1.78568833581157,67.8561567608398,"arm","paired / XGC6R#1:v0","hold","xGC repair on (ships)",1,0.140512868849356,0.870598206503685,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",0.888207582698901,10,2.22813885198627,1.97904982364023,75.2038932983289,2.7598356525897,104.873754798409,"arm","paired / XGC6R#1:v0","hold","xGC repair on (ships)",1,0.140512868849356,0.870598206503685,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.5327942260142,2,4.30265272974946,2.29242853095475,87.1122841762804,2.85754214624227,108.586601557206,"arm","paired / XGC6R#1:v0","hold_fixedcap","xGC repair on (ships)",1,0.377155632620484,0.695163544304291,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",0.867559381830557,10,2.22813885198627,1.93304276506186,73.4556250723506,2.69567763139252,102.435749992916,"arm","paired / XGC6R#1:v0","hold_fixedcap","xGC repair on (ships)",1,0.377155632620484,0.695163544304291,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.643894222230121,2,4.30265272974946,2.77045323294834,105.277222852037,3.45340618930697,131.229435193665,"arm","paired / XGC6R#1:v0","hold_nocap","xGC repair on (ships)",1,0.590783259671306,0.572119487817275,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",0.837722996965501,10,2.22813885198627,1.86656315674121,70.9293999561661,2.6029701153806,98.9128643844627,"arm","paired / XGC6R#1:v0","hold_nocap","xGC repair on (ships)",1,0.590783259671306,0.572119487817275,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.712724825897416,2,4.30265272974946,3.06660741770773,116.531081872894,3.82256625397582,145.257517651081,"pooled","paired / XGC6R#1:v0","policy",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.427149034516656,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",0.712724825897416,10,2.22813885198627,1.58804987535718,60.345895263573,2.21457621316466,84.1538961002572,"pooled","paired / XGC6R#1:v0","policy",NA,NA,NA,NA,0.179254484467234,1,TRUE,0.427149034516656,3,6,0.8,0.05,38,"per_gw"
