"estimator","se","df","t_crit","sig_gw","sig_season","mde_gw","mde_season","scope","block","metric","variant","variant_index","f_season","p_season","f_power","arms","is_primary","p_season_pooled","seasons","start_gws","power","alpha","season_gws","scale"
"season-clustered (primary)",0.505981335963415,2,4.30265272974946,2.17706197638527,82.7283551026402,2.71373622710561,103.121976630013,"arm","paired / BOTH6R#1:v0","policy","shipped (both repairs)",1,0.169807142818385,0.846210306265465,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.22788168103961,10,2.22813885198627,2.73589087916657,103.963853408329,3.81526988341829,144.980255569895,"arm","paired / BOTH6R#1:v0","policy","shipped (both repairs)",1,0.169807142818385,0.846210306265465,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.340546102464379,2,4.30265272974946,1.4652516173739,55.6795614602082,1.82645530491272,69.4053015866832,"arm","paired / BOTH6R#1:v0","hold","shipped (both repairs)",1,0.0694133154226779,0.933386500796214,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.29257133363377,10,2.22813885198627,2.88002840743311,109.441079482458,4.01627335722396,152.61838757451,"arm","paired / BOTH6R#1:v0","hold","shipped (both repairs)",1,0.0694133154226779,0.933386500796214,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.202911852780952,2,4.30265272974946,0.873059237266485,33.1762510161264,1.08827975789329,41.3546307999451,"arm","paired / BOTH6R#1:v0","hold_fixedcap","shipped (both repairs)",1,0.0200396479824491,0.980199069097237,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.43338340527873,10,2.22813885198627,3.19377725509392,121.363535693569,4.45380415881868,169.24455803511,"arm","paired / BOTH6R#1:v0","hold_fixedcap","shipped (both repairs)",1,0.0200396479824491,0.980199069097237,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.145745005006762,2,4.30265272974946,0.627090143639692,23.8294254583083,0.781676065686215,29.7036904960762,"arm","paired / BOTH6R#1:v0","hold_nocap","shipped (both repairs)",1,0.0147850287513261,0.985345229867387,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.19862296081654,10,2.22813885198627,2.67069838787816,101.48653873937,3.72435728506443,141.525576832448,"arm","paired / BOTH6R#1:v0","hold_nocap","shipped (both repairs)",1,0.0147850287513261,0.985345229867387,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",1.22788168103961,2,4.30265272974946,5.28314846673442,200.759641735908,6.58551366147119,250.249519135905,"pooled","paired / BOTH6R#1:v0","policy",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.846210306265465,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.22788168103961,10,2.22813885198627,2.73589087916657,103.963853408329,3.81526988341829,144.980255569895,"pooled","paired / BOTH6R#1:v0","policy",NA,NA,NA,NA,0.179254484467234,1,TRUE,0.846210306265465,3,6,0.8,0.05,38,"per_gw"
"naive, all cells independent",1.22788168103961,17,2.10981557783332,2.59060389839352,98.4429481389539,3.65060838950948,138.72311880136,"pooled","paired / BOTH6R#1:v0","policy",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.846210306265465,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",1.29257133363377,2,4.30265272974946,5.56148557705524,211.336451928099,6.93246450982491,263.433651373347,"pooled","paired / BOTH6R#1:v0","hold",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.933386500796214,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.29257133363377,10,2.22813885198627,2.88002840743311,109.441079482458,4.01627335722396,152.61838757451,"pooled","paired / BOTH6R#1:v0","hold",NA,NA,NA,NA,0.179254484467234,1,TRUE,0.933386500796214,3,6,0.8,0.05,38,"per_gw"
"naive, all cells independent",1.29257133363377,17,2.10981557783332,2.72708713516131,103.62931113613,3.842936846006,146.031600148228,"pooled","paired / BOTH6R#1:v0","hold",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.933386500796214,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",1.43338340527873,2,4.30265272974946,6.16735102150009,234.359338817003,7.68768371036937,292.131980994036,"pooled","paired / BOTH6R#1:v0","hold_fixedcap",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.980199069097237,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.43338340527873,10,2.22813885198627,3.19377725509392,121.363535693569,4.45380415881868,169.24455803511,"pooled","paired / BOTH6R#1:v0","hold_fixedcap",NA,NA,NA,NA,0.179254484467234,1,TRUE,0.980199069097237,3,6,0.8,0.05,38,"per_gw"
"naive, all cells independent",1.43338340527873,17,2.10981557783332,3.02417463746482,114.918636223663,4.26158445516005,161.940209296082,"pooled","paired / BOTH6R#1:v0","hold_fixedcap",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.980199069097237,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",1.19862296081654,2,4.30265272974946,5.15725835429769,195.975817463312,6.4285899898166,244.286419613031,"pooled","paired / BOTH6R#1:v0","hold_nocap",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.985345229867387,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.19862296081654,10,2.22813885198627,2.67069838787816,101.48653873937,3.72435728506443,141.525576832448,"pooled","paired / BOTH6R#1:v0","hold_nocap",NA,NA,NA,NA,0.179254484467234,1,TRUE,0.985345229867387,3,6,0.8,0.05,38,"per_gw"
"naive, all cells independent",1.19862296081654,17,2.10981557783332,2.52887339467944,96.0971889978186,3.56361944655026,135.41753896891,"pooled","paired / BOTH6R#1:v0","hold_nocap",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.985345229867387,3,6,0.8,0.05,38,"per_gw"
