"metric","p","design","clusters","estimator","se","df","t_crit","sig_gw","sig_season","mde_gw","mde_season"
"policy",1,"current: 6 nested starts",3,"season-clustered",0.866186862299815,2,4.30265272974946,3.72690126754742,141.622248166802,4.64563117370777,176.533984600895
"policy",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",1.73806298038924,2,4.30265272974946,7.47828142704825,284.174694227834,9.32177560639206,354.227473042898
"policy",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",1.73806298038924,5,2.57058183563631,4.4678331265805,169.777658810059,6.06605812986426,230.510208934842
"policy",1,"disjoint 3 x 13gw, clustered by season, p=1.00",3,"season-clustered",1.73806298038924,2,4.30265272974946,7.47828142704825,284.174694227834,9.32177560639206,354.227473042898
"policy",1,"disjoint 3 x 13gw as 9 clusters, p=1.00",9,"segment-clustered",1.73806298038924,8,2.30600413520417,4.00798042002287,152.303255960869,5.55292638450977,211.011202611371
"policy",0.745017351051052,"disjoint 2 x 19gw, clustered by season, p=0.75",3,"season-clustered",1.67407083056817,2,4.30265272974946,7.20294542893807,273.711926299647,8.97856568366008,341.185495979083
"policy",0.745017351051052,"disjoint 2 x 19gw as 6 clusters, p=0.75",6,"segment-clustered",1.67407083056817,5,2.57058183563631,4.30333606862712,163.526770607831,5.84271748855867,222.02326456523
"policy",0.745017351051052,"disjoint 3 x 13gw, clustered by season, p=0.75",3,"season-clustered",1.58973128638906,2,4.30265272974946,6.84006165895002,259.922343040101,8.5262263182552,323.996600093697
"policy",0.745017351051052,"disjoint 3 x 13gw as 9 clusters, p=0.75",9,"segment-clustered",1.58973128638906,8,2.30600413520417,3.66592692027661,139.305222970511,5.07902239681413,193.002851078937
"hold",1,"current: 6 nested starts",3,"season-clustered",1.08932630760855,2,4.30265272974946,4.68699281101983,178.105726818753,5.84239783957219,222.011117903743
"hold",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",2.18580748707221,2,4.30265272974946,9.40477055095806,357.381280936406,11.7231694956737,445.4804408356
"hold",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",2.18580748707221,5,2.57058183563631,5.61879702246568,213.514286853696,7.62874270200676,289.892222676257
"hold",1,"disjoint 3 x 13gw, clustered by season, p=1.00",3,"season-clustered",2.18580748707221,2,4.30265272974946,9.40477055095806,357.381280936406,11.7231694956737,445.4804408356
"hold",1,"disjoint 3 x 13gw as 9 clusters, p=1.00",9,"segment-clustered",2.18580748707221,8,2.30600413520417,5.04048110394874,191.538281950052,6.9834224670639,265.370053748428
"hold",0.745017351051052,"disjoint 2 x 19gw, clustered by season, p=0.75",3,"season-clustered",2.10533024213289,2,4.30265272974946,9.05850491333717,344.223186706812,11.2915448496111,429.078704285221
"hold",0.745017351051052,"disjoint 2 x 19gw as 6 clusters, p=0.75",6,"segment-clustered",2.10533024213289,5,2.57058183563631,5.41192367844261,205.653099780819,7.34786700794882,279.218946302055
"hold",0.745017351051052,"disjoint 3 x 13gw, clustered by season, p=0.75",3,"season-clustered",1.99926388596341,2,4.30265272974946,8.60213821643,326.88125222434,10.7226777931491,407.461756139668
"hold",0.745017351051052,"disjoint 3 x 13gw as 9 clusters, p=0.75",9,"segment-clustered",1.99926388596341,8,2.30600413520417,4.61031078839598,175.191809959047,6.38743549987902,242.722548995403
"hold_fixedcap",1,"current: 6 nested starts",3,"season-clustered",1.16300188241386,2,4.30265272974946,5.00399322407175,190.151742514726,6.23754300045309,237.026634017217
"hold_fixedcap",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",2.33364254980684,2,4.30265272974946,10.0408534871859,381.552432513064,12.5160551949367,475.610097407595
"hold_fixedcap",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",2.33364254980684,5,2.57058183563631,5.99881914940148,227.955127677256,8.1447056413817,309.498814372505
"hold_fixedcap",1,"disjoint 3 x 13gw, clustered by season, p=1.00",3,"season-clustered",2.33364254980684,2,4.30265272974946,10.0408534871859,381.552432513064,12.5160551949367,475.610097407595
"hold_fixedcap",1,"disjoint 3 x 13gw as 9 clusters, p=1.00",9,"segment-clustered",2.33364254980684,8,2.30600413520417,5.38138936994297,204.492796057833,7.45573977068137,283.318111285892
"hold_fixedcap",0.745017351051052,"disjoint 2 x 19gw, clustered by season, p=0.75",3,"season-clustered",2.24772230102355,2,4.30265272974946,9.67116849421771,367.504402780273,12.0552380161347,458.099044613118
"hold_fixedcap",0.745017351051052,"disjoint 2 x 19gw as 6 clusters, p=0.75",6,"segment-clustered",2.24772230102355,5,2.57058183563631,5.77795411856579,219.5622565055,7.84483318018059,298.103660846862
"hold_fixedcap",0.745017351051052,"disjoint 3 x 13gw, clustered by season, p=0.75",3,"season-clustered",2.13448224519796,2,4.30265272974946,9.18393585890274,348.989562638304,11.4478961637554,435.020054222705
"hold_fixedcap",0.745017351051052,"disjoint 3 x 13gw as 9 clusters, p=0.75",9,"segment-clustered",2.13448224519796,8,2.30600413520417,4.92212488394636,187.040745589962,6.81944377756263,259.13886354738
"hold_nocap",1,"current: 6 nested starts",3,"season-clustered",1.05915138523779,2,4.30265272974946,4.5571605989113,173.17210275863,5.68056028911846,215.861290986501
"hold_nocap",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",2.1252594485468,2,4.30265272974946,9.14425336771573,347.481627973198,11.3984314194881,433.140393940546
"hold_nocap",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",2.1252594485468,5,2.57058183563631,5.46315333444885,207.599826709056,7.41742244175811,281.862052786808
"hold_nocap",1,"disjoint 3 x 13gw, clustered by season, p=1.00",3,"season-clustered",2.1252594485468,2,4.30265272974946,9.14425336771573,347.481627973198,11.3984314194881,433.140393940546
"hold_nocap",1,"disjoint 3 x 13gw as 9 clusters, p=1.00",9,"segment-clustered",2.1252594485468,8,2.30600413520417,4.90085707673065,186.232568915765,6.78997792307921,258.01916107701
"hold_nocap",0.745017351051052,"disjoint 2 x 19gw, clustered by season, p=0.75",3,"season-clustered",2.04701146641119,2,4.30265272974946,8.80757947378255,334.688020003737,10.9787630073815,417.192994280497
