"estimator","se","df","t_crit","sig_gw","sig_season","mde_gw","mde_season","scope","block","metric","variant","variant_index","f_season","p_season","f_power","arms","is_primary","p_season_pooled","seasons","start_gws","power","alpha","season_gws","scale"
"season-clustered (primary)",0.298201055930129,2,4.30265272974946,1.28305558731194,48.7561123178537,1.59934557051972,60.7751316797492,"arm","paired / XG6R#1:v0","policy","expected-goals backfill, xGC still absent",1,0.118520962353626,0.889462392870791,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",0.866186862299815,10,2.22813885198627,1.9299846009703,73.3394148368715,2.69141294326263,102.27369184398,"arm","paired / XG6R#1:v0","policy","expected-goals backfill, xGC still absent",1,0.118520962353626,0.889462392870791,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.446804861692627,2,4.30265272974946,1.92244615782711,73.0529539974303,2.39635427918208,91.0614626089189,"arm","paired / XG6R#1:v0","hold","expected-goals backfill, xGC still absent",1,0.168236333868551,0.847497053701791,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.08932630760855,10,2.22813885198627,2.42717026847336,92.2324702019876,3.38475108702276,128.620541306865,"arm","paired / XG6R#1:v0","hold","expected-goals backfill, xGC still absent",1,0.168236333868551,0.847497053701791,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.400827907858369,2,4.30265272974946,1.72462329190658,65.5356850924499,2.14976548950978,81.6910886013716,"arm","paired / XG6R#1:v0","hold_fixedcap","expected-goals backfill, xGC still absent",1,0.118783213001359,0.889234567058729,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.16300188241386,10,2.22813885198627,2.59132967913949,98.4705278073005,3.61367558849446,137.31967236279,"arm","paired / XG6R#1:v0","hold_fixedcap","expected-goals backfill, xGC still absent",1,0.118783213001359,0.889234567058729,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.765093006733748,2,4.30265272974946,3.29192951393518,125.093321529537,4.10343319388494,155.930461367628,"arm","paired / XG6R#1:v0","hold_nocap","expected-goals backfill, xGC still absent",1,0.521809987868977,0.608755267096255,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.05915138523779,10,2.22813885198627,2.3599363515834,89.6775813601693,3.29099166839688,125.057683399082,"arm","paired / XG6R#1:v0","hold_nocap","expected-goals backfill, xGC still absent",1,0.521809987868977,0.608755267096255,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.866186862299815,2,4.30265272974946,3.72690126754742,141.622248166802,4.64563117370777,176.533984600895,"pooled","paired / XG6R#1:v0","policy",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.889462392870791,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",0.866186862299815,10,2.22813885198627,1.9299846009703,73.3394148368715,2.69141294326263,102.27369184398,"pooled","paired / XG6R#1:v0","policy",NA,NA,NA,NA,0.179254484467234,1,TRUE,0.889462392870791,3,6,0.8,0.05,38,"per_gw"
"naive, all cells independent",0.866186862299815,17,2.10981557783332,1.82749453539471,69.444792344999,2.57525547878305,97.8597081937561,"pooled","paired / XG6R#1:v0","policy",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.889462392870791,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",1.08932630760855,2,4.30265272974946,4.68699281101983,178.105726818753,5.84239783957219,222.011117903743,"pooled","paired / XG6R#1:v0","hold",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.847497053701791,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.08932630760855,10,2.22813885198627,2.42717026847336,92.2324702019876,3.38475108702276,128.620541306865,"pooled","paired / XG6R#1:v0","hold",NA,NA,NA,NA,0.179254484467234,1,TRUE,0.847497053701791,3,6,0.8,0.05,38,"per_gw"
"naive, all cells independent",1.08932630760855,17,2.10981557783332,2.29827761313616,87.3345492991742,3.23867015761829,123.069465989495,"pooled","paired / XG6R#1:v0","hold",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.847497053701791,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",1.16300188241386,2,4.30265272974946,5.00399322407175,190.151742514726,6.23754300045309,237.026634017217,"pooled","paired / XG6R#1:v0","hold_fixedcap",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.889234567058729,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.16300188241386,10,2.22813885198627,2.59132967913949,98.4705278073005,3.61367558849446,137.31967236279,"pooled","paired / XG6R#1:v0","hold_fixedcap",NA,NA,NA,NA,0.179254484467234,1,TRUE,0.889234567058729,3,6,0.8,0.05,38,"per_gw"
