"metric","p","design","clusters","estimator","se","df","t_crit","sig_gw","sig_season","mde_gw","mde_season"
"policy",1,"current: 6 nested starts",3,"season-clustered",1.52468540141544,2,4.30265272974946,6.56019180440928,249.287288567553,8.17736488418477,310.739865599021
"policy",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",2.19097583128431,2,4.30265272974946,9.42700814129052,358.22630936904,11.750888942866,446.533779828907
"policy",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",2.19097583128431,5,2.57058183563631,5.63208267421761,214.019141620269,7.64678087253307,290.577673156257
"policy",1,"disjoint 3 x 13gw, clustered by season, p=1.00",3,"season-clustered",2.19097583128431,2,4.30265272974946,9.42700814129052,358.22630936904,11.750888942866,446.533779828907
"policy",1,"disjoint 3 x 13gw as 9 clusters, p=1.00",9,"segment-clustered",2.19097583128431,8,2.30600413520417,5.052399327074,191.991174428812,6.9999347771835,265.997521532973
"policy",-0.62545451032106,"disjoint 2 x 19gw, clustered by season, p=-0.63",3,"season-clustered",1.88368213455388,2,4.30265272974946,8.10483007821855,307.983542972305,10.1027766946331,383.905514396056
"policy",-0.62545451032106,"disjoint 2 x 19gw as 6 clusters, p=-0.63",6,"segment-clustered",1.88368213455388,5,2.57058183563631,4.84215907919685,184.00204500948,6.57428726997663,249.822916259112
"policy",-0.62545451032106,"disjoint 3 x 13gw, clustered by season, p=-0.63",3,"season-clustered",1.60088203891063,2,4.30265272974946,6.88803947472571,261.745500039577,8.58603129311589,326.269189138404
"policy",-0.62545451032106,"disjoint 3 x 13gw as 9 clusters, p=-0.63",9,"segment-clustered",1.60088203891063,8,2.30600413520417,3.69164060170199,140.282342864676,5.11464786527114,194.356618880303
"hold",1,"current: 6 nested starts",3,"season-clustered",1.0505291588825,2,4.30265272974946,4.52006215314719,171.762361819593,5.63431659126721,214.104030468154
"hold",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",2.10795836365516,2,4.30265272974946,9.0698128075791,344.652886688006,11.3056402876783,429.614330931775
"hold",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",2.10795836365516,5,2.57058183563631,5.41867947988961,205.909820235805,7.35703948219534,279.567500323423
"hold",1,"disjoint 3 x 13gw, clustered by season, p=1.00",3,"season-clustered",2.10795836365516,2,4.30265272974946,9.0698128075791,344.652886688006,11.3056402876783,429.614330931775
"hold",1,"disjoint 3 x 13gw as 9 clusters, p=1.00",9,"segment-clustered",2.10795836365516,8,2.30600413520417,4.86096070342701,184.716506730226,6.73470279676941,255.918706277238
"hold",-0.62545451032106,"disjoint 2 x 19gw, clustered by season, p=-0.63",3,"season-clustered",1.65961133539091,2,4.30265272974946,7.14073124254284,271.347787216628,8.90101488662629,338.238565691799
"hold",-0.62545451032106,"disjoint 2 x 19gw as 6 clusters, p=-0.63",6,"segment-clustered",1.65961133539091,5,2.57058183563631,4.26616675297199,162.114336612936,5.79225203404787,220.105577293819
"hold",-0.62545451032106,"disjoint 3 x 13gw, clustered by season, p=-0.63",3,"season-clustered",1.19369184485191,2,4.30265272974946,5.13604147473175,195.169576039806,6.40214287194455,243.281429133893
"hold",-0.62545451032106,"disjoint 3 x 13gw as 9 clusters, p=-0.63",9,"segment-clustered",1.19369184485191,8,2.30600413520417,2.752658330388,104.601016554744,3.81371849872084,144.921302951392
"hold_fixedcap",1,"current: 6 nested starts",3,"season-clustered",1.05484385136231,2,4.30265272974946,4.53862677652346,172.467817507892,5.6574576371103,214.983390210191
"hold_fixedcap",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",2.11661608821474,2,4.30265272974946,9.10706398978879,346.068431611974,11.3520743735066,431.37882619325
"hold_fixedcap",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",2.11661608821474,5,2.57058183563631,5.44093486938041,206.755525036455,7.38725602845594,280.715729081326
