"estimator","se","df","t_crit","sig_gw","sig_season","mde_gw","mde_season","scope","block","metric","variant","variant_index","f_season","p_season","f_power","arms","is_primary","p_season_pooled","seasons","start_gws","power","alpha","season_gws","scale"
"season-clustered (primary)",1.52468540141544,2,4.30265272974946,6.56019180440928,249.287288567553,8.17736488418477,310.739865599021,"arm","paired / AGG6R#1:v0","policy","shipped (aggregates rebuilt)",1,2.84167915214095,0.105391279570303,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",0.904466990573858,10,2.22813885198627,2.01527804203672,76.5805655973952,2.81035683076626,106.793559569118,"arm","paired / AGG6R#1:v0","policy","shipped (aggregates rebuilt)",1,2.84167915214095,0.105391279570303,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.379036540486855,2,4.30265272974946,1.63086260560056,61.9727790128212,2.03289156774418,77.2498795742787,"arm","paired / AGG6R#1:v0","hold","shipped (aggregates rebuilt)",1,0.13018050033519,0.879400673035724,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.0505291588825,10,2.22813885198627,2.34072483405056,88.9475436939211,3.26420071528688,124.039627180902,"arm","paired / AGG6R#1:v0","hold","shipped (aggregates rebuilt)",1,0.13018050033519,0.879400673035724,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.61504262324629,2,4.30265272974946,2.64631482182292,100.559963229271,3.29866603624724,125.349309377395,"arm","paired / AGG6R#1:v0","hold_fixedcap","shipped (aggregates rebuilt)",1,0.339964897093703,0.719710785343934,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.05484385136231,10,2.22813885198627,2.35033856799919,89.3128655839692,3.27760731343768,124.549077910632,"arm","paired / AGG6R#1:v0","hold_fixedcap","shipped (aggregates rebuilt)",1,0.339964897093703,0.719710785343934,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",0.356474232806296,2,4.30265272974946,1.53378483086935,58.2838235730354,1.91188285187276,72.6515483711648,"arm","paired / AGG6R#1:v0","hold_nocap","shipped (aggregates rebuilt)",1,0.122767088147156,0.885782239739151,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",1.01738929916629,10,2.22813885198627,2.2668846250675,86.1416157525651,3.16122865318323,120.126688820963,"arm","paired / AGG6R#1:v0","hold_nocap","shipped (aggregates rebuilt)",1,0.122767088147156,0.885782239739151,0.179254484467234,NA,FALSE,NA,3,6,0.8,0.05,38,"per_gw"
"season-clustered (primary)",1.52468540141544,2,4.30265272974946,6.56019180440928,249.287288567553,8.17736488418477,310.739865599021,"pooled","paired / AGG6R#1:v0","policy",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.105391279570303,3,6,0.8,0.05,38,"per_gw"
"start fixed, no season effect",0.904466990573858,10,2.22813885198627,2.01527804203672,76.5805655973952,2.81035683076626,106.793559569118,"pooled","paired / AGG6R#1:v0","policy",NA,NA,NA,NA,0.179254484467234,1,TRUE,0.105391279570303,3,6,0.8,0.05,38,"per_gw"
"naive, all cells independent",1.0340025998096,17,2.10981557783332,2.18155479259843,82.8990821187404,3.07418754097184,116.81912655693,"pooled","paired / AGG6R#1:v0","policy",NA,NA,NA,NA,0.179254484467234,1,FALSE,0.105391279570303,3,6,0.8,0.05,38,"per_gw"
