sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2022-23,2021-22,1,38,5,false,2124,1842,36,2,55.89473684210526,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2023-24,2022-23,1,38,5,false,2377,1809,37,2,62.55263157894737,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2024-25,2023-24,1,38,5,false,2256,1847,34,3,59.36842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2025-26,2024-25,1,38,5,false,2151,1514,37,3,56.60526315789474,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2022-23,2021-22,6,33,5,false,1797,1563,31,3,54.45454545454545,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2023-24,2022-23,6,33,5,false,2058,1662,32,0,62.36363636363637,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2024-25,2023-24,6,33,5,false,1913,1762,30,2,57.96969696969697,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2025-26,2024-25,6,33,5,false,1803,1742,31,3,54.63636363636363,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2022-23,2021-22,11,28,5,false,1564,1548,28,4,55.857142857142854,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2023-24,2022-23,11,28,5,false,1717,1424,27,1,61.32142857142857,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2024-25,2023-24,11,28,5,false,1771,1704,25,1,63.25,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2025-26,2024-25,11,28,5,false,1469,1489,25,2,52.464285714285715,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2022-23,2021-22,16,23,5,false,1364,1106,20,1,59.30434782608695,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2023-24,2022-23,16,23,5,false,1441,1077,22,1,62.65217391304348,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2024-25,2023-24,16,23,5,false,1401,1336,23,2,60.91304347826087,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2025-26,2024-25,16,23,5,false,1334,1288,22,2,58,56,,,,,,,1289,56.04347826086956,1127,49,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2022-23,2021-22,21,18,5,false,1164,1181,14,0,64.66666666666667,65.61111111111111,,,,,,,1171,65.05555555555556,1032,57.333333333333336,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2023-24,2022-23,21,18,5,false,1170,909,17,1,65,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2024-25,2023-24,21,18,5,false,1089,1047,17,1,60.5,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2025-26,2024-25,21,18,5,false,1069,950,14,0,59.388888888888886,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2022-23,2021-22,26,13,5,false,859,812,11,0,66.07692307692308,62.46153846153846,,,,,,,808,62.15384615384615,696,53.53846153846154,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2023-24,2022-23,26,13,5,false,823,620,11,0,63.30769230769231,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2024-25,2023-24,26,13,5,false,724,710,7,0,55.69230769230769,54.61538461538461,,,,,,,710,54.61538461538461,637,49,-,none
H#1,1786641360-604705,min_gain=0.70 (ships),0,true,2025-26,2024-25,26,13,5,false,750,761,9,0,57.69230769230769,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,-,none
H#1,1786641360-604705,min_gain=0.00,1,false,2022-23,2021-22,1,38,5,false,2052,1842,38,2,54,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,-,none
H#1,1786641360-604705,min_gain=0.00,1,false,2023-24,2022-23,1,38,5,false,2233,1809,37,1,58.76315789473684,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
H#1,1786641360-604705,min_gain=0.00,1,false,2024-25,2023-24,1,38,5,false,2218,1847,35,2,58.36842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
H#1,1786641360-604705,min_gain=0.00,1,false,2025-26,2024-25,1,38,5,false,2134,1514,36,2,56.1578947368421,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
H#1,1786641360-604705,min_gain=0.00,1,false,2022-23,2021-22,6,33,5,false,1809,1563,31,1,54.81818181818182,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,-,none
H#1,1786641360-604705,min_gain=0.00,1,false,2023-24,2022-23,6,33,5,false,2077,1662,33,2,62.93939393939394,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
H#1,1786641360-604705,min_gain=0.00,1,false,2024-25,2023-24,6,33,5,false,1940,1762,33,4,58.78787878787879,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
H#1,1786641360-604705,min_gain=0.00,1,false,2025-26,2024-25,6,33,5,false,1865,1742,31,3,56.515151515151516,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
H#1,1786641360-604705,min_gain=0.00,1,false,2022-23,2021-22,11,28,5,false,1554,1548,30,4,55.5,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,-,none
H#1,1786641360-604705,min_gain=0.00,1,false,2023-24,2022-23,11,28,5,false,1710,1424,27,1,61.07142857142857,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
