sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2020-21,2019-20,1,38,5,false,2167,1711,39,3,57.026315789473685,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2021-22,2020-21,1,38,5,false,2284,1942,42,6,60.10526315789474,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2022-23,2021-22,1,38,5,false,2058,1842,38,2,54.1578947368421,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2023-24,2022-23,1,38,5,false,2254,1809,37,1,59.31578947368421,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2024-25,2023-24,1,38,5,false,2275,1847,35,2,59.86842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2025-26,2024-25,1,38,5,false,2126,1514,36,2,55.94736842105263,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2020-21,2019-20,6,33,5,false,1816,1634,36,5,55.03030303030303,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2021-22,2020-21,6,33,5,false,1833,1513,36,5,55.54545454545455,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2022-23,2021-22,6,33,5,false,1820,1563,31,1,55.15151515151515,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2023-24,2022-23,6,33,5,false,2082,1662,33,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2024-25,2023-24,6,33,5,false,1954,1762,33,4,59.21212121212121,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2025-26,2024-25,6,33,5,false,1904,1742,31,3,57.696969696969695,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2020-21,2019-20,11,28,5,false,1656,1389,24,1,59.142857142857146,49.607142857142854,,,,,,,1387,49.535714285714285,1212,43.285714285714285,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2021-22,2020-21,11,28,5,false,1514,1604,32,6,54.07142857142857,57.285714285714285,,,,,,,1632,58.285714285714285,1444,51.57142857142857,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2022-23,2021-22,11,28,5,false,1578,1548,30,4,56.357142857142854,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2023-24,2022-23,11,28,5,false,1732,1424,27,1,61.857142857142854,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
TestDiagBaseline#1,1786636994-582197,shipped (baseline),0,true,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
