sweep,run_id,key,value
TestDiagBaseline#1,1786636994-582197,commit,5f8c29d1fe09eb1c4538d71b12be03ab3ae08424
TestDiagBaseline#1,1786636994-582197,dirty,true
TestDiagBaseline#1,1786636994-582197,constants_digest,67455aaa8835
TestDiagBaseline#1,1786636994-582197,bank_up_to,5
TestDiagBaseline#1,1786636994-582197,season,2020-21<-2019-20
TestDiagBaseline#1,1786636994-582197,season,2021-22<-2020-21
TestDiagBaseline#1,1786636994-582197,season,2022-23<-2021-22
TestDiagBaseline#1,1786636994-582197,season,2023-24<-2022-23
TestDiagBaseline#1,1786636994-582197,season,2024-25<-2023-24
TestDiagBaseline#1,1786636994-582197,season,2025-26<-2024-25
TestDiagBaseline#1,1786636994-582197,start_gw,1
TestDiagBaseline#1,1786636994-582197,start_gw,6
TestDiagBaseline#1,1786636994-582197,start_gw,11
TestDiagBaseline#1,1786636994-582197,start_gw,16
TestDiagBaseline#1,1786636994-582197,start_gw,21
TestDiagBaseline#1,1786636994-582197,start_gw,26
TestDiagBaseline#1,1786636994-582197,declared_arm,0	shipped (baseline)
TestDiagBaseline#1,1786636994-582197,constant,chip_plan.bench_boost_gameweek	8
TestDiagBaseline#1,1786636994-582197,constant,chip_plan.free_hit_gameweek	16
TestDiagBaseline#1,1786636994-582197,constant,chip_plan.triple_captain_gameweek	9
TestDiagBaseline#1,1786636994-582197,constant,chip_plan.wildcard_gameweek	6
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.BRE[0].start_date	2026-08-26
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.CHE[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.CHE[0].match_dates	6 items, sha f7a87904"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.CHE[0].note	enters at round two
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.CHE[0].start_date	2026-08-26
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.COV[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.COV[0].match_dates	6 items, sha f7a87904"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.COV[0].note	enters at round two
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.COV[0].start_date	2026-08-26
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.CRY[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.CRY[0].match_dates	5 items, sha 3f0a0705"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.CRY[0].note	enters at round three as a European qualifier
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.CRY[0].start_date	2026-09-15
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.EVE[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.EVE[0].match_dates	6 items, sha f7a87904"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.EVE[0].note	enters at round two
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.EVE[0].start_date	2026-08-26
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.FUL[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.FUL[0].match_dates	6 items, sha f7a87904"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.FUL[0].note	enters at round two
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.FUL[0].start_date	2026-08-26
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.HUL[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.HUL[0].match_dates	6 items, sha f7a87904"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.HUL[0].note	enters at round two
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.HUL[0].start_date	2026-08-26
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.IPS[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.IPS[0].match_dates	6 items, sha f7a87904"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.IPS[0].note	enters at round two
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.IPS[0].start_date	2026-08-26
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.LEE[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.LEE[0].match_dates	6 items, sha f7a87904"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.LEE[0].note	enters at round two
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.LEE[0].start_date	2026-08-26
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.LIV[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.LIV[0].match_dates	5 items, sha 3f0a0705"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.LIV[0].note	enters at round three as a European qualifier
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.LIV[0].start_date	2026-09-15
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.MCI[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.MCI[0].match_dates	5 items, sha 3f0a0705"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.MCI[0].note	enters at round three as a European qualifier
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.MCI[0].start_date	2026-09-15
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.MUN[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.MUN[0].match_dates	5 items, sha 3f0a0705"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.MUN[0].note	enters at round three as a European qualifier
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.MUN[0].start_date	2026-09-15
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.NEW[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.NEW[0].match_dates	6 items, sha f7a87904"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.NEW[0].note	enters at round two
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.NEW[0].start_date	2026-08-26
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.NFO[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.NFO[0].match_dates	6 items, sha f7a87904"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.NFO[0].note	enters at round two
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.NFO[0].start_date	2026-08-26
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.SUN[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.SUN[0].match_dates	5 items, sha 3f0a0705"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.SUN[0].note	enters at round three as a European qualifier
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.SUN[0].start_date	2026-09-15
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.TOT[0].competition	League Cup
TestDiagBaseline#1,1786636994-582197,constant,"congestion.domestic_cup_campaigns.TOT[0].match_dates	6 items, sha f7a87904"
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.TOT[0].note	enters at round two
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_campaigns.TOT[0].start_date	2026-08-26
TestDiagBaseline#1,1786636994-582197,constant,congestion.domestic_cup_penalty	1
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.ARS[0].competition	UCL
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.ARS[0].start_date	2026-09-08
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.AVL[0].competition	UCL
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.AVL[0].start_date	2026-09-08
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.BHA[0].competition	UECL
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.BHA[0].end_date	2026-08-27
TestDiagBaseline#1,1786636994-582197,constant,"congestion.european_campaigns.BHA[0].match_dates	2 items, sha 488b402a"
TestDiagBaseline#1,1786636994-582197,constant,"congestion.european_campaigns.BHA[0].note	play-off round, two legs; progression not yet known"
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.BHA[0].start_date	2026-08-20
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.BHA[1].competition	UECL
TestDiagBaseline#1,1786636994-582197,constant,"congestion.european_campaigns.BHA[1].note	league phase, conditional on winning the play-off"
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.BHA[1].start_date	2026-10-15
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.BOU[0].competition	UEL
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.BOU[0].start_date	2026-09-16
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.CRY[0].competition	UEL
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.CRY[0].start_date	2026-09-16
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.LIV[0].competition	UCL
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.LIV[0].start_date	2026-09-08
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.MCI[0].competition	UCL
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.MCI[0].start_date	2026-09-08
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.MUN[0].competition	UCL
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.MUN[0].start_date	2026-09-08
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.SUN[0].competition	UEL
TestDiagBaseline#1,1786636994-582197,constant,congestion.european_campaigns.SUN[0].start_date	2026-09-16
TestDiagBaseline#1,1786636994-582197,constant,congestion.long_haul_penalty	1
TestDiagBaseline#1,1786636994-582197,constant,"congestion.long_haul_regions	2 items, sha 925816c9"
TestDiagBaseline#1,1786636994-582197,constant,congestion.post_break_penalty	1
TestDiagBaseline#1,1786636994-582197,constant,"congestion.regular_international_regions	5 items, sha 99456437"
TestDiagBaseline#1,1786636994-582197,constant,congestion.short_rest_penalty	1
TestDiagBaseline#1,1786636994-582197,constant,congestion.status_last_verified	2026-08-04
TestDiagBaseline#1,1786636994-582197,constant,congestion.ucl_penalty	1
TestDiagBaseline#1,1786636994-582197,constant,congestion.uecl_penalty	1
TestDiagBaseline#1,1786636994-582197,constant,congestion.uel_penalty	1
TestDiagBaseline#1,1786636994-582197,constant,congestion.very_short_rest_penalty	1
TestDiagBaseline#1,1786636994-582197,constant,review_policy.always_act_on_ruled_out_starter	true
TestDiagBaseline#1,1786636994-582197,constant,review_policy.bank_transfers_up_to	5
TestDiagBaseline#1,1786636994-582197,constant,review_policy.free_transfer_value	2
TestDiagBaseline#1,1786636994-582197,constant,review_policy.max_hits_per_week	1
TestDiagBaseline#1,1786636994-582197,constant,review_policy.min_gain_for_free_transfer	0.4
TestDiagBaseline#1,1786636994-582197,constant,review_policy.min_net_gain_for_minus_4	3
TestDiagBaseline#1,1786636994-582197,constant,"review_policy.rules	8 items, sha ead95ae5"
TestDiagBaseline#1,1786636994-582197,constant,review_policy.scheduled_run_lead_hours	6
TestDiagBaseline#1,1786636994-582197,constant,"role_risk.confirmed_starters	4 items, sha 0a0f53ae"
TestDiagBaseline#1,1786636994-582197,constant,"role_risk.new_coach_clubs	10 items, sha 3abb2b37"
TestDiagBaseline#1,1786636994-582197,constant,role_risk.new_coach_gameweeks	6
TestDiagBaseline#1,1786636994-582197,constant,role_risk.new_coach_penalty	1
TestDiagBaseline#1,1786636994-582197,constant,role_risk.new_signing_gameweeks	5
TestDiagBaseline#1,1786636994-582197,constant,role_risk.new_signing_penalty	0.88
TestDiagBaseline#1,1786636994-582197,constant,weights.band_strength	0
TestDiagBaseline#1,1786636994-582197,constant,weights.bench_weight	0.1
TestDiagBaseline#1,1786636994-582197,constant,weights.blank_run_penalty	0.75
TestDiagBaseline#1,1786636994-582197,constant,weights.blend_minutes_k	5
TestDiagBaseline#1,1786636994-582197,constant,weights.blend_rate_k	8
TestDiagBaseline#1,1786636994-582197,constant,weights.bonus_prior_weight	0.5
TestDiagBaseline#1,1786636994-582197,constant,weights.bonus_weight	1.5
TestDiagBaseline#1,1786636994-582197,constant,weights.defcon_clean_coupling	0.3
TestDiagBaseline#1,1786636994-582197,constant,weights.fixture_horizon	5
TestDiagBaseline#1,1786636994-582197,constant,weights.fixture_weight	0.65
TestDiagBaseline#1,1786636994-582197,constant,weights.league_shrink_k	8
TestDiagBaseline#1,1786636994-582197,constant,weights.minutes_half_life	4
TestDiagBaseline#1,1786636994-582197,constant,weights.minutes_weight	1.25
TestDiagBaseline#1,1786636994-582197,constant,weights.minutes_weight_by_position.DEF	1
TestDiagBaseline#1,1786636994-582197,constant,weights.minutes_weight_by_position.FWD	1
TestDiagBaseline#1,1786636994-582197,constant,weights.minutes_weight_by_position.GKP	1
TestDiagBaseline#1,1786636994-582197,constant,weights.minutes_weight_by_position.MID	0.75
TestDiagBaseline#1,1786636994-582197,constant,weights.prior_half_life	0
TestDiagBaseline#1,1786636994-582197,constant,weights.rate_half_life	0
TestDiagBaseline#1,1786636994-582197,constant,weights.rest_gameweeks	2
TestDiagBaseline#1,1786636994-582197,constant,weights.rest_minutes_factor	0.83
TestDiagBaseline#1,1786636994-582197,constant,"weights.rest_players	17 items, sha 98db8aaa"
TestDiagBaseline#1,1786636994-582197,constant,weights.rest_regions	[] (empty)
TestDiagBaseline#1,1786636994-582197,constant,weights.set_piece_weight	0
TestDiagBaseline#1,1786636994-582197,constant,weights.tournament_absences[0].matches	6
TestDiagBaseline#1,1786636994-582197,constant,weights.tournament_absences[0].name	AFCON 2025 — Senegal (winners)
TestDiagBaseline#1,1786636994-582197,constant,"weights.tournament_absences[0].players	4 items, sha bd8f6665"
