sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2019-20,2018-19,1,38,5,false,2129,1725,35,1,56.026315789473685,45.39473684210526,,,,,,,1737,45.71052631578947,1489,39.18421052631579,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2020-21,2019-20,1,38,5,false,2126,1643,38,3,55.94736842105263,43.23684210526316,,,,,,,1648,43.36842105263158,1408,37.05263157894737,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2021-22,2020-21,1,38,5,false,2024,1824,38,3,53.26315789473684,48,,,,,,,1844,48.526315789473685,1549,40.76315789473684,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2022-23,2021-22,1,38,5,false,1979,1987,44,8,52.078947368421055,52.28947368421053,,,,,,,1993,52.44736842105263,1738,45.73684210526316,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2023-24,2022-23,1,38,5,false,2254,1809,37,1,59.31578947368421,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2024-25,2023-24,1,38,5,false,2275,1847,35,2,59.86842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2025-26,2024-25,1,38,5,false,2126,1514,36,2,55.94736842105263,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2019-20,2018-19,6,33,5,false,1822,1582,31,3,55.21212121212121,47.93939393939394,,,,,,,1618,49.03030303030303,1405,42.57575757575758,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2020-21,2019-20,6,33,5,false,1771,1501,31,2,53.666666666666664,45.484848484848484,,,,,,,1500,45.45454545454545,1314,39.81818181818182,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2021-22,2020-21,6,33,5,false,1726,1592,38,7,52.303030303030305,48.24242424242424,,,,,,,1614,48.90909090909091,1369,41.484848484848484,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2022-23,2021-22,6,33,5,false,1789,1692,37,7,54.21212121212121,51.27272727272727,,,,,,,1635,49.54545454545455,1507,45.666666666666664,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2023-24,2022-23,6,33,5,false,2082,1662,33,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2024-25,2023-24,6,33,5,false,1954,1762,33,4,59.21212121212121,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2025-26,2024-25,6,33,5,false,1904,1742,31,3,57.696969696969695,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2019-20,2018-19,11,28,5,false,1585,1407,23,0,56.607142857142854,50.25,,,,,,,1405,50.17857142857143,1247,44.535714285714285,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2020-21,2019-20,11,28,5,false,1624,1466,29,3,58,52.357142857142854,,,,,,,1476,52.714285714285715,1291,46.107142857142854,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2021-22,2020-21,11,28,5,false,1499,1476,34,8,53.535714285714285,52.714285714285715,,,,,,,1464,52.285714285714285,1276,45.57142857142857,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2022-23,2021-22,11,28,5,false,1628,1538,33,7,58.142857142857146,54.92857142857143,,,,,,,1444,51.57142857142857,1358,48.5,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2023-24,2022-23,11,28,5,false,1732,1424,27,1,61.857142857142854,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2025-26,2024-25,11,28,5,false,1547,1489,24,0,55.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2019-20,2018-19,16,23,5,false,1325,1055,19,3,57.608695652173914,45.869565217391305,,,,,,,1098,47.73913043478261,962,41.82608695652174,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2020-21,2019-20,16,23,5,false,1330,1185,21,2,57.82608695652174,51.52173913043478,,,,,,,1151,50.04347826086956,1038,45.130434782608695,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2021-22,2020-21,16,23,5,false,1321,1334,25,4,57.43478260869565,58,,,,,,,1313,57.08695652173913,1179,51.26086956521739,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2022-23,2021-22,16,23,5,false,1337,1207,26,6,58.130434782608695,52.47826086956522,,,,,,,1156,50.26086956521739,1043,45.34782608695652,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2023-24,2022-23,16,23,5,false,1455,1077,22,1,63.26086956521739,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2024-25,2023-24,16,23,5,false,1409,1336,23,2,61.26086956521739,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2025-26,2024-25,16,23,5,false,1350,1288,23,3,58.69565217391305,56,,,,,,,1289,56.04347826086956,1127,49,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2019-20,2018-19,21,18,5,false,1088,937,14,0,60.44444444444444,52.05555555555556,,,,,,,972,54,865,48.05555555555556,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2020-21,2019-20,21,18,5,false,1143,1000,14,0,63.5,55.55555555555556,,,,,,,1018,56.55555555555556,900,50,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2021-22,2020-21,21,18,5,false,1042,1037,20,4,57.888888888888886,57.611111111111114,,,,,,,1007,55.94444444444444,900,50,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2022-23,2021-22,21,18,5,false,1109,1118,17,3,61.611111111111114,62.111111111111114,,,,,,,1121,62.27777777777778,980,54.44444444444444,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2023-24,2022-23,21,18,5,false,1215,909,17,1,67.5,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2024-25,2023-24,21,18,5,false,1076,1047,15,1,59.77777777777778,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2025-26,2024-25,21,18,5,false,1067,950,15,1,59.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2019-20,2018-19,26,13,5,false,725,659,7,0,55.76923076923077,50.69230769230769,,,,,,,655,50.38461538461539,585,45,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2020-21,2019-20,26,13,5,false,766,660,9,0,58.92307692307692,50.76923076923077,,,,,,,663,51,596,45.84615384615385,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2021-22,2020-21,26,13,5,false,796,675,12,1,61.23076923076923,51.92307692307692,,,,,,,676,52,592,45.53846153846154,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2022-23,2021-22,26,13,5,false,893,815,10,0,68.6923076923077,62.69230769230769,,,,,,,818,62.92307692307692,710,54.61538461538461,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2023-24,2022-23,26,13,5,false,827,620,11,0,63.61538461538461,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2024-25,2023-24,26,13,5,false,737,710,9,0,56.69230769230769,54.61538461538461,,,,,,,710,54.61538461538461,637,49,-,none
TestDiagBaseline#1,1786637857-588806,shipped (baseline),0,true,2025-26,2024-25,26,13,5,false,767,761,9,0,59,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,-,none
