sweep,run_id,metric,variant,variant_index,baseline_variant,mean_per_gw,n_cells,oracle
reach2#1,1786651296-646925,policy,min_gain = 3.0 (far above the binding 0.4),1,shipped (baseline),-1.7365560640732278,8,-
reach2#1,1786651296-646925,policy,free_transfer_value = 0,2,shipped (baseline),0.43449656750572085,8,-
reach2#1,1786651296-646925,policy,bank_up_to = 1,3,shipped (baseline),-1.223827231121282,8,-
reach2#1,1786651296-646925,policy,max_hits = 0,4,shipped (baseline),-0.0436212814645307,8,-
reach2#1,1786651296-646925,policy,decision_horizon = 1,5,shipped (baseline),-2.240274599542335,8,-
reach2#1,1786651296-646925,policy,bank_lookahead on,6,shipped (baseline),0,8,-
reach2#1,1786651296-646925,policy,min_expected_minutes = 0 (no floor),7,shipped (baseline),0,8,-
reach2#1,1786651296-646925,policy,min_expected_minutes = 89 (near-total floor),8,shipped (baseline),-0.9492276887871851,8,-
reach2#1,1786651296-646925,policy,bench_weight = 0,9,shipped (baseline),0.9791189931350113,8,-
reach2#1,1786651296-646925,policy,bench_weight = 0.30 (past the recorded cliff),10,shipped (baseline),0.37914759725400504,8,-
reach2#1,1786651296-646925,policy,minutes_half_life = 1,11,shipped (baseline),-0.532179633867278,8,-
reach2#1,1786651296-646925,policy,minutes_half_life = 20,12,shipped (baseline),0.36956521739130377,8,-
reach2#1,1786651296-646925,policy,weekly_xi off,13,shipped (baseline),-0.429347826086957,8,-
reach2#1,1786651296-646925,policy,prepare_bench_boost on,14,shipped (baseline),0,8,-
reach2#1,1786651296-646925,policy,prepare_triple_captain on,15,shipped (baseline),0,8,-
reach2#1,1786651296-646925,policy,unified appearance off (legacy 0.624 rule),16,shipped (baseline),0.440932494279175,8,-
reach2#1,1786651296-646925,policy,fixed bench tuple (derived slots off),17,shipped (baseline),-0.1391590389016022,8,-
reach2#1,1786651296-646925,hold,min_gain = 3.0 (far above the binding 0.4),1,shipped (baseline),0,8,-
reach2#1,1786651296-646925,hold,free_transfer_value = 0,2,shipped (baseline),0,8,-
reach2#1,1786651296-646925,hold,bank_up_to = 1,3,shipped (baseline),0,8,-
