sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,oracle,oracle_kind
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2022-23,2021-22,1,38,5,false,1974,1682,42,6,51.94736842105263,44.26315789473684,,,,,,,1645,43.28947368421053,1466,38.578947368421055,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2023-24,2022-23,1,38,5,false,2233,1809,37,1,58.76315789473684,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2024-25,2023-24,1,38,5,false,2218,1847,35,2,58.36842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2025-26,2024-25,1,38,5,false,2134,1514,36,2,56.1578947368421,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2022-23,2021-22,6,33,5,false,1706,1580,38,7,51.696969696969695,47.878787878787875,,,,,,,1466,44.42424242424242,1389,42.09090909090909,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2023-24,2022-23,6,33,5,false,2077,1662,33,2,62.93939393939394,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2024-25,2023-24,6,33,5,false,1940,1762,33,4,58.78787878787879,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2025-26,2024-25,6,33,5,false,1865,1742,31,3,56.515151515151516,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2022-23,2021-22,11,28,5,false,1615,1571,31,5,57.67857142857143,56.107142857142854,,,,,,,1510,53.92857142857143,1385,49.464285714285715,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2023-24,2022-23,11,28,5,false,1710,1424,27,1,61.07142857142857,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2024-25,2023-24,11,28,5,false,1776,1704,26,1,63.42857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2025-26,2024-25,11,28,5,false,1525,1489,24,0,54.464285714285715,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2022-23,2021-22,16,23,5,false,1324,1193,26,6,57.56521739130435,51.869565217391305,,,,,,,1224,53.21739130434783,1067,46.391304347826086,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2023-24,2022-23,16,23,5,false,1450,1077,22,1,63.04347826086956,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2024-25,2023-24,16,23,5,false,1401,1336,23,2,60.91304347826087,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2025-26,2024-25,16,23,5,false,1339,1288,23,3,58.21739130434783,56,,,,,,,1289,56.04347826086956,1127,49,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2022-23,2021-22,21,18,5,false,1069,1068,16,3,59.388888888888886,59.333333333333336,,,,,,,1033,57.388888888888886,973,54.05555555555556,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2023-24,2022-23,21,18,5,false,1199,909,17,1,66.61111111111111,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2024-25,2023-24,21,18,5,false,1081,1047,15,1,60.05555555555556,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2025-26,2024-25,21,18,5,false,1049,950,15,1,58.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2022-23,2021-22,26,13,5,false,750,712,13,2,57.69230769230769,54.76923076923077,,,,,,,719,55.30769230769231,660,50.76923076923077,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2023-24,2022-23,26,13,5,false,816,620,11,0,62.76923076923077,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2024-25,2023-24,26,13,5,false,732,710,9,0,56.30769230769231,54.61538461538461,,,,,,,710,54.61538461538461,637,49,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=8 (ships),0,true,2025-26,2024-25,26,13,5,false,750,761,9,0,57.69230769230769,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=12,1,false,2022-23,2021-22,1,38,5,false,1841,1649,39,6,48.44736842105263,43.39473684210526,,,,,,,1645,43.28947368421053,1466,38.578947368421055,0,0,0,0,-,none
BLEND2#1,1786717115-844711,both k=12,1,false,2023-24,2022-23,1,38,5,false,2383,1809,38,2,62.71052631578947,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,-,none
