"block","metric","baseline","variant","variant_index","n","mean","scale","seasons","seasons_agreeing","se_naive","t_naive","p_naive","se_cr2","df_cr2","t_cr2","p_cr2","se_cr2_start","df_cr2_start","t_cr2_start","p_cr2_start","se_fixed","df_fixed","t_fixed","p_fixed","v_season","share_season","share_start","share_resid","se_lmer","df_lmer","t_lmer","p_lmer","p_primary","p_holm","p_bh","family"
"1786717115-844711 / BLEND2#1","hold","both k=8 (ships)","both k=12",1,24,-0.0960208931461795,"per_gw",4,3,0.357919258577766,-0.268275290711457,0.790878915663429,0.305180687586595,3,-0.314636204228793,0.773650967568179,0.504799368099221,5,-0.190215953533654,0.856621549935141,0.304732093682892,15,-0.315099377901758,0.757027164295661,0.00109441262187312,0.00034183959369256,0.303530479812281,0.696127680594027,0.357919258577766,22.9999999999572,-0.268275290711457,0.790878915663434,0.773650967568179,1,0.773650967568179,3
"1786717115-844711 / BLEND2#1","hold","both k=8 (ships)","both k=16",2,24,0.212329167992784,"per_gw",4,1,0.513004069174019,0.413893730579277,0.682786144449977,0.606270112650917,3,0.350222060369056,0.749318661366294,0.81254816678888,5,0.261312715567239,0.804273612781891,0.331574029894603,15,0.640367305184536,0.531594951937168,1.03048844877284,0.147828453814888,0.473652999812226,0.378518546372885,0.606270112343469,3.00000000093484,0.350222060546658,0.749318661239096,0.749318661366294,1,0.773650967568179,3
"1786717115-844711 / BLEND2#1","hold","both k=8 (ships)","both k=24",3,24,-0.489693611118096,"per_gw",4,3,0.847076475381688,-0.578098466136063,0.568815210838647,0.718308709741746,3,-0.681731412242176,0.544322683561112,1.04061686365231,5,-0.47058012244717,0.657753688263836,0.797540689715411,15,-0.614004548523831,0.548412128522152,-0.480414997043529,0,0.149380751705993,0.850619248294007,0.847076475381688,22.9999999999244,-0.578098466136063,0.568815210838665,0.544322683561112,1,0.773650967568179,3
"1786717115-844711 / BLEND2#1","policy","both k=8 (ships)","both k=12",1,24,-0.269589797121261,"per_gw",4,2,0.414272975704927,-0.650754002629612,0.521653923562981,0.370582828897026,3,-0.727475144824295,0.519567929398327,0.424816609655496,5,-0.634602769745478,0.553585145338237,0.418964406186701,15,-0.643467065794428,0.529636647159278,-0.152798162312209,0,0.00698379136365199,0.993016208636348,0.414272975704927,22.9999999996933,-0.650754002629612,0.521653923563066,0.519567929398327,1,0.699904280586799,3
"1786717115-844711 / BLEND2#1","policy","both k=8 (ships)","both k=16",2,24,-0.237268071364181,"per_gw",4,2,0.499948336894723,-0.474585179816578,0.639557802258931,0.559135687914598,3,-0.424347929299804,0.699904280586799,0.479976877638643,5,-0.494332294779441,0.642021967893969,0.493897738547127,15,-0.480399185592832,0.637874488874367,0.274790965431061,0.0448328660890514,0,0.955167133910949,0.559135651752128,2.99999993313089,-0.424347956744788,0.699904263222726,0.699904280586799,1,0.699904280586799,3
"1786717115-844711 / BLEND2#1","policy","both k=8 (ships)","both k=24",3,24,-0.64258069828722,"per_gw",4,2,0.592490773077209,-1.08454127471025,0.289362852329438,1.13628781200429,3,-0.565508748310674,0.611261004376187,0.593441318390327,5,-1.08280410947822,0.328327608064772,0.403297186136536,15,-1.59331808000682,0.131938698687591,4.51400548545539,0.472437419507403,0.119013881665563,0.408548698827033,1.13628781579771,2.99999997184248,-0.565508746422763,0.611261005851928,0.611261004376187,1,0.699904280586799,3
"1786717115-844711 / BLEND2#1","hold_fixedcap","both k=8 (ships)","both k=12",1,24,0.221373835504271,"per_gw",4,2,0.373020643468743,0.593462692696312,0.558663203416522,0.371389703092477,3,0.596068856139364,0.593108174183261,0.498162602160161,5,0.444380679208631,0.675341873688183,0.321008866418976,15,0.68961906869992,0.500964034531058,0.139534476974091,0.0400573136396309,0.249963544868789,0.70997914149158,0.373020646819439,22.9993684223849,0.593462687365473,0.558663364717267,0.593108174183261,1,0.630470076201396,3
"1786717115-844711 / BLEND2#1","hold_fixedcap","both k=8 (ships)","both k=16",2,24,0.342894474687954,"per_gw",4,2,0.522686700484253,0.656022956716275,0.518318910246868,0.635260861369928,3,0.539769558522004,0.626846826863894,0.853870754371297,5,0.401576553515323,0.704584500464816,0.30848949047828,15,1.11152724897154,0.283840413557156,1.23356238501166,0.168493722621638,0.51953501113837,0.311971266239992,0.635260851054756,3.00000006357907,0.539769567286617,0.626846820777199,0.626846826863894,1,0.630470076201396,3
"1786717115-844711 / BLEND2#1","hold_fixedcap","both k=8 (ships)","both k=24",3,24,-0.407930887550452,"per_gw",4,2,0.825667662195724,-0.494061843799996,0.625948093876382,0.764132585830935,3,-0.533848307367836,0.630470076201396,1.05725649788363,5,-0.385839092374491,0.715486774346427,0.745612530980648,15,-0.547108411675876,0.592351463591541,0.111842249493214,0.0066471971919132,0.200358061585112,0.792994741222975,0.825667662195724,22.9999999996223,-0.494061843799996,0.625948093876458,0.630470076201396,1,0.630470076201396,3
"1786717115-844711 / BLEND2#1","hold_nocap","both k=8 (ships)","both k=12",1,24,0.0257491099882407,"per_gw",4,2,0.335251926789296,0.0768052557813452,0.939442692389253,0.303976176436846,3,0.0847076579818431,0.937830037290948,0.439191192267913,5,0.0586284753464121,0.955519051740863,0.299266836030374,15,0.086040639617105,0.932572105351467,0.011363506774134,0.00408643341755074,0.222947412416421,0.772966154166028,0.335251926789296,22.9999999994522,0.0768052557813452,0.939442692389269,0.937830037290948,1,0.937830037290948,3
"1786717115-844711 / BLEND2#1","hold_nocap","both k=8 (ships)","both k=16",2,24,0.320380253804167,"per_gw",4,2,0.473869631515433,0.676093660569874,0.505723431497072,0.576096881551383,3,0.556122180251016,0.616913735051564,0.710506924317504,5,0.450917848706283,0.67093068855346,0.331153794900385,15,0.967466653675345,0.348651955012462,0.888899124225211,0.150871815259392,0.402417488392495,0.446710696348112,0.57609688122853,3.00000000182465,0.556122180562674,0.616913734841505,0.616913735051564,1,0.937830037290948,3
"1786717115-844711 / BLEND2#1","hold_nocap","both k=8 (ships)","both k=24",3,24,-0.186883064600456,"per_gw",4,2,0.737595772806472,-0.25336786284632,0.802234989927939,0.787551952811102,3,-0.237296173202786,0.827708900688793,0.841905650190684,5,-0.221976256553366,0.833114029039236,0.688396842873873,15,-0.271475772347051,0.789725762143531,0.585391460391463,0.0437896982548892,0.105435631480815,0.850774670264295,0.787551943878957,2.99999989290887,-0.237296175894118,0.827708899289722,0.827708900688793,1,0.937830037290948,3
"1786717115-844711 / BLEND2#1","m_armband","both k=8 (ships)","both k=12",1,24,-0.12177000313442,"per_gw",4,3,0.0955839963347109,-1.27395806624377,0.215401612807769,0.0929982046503126,3,-1.30938014978132,0.281660794629749,0.0857664010212055,5,-1.41978678928492,0.214900421746359,0.0991327501373881,15,-1.2283529203584,0.238239760735957,-0.00471454432648154,0,0,1,0.0955839963347154,22.9999999995823,-1.27395806624371,0.215401612808018,0.281660794629749,0.844982383889248,0.502667951931247,3
"1786717115-844711 / BLEND2#1","m_armband","both k=8 (ships)","both k=16",2,24,-0.108051085811383,"per_gw",4,2,0.110037275565948,-0.981949846137596,0.336341711524166,0.14222473629381,3,-0.759720767477247,0.502667951931247,0.137987378892112,5,-0.783050498378294,0.46904457932197,0.0904073875345548,15,-1.19515770511657,0.250579998492287,0.0482175195720828,0.155749621291023,0.210612377697046,0.633638001011931,0.142224736599103,2.99999998816228,-0.759720765846465,0.502667952973825,0.502667951931247,0.935832079359257,0.502667951931247,3
"1786717115-844711 / BLEND2#1","m_armband","both k=8 (ships)","both k=24",3,24,-0.30281054651764,"per_gw",4,1,0.211094970601727,-1.43447541954447,0.164894698686958,0.365284093929642,3,-0.828972713429908,0.467916039679629,0.229774377353569,5,-1.31786037244565,0.244698391349468,0.155054025387242,15,-1.95293573166759,0.0697439042106529,0.437562873956847,0.36860065027881,0.145335901360412,0.486063448360777,0.365284094917557,2.99999997800773,-0.82897271118794,0.467916041176945,0.467916039679629,0.935832079359257,0.502667951931247,3
"1786717115-844711 / BLEND2#1","m_capweekly","both k=8 (ships)","both k=12",1,24,-0.31739472865045,"per_gw",4,3,0.193205036141243,-1.64278703593636,0.114030048839023,0.235894909641964,3,-1.34549206310635,0.271124883418406,0.200903330037738,5,-1.57983806734727,0.174980664421923,0.1807020222155,15,-1.75645366199573,0.0994003281032243,0.0919727502488761,0.0997639546217224,0.0501717993666343,0.850064246011643,0.235894906762113,3.0000000503951,-1.34549207953237,0.271124877318716,0.271124883418406,0.813374650255217,0.746402993936512,3
"1786717115-844711 / BLEND2#1","m_capweekly","both k=8 (ships)","both k=16",2,24,-0.13056530669517,"per_gw",4,2,0.234371378458519,-0.557087249961617,0.582849011169468,0.231372270445223,3,-0.564308360910868,0.611981891168442,0.273762719338922,5,-0.476928732336005,0.653528637731543,0.220311775270173,15,-0.592638802601698,0.562251508449515,0.0199833968331291,0.0148760084407058,0.11795494952302,0.867169042036274,0.234371378458519,22.9999999993549,-0.557087249961617,0.582849011169618,0.611981891168442,1,0.746402993936512,3
"1786717115-844711 / BLEND2#1","m_capweekly","both k=8 (ships)","both k=24",3,24,-0.0817627235676438,"per_gw",4,2,0.25112532450486,-0.325585337635119,0.747681625206184,0.230627085766888,3,-0.354523508354467,0.746402993936512,0.275410794745036,5,-0.2968755224113,0.77849880688031,0.246529007163863,15,-0.33165559099217,0.74473789630411,-0.0303507947354894,0,0.0583875982469072,0.941612401753093,0.25112532450486,22.9999999991564,-0.325585337635119,0.747681625206292,0.746402993936512,1,0.746402993936512,3
