"block","metric","baseline","variant","variant_index","n","mean","scale","seasons","seasons_agreeing","se_naive","t_naive","p_naive","se_cr2","df_cr2","t_cr2","p_cr2","se_cr2_start","df_cr2_start","t_cr2_start","p_cr2_start","se_fixed","df_fixed","t_fixed","p_fixed","v_season","share_season","share_start","share_resid","se_lmer","df_lmer","t_lmer","p_lmer","p_primary","p_holm","p_bh","family"
"1786708411-807087 / BLEND#1","hold","BlendRateK=8 (ships)","BlendRateK=12",1,36,-0.306177749207879,"per_gw",6,4,0.406518207086688,-0.753171060657041,0.45638378101148,0.457144792053495,5,-0.669760991550464,0.532691684904298,0.564052150137038,5,-0.542818158096716,0.610566550243611,0.354869885979347,25,-0.862788760908549,0.396455192363003,0.498292349559829,0.0805620380191681,0.186466578044453,0.732971383936379,0.457144788834944,4.99999999537584,-0.66976099626595,0.532691682163884,0.532691684904298,1,0.570296844658073,3
"1786708411-807087 / BLEND#1","hold","BlendRateK=8 (ships)","BlendRateK=16",2,36,0.306139061097108,"per_gw",6,5,0.5728867783029,0.534379693670019,0.59645730388315,0.400946295306021,5,0.763541313839669,0.479598561470054,0.670554157388491,5,0.456546362025974,0.667144637642926,0.580860398989175,25,0.527044125627874,0.602808889793859,-1.05984522836544,0,0.0525330603507888,0.947466939649211,0.5728867783029,35.0000000000695,0.534379693670019,0.596457303883143,0.479598561470054,1,0.570296844658073,3
"1786708411-807087 / BLEND#1","hold","BlendRateK=8 (ships)","BlendRateK=24",3,36,0.331461361829401,"per_gw",6,3,0.646034994505809,0.513070289764962,0.611125610681413,0.545977404253095,5,0.607097215465986,0.570296844658073,0.74489071484322,5,0.444979854392688,0.674936940018823,0.643206809023078,25,0.515326263931868,0.610852143408055,-0.693742039312215,0,0.0538023854135089,0.946197614586491,0.646034994505809,34.9999999991209,0.513070289764962,0.611125610681494,0.570296844658073,1,0.570296844658073,3
"1786708411-807087 / BLEND#1","policy","BlendRateK=8 (ships)","BlendRateK=12",1,36,-0.350491469007869,"per_gw",6,4,0.463837335803938,-0.755634447581469,0.454924029873928,0.511829841025679,5,-0.68478123179669,0.523928085634626,0.161493388130083,5,-2.1703146677779,0.0821104136461397,0.493551540981438,25,-0.710141575712456,0.484188458679792,0.110259975355322,0.0124172058504653,0,0.987582794149535,0.511829713735503,4.9999990117839,-0.684781402099277,0.52392799257046,0.523928085634626,1,0.628036511831721,3
"1786708411-807087 / BLEND#1","policy","BlendRateK=8 (ships)","BlendRateK=16",2,36,-0.275544500277529,"per_gw",6,4,0.442154572367134,-0.623185911665154,0.53720242248434,0.534292164597422,5,-0.515718774362238,0.628036511831721,0.328825545854881,5,-0.837965613532759,0.440255964044076,0.441567730772797,25,-0.624014123032254,0.538271319386119,0.542916337742171,0.0717927685451061,0,0.928207231454894,0.534292164472487,5.00000000129041,-0.515718774482828,0.628036511747909,0.628036511831721,1,0.628036511831721,3
"1786708411-807087 / BLEND#1","policy","BlendRateK=8 (ships)","BlendRateK=24",3,36,-0.75217422843281,"per_gw",6,4,0.534530975330937,-1.40716677451129,0.168196791039585,0.861258824553308,5,-0.873342840722619,0.422430253063205,0.324020647187044,5,-2.32137746456203,0.0679368868974407,0.480272298273228,25,-1.56614118935691,0.12988717607215,3.06663169429378,0.269701994643339,0,0.730298005356661,0.861258825645836,4.99999998367417,-0.873342839614762,0.422430253736312,0.422430253063205,1,0.628036511831721,3
"1786708411-807087 / BLEND#1","hold_fixedcap","BlendRateK=8 (ships)","BlendRateK=12",1,36,-0.237539332648028,"per_gw",6,4,0.415689391035146,-0.571434676397465,0.57135668044706,0.488964794659171,5,-0.485800481430576,0.647648999497652,0.573484500244293,5,-0.414203579254262,0.695894599222532,0.358221341155901,25,-0.663107708439539,0.513329894439495,0.664584246939319,0.102439674435701,0.185488899701492,0.712071425862807,0.488964784446802,5.00000009503606,-0.485800491576856,0.6476489924152,0.647648999497652,1,0.647648999497652,3
"1786708411-807087 / BLEND#1","hold_fixedcap","BlendRateK=8 (ships)","BlendRateK=16",2,36,0.312059686153889,"per_gw",6,5,0.570615723062752,0.546882382558483,0.587929655021934,0.472583764237747,5,0.660326718285012,0.538246098985809,0.634054617864514,5,0.492165307785158,0.643448617712035,0.575127020959468,25,0.542592635681226,0.592214998821839,-0.644614056099564,0,0.0346587075135497,0.96534129248645,0.570615723062752,34.9999999999609,0.546882382558483,0.587929655021938,0.538246098985809,1,0.647648999497652,3
"1786708411-807087 / BLEND#1","hold_fixedcap","BlendRateK=8 (ships)","BlendRateK=24",3,36,0.394531394531395,"per_gw",6,3,0.589179582734514,0.669628422458712,0.507488553770096,0.443200152537148,5,0.890187858178425,0.414140843598319,0.671993530245025,5,0.587105941909202,0.582640956395068,0.59698013117329,25,0.660878602033191,0.514734707305351,-0.959753410840366,0,0.0426191876690778,0.957380812330922,0.589179582734514,34.9999999998618,0.669628422458712,0.507488553770113,0.414140843598319,1,0.647648999497652,3
"1786708411-807087 / BLEND#1","hold_nocap","BlendRateK=8 (ships)","BlendRateK=12",1,36,-0.225339173708739,"per_gw",6,4,0.393765748799329,-0.572267076036562,0.570798890821662,0.44515472834991,5,-0.506204156348112,0.634237186969348,0.528574313262428,5,-0.426315029040888,0.687608894785001,0.348656483570676,25,-0.646307137044996,0.523969818885899,0.459608331818476,0.0794786005312903,0.163757666989192,0.756763732479518,0.445154727761772,4.99999999902908,-0.506204157016909,0.634237186536296,0.634237186969348,1,0.634237186969348,3
