sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2020-21,2019-20,1,38,5,false,2167,1711,39,3,57.026315789473685,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,0,0,0,0,1726.4583824322613,45.43311532716477,2196.1685250064056,57.79390855280015,,55,2aadee614ec1,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2021-22,2020-21,1,38,5,false,2284,1942,42,6,60.10526315789474,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,0,0,0,0,1931.8732187563267,50.83876891464018,2343.0860858798173,61.66016015473203,,55,2ee4dc9e44a7,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2022-23,2021-22,1,38,5,false,2058,1842,38,2,54.1578947368421,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,0,0,0,0,1851.9591496843016,48.73576709695531,2052.9838990538597,54.02589208036473,,55,fe5b3efc1102,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2023-24,2022-23,1,38,5,false,2254,1809,37,1,59.31578947368421,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,1848.0006352101223,48.63159566342427,2302.881848369389,60.6021539044576,,55,7df5f95f1759,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2024-25,2023-24,1,38,5,false,2275,1847,35,2,59.86842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,1917.9934896667921,50.47351288596821,2296.538137408652,60.435214142332946,,55,5062709cbae7,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2025-26,2024-25,1,38,5,false,2126,1514,36,2,55.94736842105263,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,1575.5209560031244,41.46107778955591,2072.656314819254,54.543587232085635,,55,cdb305de770a,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2020-21,2019-20,6,33,5,false,1816,1634,36,5,55.03030303030303,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,0,0,0,0,1723.6416745105214,52.231565894258225,1898.7658277038317,57.53835841526763,,55,347628e26f13,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2021-22,2020-21,6,33,5,false,1833,1513,36,5,55.54545454545455,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,0,0,0,0,1628.429639039166,49.346352698156544,1963.521973083489,59.500665851014816,,55,eb89dd66c059,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2022-23,2021-22,6,33,5,false,1820,1563,31,1,55.15151515151515,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,0,0,0,0,1558.52870829949,47.22814267574212,1831.091663193426,55.487626157376546,,55,1319d3d56d73,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2023-24,2022-23,6,33,5,false,2082,1662,33,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,0,0,0,0,1658.4344757989352,50.25559017572531,2070.045912992979,62.72866403009027,,55,e4d98525659c,-,none
