season,gw,team,xgc,clean_sheet,element,cf,def,xgc90
2020-21,7,1,1.5588845283611061,1,8,1,1.2,1.299070440300922
2020-21,7,2,1.062617413786214,0,12,1,0.85,1.2501381338661341
2020-21,7,3,1.6114747562647243,0,66,1,1.2,1.3428956302206037
2020-21,7,4,1.4678730261155215,0,85,1,1.2,1.2232275217629347
2020-21,7,5,0.8819690328720576,1,110,1,0.85,1.0376106269083032
2020-21,7,6,1.3620062346938775,0,128,1,1,1.3620062346938775
2020-21,7,7,0.954713748328862,0,156,1,0.85,1.123192645092779
2020-21,7,9,1.1198420187969926,0,217,1,1,1.1198420187969926
2020-21,7,10,1.6482263885555768,0,197,1,1.2,1.3735219904629807
2020-21,7,11,1.3052998655737704,0,255,1,1.2,1.087749887978142
2020-21,7,12,0.882579945305964,1,278,1,0.85,1.0383293474187811
2020-21,7,13,1.2296263238866398,0,291,1,1,1.2296263238866398
2020-21,7,14,1.8996900527648883,0,323,1,1.2,1.5830750439707404
2020-21,7,15,1.56148243933376,0,347,1,1.2,1.3012353661114668
2020-21,7,17,1.29371116687737,0,383,1,1,1.29371116687737
2020-21,7,18,1.309361141133005,0,417,1,0.85,1.5404248719211824
2020-21,7,19,1.3000911965719684,0,431,1,1,1.3000911965719684
2020-21,7,20,0.9253445815789472,1,455,1,0.85,1.088640684210526
2020-21,8,1,1.0511138059720646,0,8,1,0.85,1.2366044776141938
2020-21,8,2,1.4720206063079777,1,12,1,1.2,1.2266838385899814
2020-21,8,3,1.1680465299750125,1,66,1,0.85,1.374172388205897
2020-21,8,5,0.8416924733811962,0,110,1,0.85,0.9902264392719956
2020-21,8,6,1.3538259523809524,0,128,1,1,1.3538259523809524
2020-21,8,7,1.4513545625039124,0,156,1,1.2,1.209462135419927
2020-21,8,8,1.6102148268907566,0,516,1,1.2,1.3418456890756305
2020-21,8,9,0.9807151115789474,1,217,1,0.85,1.1537824842105264
2020-21,8,10,1.4683638359541118,0,197,1,1,1.4683638359541118
2020-21,8,11,1.4443965602914388,0,255,1,1.4,1.0317118287795992
2020-21,8,12,1.2111378442666416,0,278,1,1.2,1.0092815368888681
2020-21,8,13,1.2072921578947369,0,291,1,1,1.2072921578947369
2020-21,8,14,1.3193185248834542,0,323,1,0.85,1.5521394410393579
2020-21,8,15,1.5967664900448428,0,347,1,1.2,1.3306387417040357
2020-21,8,16,1.0570403609523806,1,363,1,0.85,1.243576895238095
2020-21,8,17,1.0432356757227135,1,383,1,0.85,1.2273360890855454
2020-21,8,18,1.531756843137255,0,417,1,1,1.531756843137255
2020-21,8,19,1.112777485947095,1,431,1,0.85,1.3091499834671705
2020-21,8,20,1.2782789263157892,0,455,1,1.2,1.065232438596491
2020-21,9,1,1.2733256352633067,1,8,1,1,1.2733256352633067
2020-21,9,2,1.2300620493506493,0,12,1,1,1.2300620493506493
2020-21,9,3,1.307059113943028,0,66,1,1,1.307059113943028
2020-21,9,4,1.014096049122807,1,96,1,0.85,1.1930541754385966
2020-21,9,5,0.8258272551557831,1,110,1,0.85,0.9715614766538626
2020-21,9,6,1.1202140058035717,0,128,1,0.85,1.317898830357143
2020-21,9,7,1.0417652610377544,0,156,1,0.85,1.2256061894561816
2020-21,9,8,1.607394274871795,0,516,1,1.2,1.3394952290598292
2020-21,9,9,1.1149378914473687,0,217,1,1,1.1149378914473687
2020-21,9,11,1.269879932377049,1,255,1,1.2,1.0582332769808742
2020-21,9,12,1.2178842813155324,0,278,1,1.2,1.0149035677629437
2020-21,9,13,0.9773840719298246,1,291,1,0.85,1.1498636140350877
2020-21,9,14,1.8140842961692774,0,323,1,1.2,1.5117369134743979
2020-21,9,16,1.1759381517857141,0,363,1,1,1.1759381517857141
2020-21,9,17,1.4359115502212385,1,383,1,1.2,1.1965929585176989
2020-21,9,18,1.8525292076923079,0,417,1,1.2,1.54377433974359
2020-21,9,19,1.1335453243254017,1,431,1,0.85,1.3335827345004725
2020-21,9,20,0.9491312276315789,0,455,1,0.85,1.1166249736842104
2020-21,10,1,1.1094797582106453,0,8,1,0.85,1.3052703037772297
2020-21,10,2,1.4885451555194806,0,12,1,1.2,1.240454296266234
2020-21,10,3,1.6022768345709493,0,66,1,1.2,1.335230695475791
2020-21,10,5,0.9319858218629962,1,110,1,1,0.9319858218629962
2020-21,10,6,1.1348643642857141,0,128,1,0.85,1.3351345462184874
2020-21,10,7,1.2545859430175825,0,156,1,1,1.2545859430175825
2020-21,10,8,1.677722925,0,516,1,1.2,1.3981024375000002
2020-21,10,9,1.083514263157895,0,217,1,0.85,1.2747226625386998
2020-21,10,10,1.4165439411764706,1,213,1,1,1.4165439411764706
2020-21,10,11,1.103202731276117,0,255,1,1,1.103202731276117
2020-21,10,12,0.8459003180610957,1,278,1,0.85,0.9951768447777596
2020-21,10,14,1.521126447975904,1,323,1,1,1.521126447975904
2020-21,10,15,1.2304371052631577,0,351,1,0.85,1.4475730650154797
2020-21,10,16,1.4336678420168065,0,363,1,1.2,1.1947232016806721
2020-21,10,17,1.4603048002082246,1,383,1,1.2,1.2169206668401873
2020-21,10,18,1.3571598000000002,1,417,1,0.85,1.5966585882352944
2020-21,10,19,1.098813737600378,0,431,1,0.85,1.2927220442357388
2020-21,10,20,1.3342414291021671,0,455,1,1.2,1.1118678575851393
2020-21,11,1,1.621096410947527,0,8,1,1.2,1.3509136757896059
2020-21,11,3,1.0826262916458436,0,66,1,0.85,1.2736779901715807
2020-21,11,4,1.5356381864923747,0,97,1,1.2,1.2796984887436456
2020-21,11,5,0.889424773518114,0,110,1,1,0.889424773518114
2020-21,11,6,1.128890869047619,0,128,1,0.85,1.3281069047619047
2020-21,11,7,1.156680615366893,0,156,1,0.85,1.3608007239610505
2020-21,11,8,1.9584303478991594,0,516,1,1.4,1.3988788199279711
2020-21,11,9,1.1117003735380118,0,217,1,0.85,1.307882792397661
2020-21,11,10,1.697373462585034,0,213,1,1.2,1.4144778854875284
2020-21,11,11,0.9857228731633273,1,255,1,0.85,1.159673968427444
2020-21,11,12,0.8154289258222077,1,278,1,0.85,0.9593281480261268
2020-21,11,13,1.2804810501547987,0,298,1,1.2,1.0670675417956657
2020-21,11,15,1.7461654070175439,0,351,1,1.2,1.4551378391812866
2020-21,11,16,1.2562898015873014,0,363,1,1,1.2562898015873014
2020-21,11,17,1.1990652409046214,1,383,1,1,1.1990652409046214
2020-21,11,18,1.4495911776643993,0,417,1,0.85,1.7054013854875285
2020-21,11,19,1.6114986501338375,0,431,1,1.2,1.342915541778198
2020-21,11,20,1.1053340321637426,0,455,1,1,1.1053340321637426
2020-21,12,1,1.1038960362937353,0,8,1,0.85,1.2987012191691003
2020-21,12,2,1.1983787494270435,1,12,1,1,1.1983787494270435
2020-21,12,4,1.5900553539094648,1,97,1,1.2,1.3250461282578874
2020-21,12,5,0.892583063878219,0,110,1,1,0.892583063878219
2020-21,12,6,1.2856342781954888,0,128,1,1,1.2856342781954888
2020-21,12,7,1.5893984861872992,1,156,1,1.2,1.324498738489416
2020-21,12,8,1.7881671619937698,0,516,1,1.2,1.4901393016614748
2020-21,12,9,1.2531053822714682,1,217,1,1,1.2531053822714682
2020-21,12,10,1.8999390587309395,0,213,1,1.2,1.5832825489424496
2020-21,12,11,0.9485466035231522,0,255,1,0.85,1.1159371806154732
2020-21,12,12,1.104843901096277,1,278,1,1.2,0.9207032509135642
2020-21,12,13,1.367720947368421,1,298,1,1.2,1.139767456140351
2020-21,12,15,1.2305002231301938,0,351,1,0.85,1.44764732132964
2020-21,12,16,1.095232534962406,1,363,1,0.85,1.288508864661654
2020-21,12,17,1.1647373861201678,0,383,1,1,1.1647373861201678
2020-21,12,18,1.4435641455484505,0,417,1,0.85,1.6983107594687654
2020-21,12,19,1.3586474606319767,0,431,1,1,1.3586474606319767
2020-21,12,20,0.9556212943213294,0,455,1,0.85,1.1242603462603875
2020-21,13,1,1.0808025894790485,0,8,1,0.85,1.2715324582106453
2020-21,13,2,1.0114966349567098,1,12,1,0.85,1.189996041125541
2020-21,13,3,0.9974588085648025,1,74,1,0.85,1.173480951252709
2020-21,13,4,1.3449363320337882,1,97,1,1,1.3449363320337882
2020-21,13,5,0.9046736394635758,0,110,1,1,0.9046736394635758
2020-21,13,6,1.5438621771428573,0,128,1,1.2,1.2865518142857144
2020-21,13,7,1.5653971818779342,1,156,1,1.2,1.3044976515649451
2020-21,13,8,1.4938306711650924,1,516,1,1,1.4938306711650924
2020-21,13,9,1.4721796357894736,0,217,1,1.2,1.2268163631578948
2020-21,13,10,1.343275814465812,0,213,1,0.85,1.5803244876068376
2020-21,13,11,1.1407855715846995,0,255,1,1,1.1407855715846995
2020-21,13,12,0.7657241783672385,0,278,1,0.85,0.9008519745496923
2020-21,13,13,0.9716346067867038,0,298,1,0.85,1.1430995373961221
2020-21,13,14,1.256366092217724,0,325,1,1,1.256366092217724
2020-21,13,15,1.7762318463157893,0,351,1,1.2,1.480193205263158
2020-21,13,16,1.4809784057142854,0,363,1,1.2,1.2341486714285712
2020-21,13,17,1.1912259668141592,0,383,1,1,1.1912259668141592
2020-21,13,18,2.308788772649573,0,417,1,1.4,1.649134837606838
2020-21,13,19,1.1582705094603214,0,431,1,0.85,1.362671187600378
2020-21,13,20,1.351592614736842,0,455,1,1.2,1.1263271789473683
2020-21,14,1,1.2596734840101385,0,8,1,1,1.2596734840101385
2020-21,14,2,0.9712780331168831,1,12,1,0.85,1.142680038961039
2020-21,14,4,1.1569046681172839,0,97,1,0.85,1.3610643154320987
