season,gw,team,xgc,clean_sheet,element
2020-21,7,1,1.299070440300922,1,8
2020-21,7,2,1.2501381338661341,0,12
2020-21,7,3,1.3428956302206037,0,66
2020-21,7,4,1.2232275217629347,0,85
2020-21,7,5,1.0376106269083032,1,110
2020-21,7,6,1.3620062346938775,0,128
2020-21,7,7,1.123192645092779,0,156
2020-21,7,9,1.1198420187969926,0,217
2020-21,7,10,1.3735219904629807,0,197
2020-21,7,11,1.087749887978142,0,255
2020-21,7,12,1.0383293474187811,1,278
2020-21,7,13,1.2296263238866398,0,291
2020-21,7,14,1.5830750439707404,0,323
2020-21,7,15,1.3012353661114668,0,347
2020-21,7,17,1.29371116687737,0,383
2020-21,7,18,1.5404248719211824,0,417
2020-21,7,19,1.3000911965719684,0,431
2020-21,7,20,1.088640684210526,1,455
2020-21,8,1,1.2366044776141938,0,8
2020-21,8,2,1.2266838385899814,1,12
2020-21,8,3,1.374172388205897,1,66
2020-21,8,5,0.9902264392719956,0,110
2020-21,8,6,1.3538259523809524,0,128
2020-21,8,7,1.209462135419927,0,156
2020-21,8,8,1.3418456890756305,0,516
2020-21,8,9,1.1537824842105264,1,217
2020-21,8,10,1.4683638359541118,0,197
2020-21,8,11,1.0317118287795992,0,255
2020-21,8,12,1.0092815368888681,0,278
2020-21,8,13,1.2072921578947369,0,291
2020-21,8,14,1.5521394410393579,0,323
2020-21,8,15,1.3306387417040357,0,347
2020-21,8,16,1.243576895238095,1,363
2020-21,8,17,1.2273360890855454,1,383
2020-21,8,18,1.531756843137255,0,417
2020-21,8,19,1.3091499834671705,1,431
2020-21,8,20,1.065232438596491,0,455
2020-21,9,1,1.2733256352633067,1,8
2020-21,9,2,1.2300620493506493,0,12
2020-21,9,3,1.307059113943028,0,66
2020-21,9,4,1.1930541754385966,1,96
2020-21,9,5,0.9715614766538626,1,110
2020-21,9,6,1.317898830357143,0,128
2020-21,9,7,1.2256061894561816,0,156
2020-21,9,8,1.3394952290598292,0,516
2020-21,9,9,1.1149378914473687,0,217
2020-21,9,11,1.0582332769808742,1,255
2020-21,9,12,1.0149035677629437,0,278
2020-21,9,13,1.1498636140350877,1,291
2020-21,9,14,1.5117369134743979,0,323
2020-21,9,16,1.1759381517857141,0,363
2020-21,9,17,1.1965929585176989,1,383
2020-21,9,18,1.54377433974359,0,417
2020-21,9,19,1.3335827345004725,1,431
2020-21,9,20,1.1166249736842104,0,455
2020-21,10,1,1.3052703037772297,0,8
2020-21,10,2,1.240454296266234,0,12
2020-21,10,3,1.335230695475791,0,66
2020-21,10,5,0.9319858218629962,1,110
2020-21,10,6,1.3351345462184874,0,128
2020-21,10,7,1.2545859430175825,0,156
2020-21,10,8,1.3981024375000002,0,516
2020-21,10,9,1.2747226625386998,0,217
2020-21,10,10,1.4165439411764706,1,213
2020-21,10,11,1.103202731276117,0,255
2020-21,10,12,0.9951768447777596,1,278
2020-21,10,14,1.521126447975904,1,323
2020-21,10,15,1.4475730650154797,0,351
2020-21,10,16,1.1947232016806721,0,363
2020-21,10,17,1.2169206668401873,1,383
2020-21,10,18,1.5966585882352944,1,417
2020-21,10,19,1.2927220442357388,0,431
2020-21,10,20,1.1118678575851393,0,455
2020-21,11,1,1.3509136757896059,0,8
2020-21,11,3,1.2736779901715807,0,66
2020-21,11,4,1.2796984887436456,0,97
2020-21,11,5,0.889424773518114,0,110
2020-21,11,6,1.3281069047619047,0,128
2020-21,11,7,1.3608007239610505,0,156
2020-21,11,8,1.3988788199279711,0,516
2020-21,11,9,1.307882792397661,0,217
2020-21,11,10,1.4144778854875284,0,213
2020-21,11,11,1.159673968427444,1,255
2020-21,11,12,0.9593281480261268,1,278
2020-21,11,13,1.0670675417956657,0,298
2020-21,11,15,1.4551378391812866,0,351
2020-21,11,16,1.2562898015873014,0,363
2020-21,11,17,1.1990652409046214,1,383
2020-21,11,18,1.7054013854875285,0,417
2020-21,11,19,1.342915541778198,0,431
2020-21,11,20,1.1053340321637426,0,455
2020-21,12,1,1.2987012191691003,0,8
