season,gw,team,xgc,goals_conceded,clean_sheet
2022-23,3,9,1.548973,2,0
2022-23,4,9,2.608144,2,0
2022-23,5,9,1.660784,1,0
2022-23,6,9,2.9511990000000003,2,0
2022-23,8,9,1.394808,2,0
2022-23,9,9,5.101041,4,0
2022-23,10,9,3.6161440000000002,3,0
2022-23,11,9,1.5827710000000002,2,0
2022-23,12,9,0.346946,0,1
2022-23,13,9,1.9667960000000002,2,0
2022-23,14,9,1.0109920000000001,0,1
2022-23,15,9,2.326408,2,0
2022-23,16,9,2.5776,2,0
2022-23,17,9,0.3977,0,1
2022-23,18,9,0.7941,1,0
2022-23,20,9,2.1277,1,0
2022-23,21,9,0.8957,1,0
2022-23,22,9,1.54,0,1
2022-23,23,9,0.67,0,1
2022-23,24,9,2.2,0,1
2022-23,25,9,0.8,1,0
2022-23,26,9,2.34,3,0
2022-23,27,9,2.38,3,0
2022-23,29,9,2.32,2,0
2022-23,30,9,1.09,1,0
2022-23,31,9,1.31,1,0
2022-23,32,9,0.89,1,0
2022-23,33,9,0.97,1,0
2022-23,35,9,2.84,3,0
2022-23,36,9,0.25,0,1
2022-23,37,9,1.62,2,0
2022-23,38,9,2.71,2,0
2022-23,1,1,1.176275,0,1
2022-23,2,1,0.263136,2,0
2022-23,4,1,0.903529,1,0
2022-23,5,1,0.28886,1,0
2022-23,6,1,1.9723169999999999,3,0
2022-23,8,1,0.525011,0,1
2022-23,9,1,1.460685,1,0
2022-23,10,1,0.744637,2,0
2022-23,11,1,1.965789,0,1
2022-23,13,1,0.6052449999999999,1,0
2022-23,15,1,0.27102,0,1
2022-23,17,1,1.0694,1,0
2022-23,18,1,1.1451,2,0
2022-23,19,1,1.0801,0,1
2022-23,20,1,1.5397,0,1
2022-23,21,1,0.3316,2,0
2022-23,22,1,1.66,1,0
2022-23,27,1,0.84,0,1
2022-23,28,1,0.6,1,0
2022-23,30,1,3.96,2,0
2022-23,31,1,1.75,2,0
2022-23,34,1,0.74,1,0
2022-23,35,1,1.3,0,1
2022-23,29,1,0.78,1,0
2022-23,32,1,1.42,3,0
