sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
GATERES#1,1786774384-1192412,real (ships),0,true,2020-21,2019-20,1,38,5,false,2155,1711,39,3,56.71052631578947,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,0,0,0,0,1648.2242869144854,43.37432333985488,2080.9035076448595,54.760618622233146,,55,2aadee614ec1,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2021-22,2020-21,1,38,5,false,2276,1942,42,6,59.89473684210526,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,0,0,0,0,1844.6319469451983,48.54294597224206,2207.830445302571,58.10080119217292,,55,2ee4dc9e44a7,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2022-23,2021-22,1,38,5,false,2052,1842,38,2,54,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,0,0,0,0,1815.2177874751883,47.7688891440839,2014.1377293842772,53.00362445748098,,55,fe5b3efc1102,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2023-24,2022-23,1,38,5,false,2233,1809,37,1,58.76315789473684,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,1772.417246624064,46.6425591216859,2175.934418920871,57.26143207686503,,55,7df5f95f1759,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2024-25,2023-24,1,38,5,false,2218,1847,35,2,58.36842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,1860.6244466878172,48.96380122862677,2183.5076375726912,57.460727304544506,,55,5062709cbae7,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2025-26,2024-25,1,38,5,false,2134,1514,36,2,56.1578947368421,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,1568.5497037608968,41.2776237831815,2033.913472490765,53.52403874975697,,55,cdb305de770a,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2020-21,2019-20,6,33,5,false,1798,1634,36,5,54.484848484848484,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,0,0,0,0,1641.8945463339628,49.75438019193827,1784.5135398557677,54.0761678744172,,55,347628e26f13,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2021-22,2020-21,6,33,5,false,1851,1513,36,5,56.09090909090909,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,0,0,0,0,1548.2265034301754,46.915954649399254,1865.834304448596,56.54043346813927,,55,eb89dd66c059,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2022-23,2021-22,6,33,5,false,1809,1563,31,1,54.81818181818182,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,0,0,0,0,1542.5052977214905,46.742584779439106,1784.6187488791509,54.07935602664094,,55,1319d3d56d73,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2023-24,2022-23,6,33,5,false,2077,1662,33,2,62.93939393939394,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,0,0,0,0,1590.2225987854497,48.18856359955908,1963.4618994561383,59.4988454380648,,55,e4d98525659c,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2024-25,2023-24,6,33,5,false,1940,1762,33,4,58.78787878787879,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,0,0,0,0,1727.130697236609,52.33729385565482,1918.8559475608859,58.14714992608745,,55,5f44285da178,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2025-26,2024-25,6,33,5,false,1865,1742,31,3,56.515151515151516,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,0,0,0,0,1652.7148976642413,50.08226962618913,1786.2446567240256,54.12862596133411,,55,0dc2d2b17e58,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2020-21,2019-20,11,28,5,false,1617,1389,24,1,57.75,49.607142857142854,,,,,,,1387,49.535714285714285,1212,43.285714285714285,0,0,0,0,1406.6767074533884,50.238453837621016,1570.6772855724423,56.09561734187294,,55,dac65f49e6c3,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2021-22,2020-21,11,28,5,false,1521,1604,32,6,54.32142857142857,57.285714285714285,,,,,,,1632,58.285714285714285,1444,51.57142857142857,0,0,0,0,1526.4880098501205,54.51742892321859,1548.2637167219773,55.29513274007062,,55,b9a408253035,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2022-23,2021-22,11,28,5,false,1554,1548,30,4,55.5,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,0,0,0,0,1460.3892195978854,52.15675784278162,1549.7919404419063,55.34971215863951,,55,f82a462d3eb2,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2023-24,2022-23,11,28,5,false,1710,1424,27,1,61.07142857142857,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,0,0,0,0,1369.950452473827,48.92680187406525,1653.2085370640618,59.04316203800221,,55,025d70cb5565,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2024-25,2023-24,11,28,5,false,1776,1704,26,1,63.42857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,0,0,0,0,1612.5162738423217,57.58986692294006,1678.3978415021443,59.94278005364801,,55,d7639030dcde,-,none
GATERES#1,1786774384-1192412,real (ships),0,true,2025-26,2024-25,11,28,5,false,1525,1489,24,0,54.464285714285715,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,0,0,0,0,1460.0963763679479,52.146299155998136,1504.3638340966854,53.72727978916733,,55,b5c18c2f39b5,-,none
