sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
TestDiagGateOracleOnXPoints#1,1786814218-1409335,real (ships),0,true,2020-21,2019-20,1,38,5,false,2155,1711,39,3,56.71052631578947,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,0,0,0,0,1726.4583824322613,45.43311532716477,2188.5815940094153,57.59425247393198,,55,2aadee614ec1,-,none
TestDiagGateOracleOnXPoints#1,1786814218-1409335,real (ships),0,true,2021-22,2020-21,1,38,5,false,2276,1942,42,6,59.89473684210526,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,0,0,0,0,1931.8732187563267,50.83876891464018,2318.2824043041855,61.00743169221541,,55,2ee4dc9e44a7,-,none
TestDiagGateOracleOnXPoints#1,1786814218-1409335,real (ships),0,true,2022-23,2021-22,1,38,5,false,2052,1842,38,2,54,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,0,0,0,0,1851.9591496843016,48.73576709695531,2051.4569917522686,53.985710309270225,,55,fe5b3efc1102,-,none
TestDiagGateOracleOnXPoints#1,1786814218-1409335,real (ships),0,true,2023-24,2022-23,1,38,5,false,2233,1809,37,1,58.76315789473684,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,1848.0006352101223,48.63159566342427,2270.390802539268,59.747126382612315,,55,7df5f95f1759,-,none
TestDiagGateOracleOnXPoints#1,1786814218-1409335,real (ships),0,true,2024-25,2023-24,1,38,5,false,2218,1847,35,2,58.36842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,1917.9934896667921,50.47351288596821,2257.0086271970167,59.394963873605704,,55,5062709cbae7,-,none
TestDiagGateOracleOnXPoints#1,1786814218-1409335,real (ships),0,true,2025-26,2024-25,1,38,5,false,2134,1514,36,2,56.1578947368421,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,1575.5209560031244,41.46107778955591,2070.0485073138693,54.474960718786036,,55,cdb305de770a,-,none
TestDiagGateOracleOnXPoints#1,1786814218-1409335,real (ships),0,true,2020-21,2019-20,6,33,5,false,1798,1634,36,5,54.484848484848484,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,0,0,0,0,1723.6416745105214,52.231565894258225,1878.3264792204197,56.918984218800595,,55,347628e26f13,-,none
TestDiagGateOracleOnXPoints#1,1786814218-1409335,real (ships),0,true,2021-22,2020-21,6,33,5,false,1851,1513,36,5,56.09090909090909,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,0,0,0,0,1628.429639039166,49.346352698156544,1960.9044822522337,59.42134794703738,,55,eb89dd66c059,-,none
TestDiagGateOracleOnXPoints#1,1786814218-1409335,real (ships),0,true,2022-23,2021-22,6,33,5,false,1809,1563,31,1,54.81818181818182,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,0,0,0,0,1558.52870829949,47.22814267574212,1820.9320173618992,55.179758101875734,,55,1319d3d56d73,-,none
TestDiagGateOracleOnXPoints#1,1786814218-1409335,real (ships),0,true,2023-24,2022-23,6,33,5,false,2077,1662,33,2,62.93939393939394,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,0,0,0,0,1658.4344757989352,50.25559017572531,2049.623500314471,62.10980303983246,,55,e4d98525659c,-,none
