data state: no FPL_* switch set — shipped defaults
season    pos       goals   assists
2020-21   GKP      1.0000    1.0000
2020-21   DEF      1.0096    1.4310
2020-21   MID      1.0891    1.4427
2020-21   FWD      0.9165    1.9629
2021-22   GKP      1.0000    1.0000
2021-22   DEF      1.0101    1.4693
2021-22   MID      1.0733    1.4032
2021-22   FWD      0.9527    1.6406
2022-23   GKP      1.0000    1.0000
2022-23   DEF      0.7127    1.1052
2022-23   MID      1.0140    1.3685
2022-23   FWD      0.8996    1.9544
2023-24   GKP      1.0000    1.0000
2023-24   DEF      0.9334    1.3286
2023-24   MID      1.0358    1.3449
2023-24   FWD      0.9631    2.1277
2024-25   GKP      1.0000    1.0000
2024-25   DEF      0.8498    1.1074
2024-25   MID      0.9926    1.3711
2024-25   FWD      1.0231    2.0766
2024-25   MNG      1.0000    1.0000
2025-26   GKP      1.0000    1.0000
2025-26   DEF      0.7565    1.2918
2025-26   MID      0.9814    1.3248
2025-26   FWD      0.9740    2.1084
