sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2020-21,2019-20,1,38,5,false,2155,1711,39,3,56.71052631578947,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,0,0,0,0,,,,,,,,,,,1726.4583824322613,45.43311532716477,2188.5815940094153,57.59425247393198,0,55,2aadee614ec1,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2021-22,2020-21,1,38,5,false,2276,1942,42,6,59.89473684210526,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,0,0,0,0,,,,,,,,,,,1931.8732187563267,50.83876891464018,2318.2824043041855,61.00743169221541,0,55,2ee4dc9e44a7,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2022-23,2021-22,1,38,5,false,2052,1842,38,2,54,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,0,0,0,0,,,,,,,,,,,1851.9591496843016,48.73576709695531,2051.4569917522686,53.985710309270225,0,55,fe5b3efc1102,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2023-24,2022-23,1,38,5,false,2233,1809,37,1,58.76315789473684,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,,,,,,,,,,,1848.0006352101223,48.63159566342427,2270.390802539268,59.747126382612315,0,55,7df5f95f1759,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2024-25,2023-24,1,38,5,false,2218,1847,35,2,58.36842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,,,,,,,,,,,1917.9934896667921,50.47351288596821,2257.0086271970167,59.394963873605704,0,55,5062709cbae7,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2025-26,2024-25,1,38,5,false,2134,1514,36,2,56.1578947368421,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,,,,,,,,,,,1575.5209560031244,41.46107778955591,2070.0485073138693,54.474960718786036,0,55,cdb305de770a,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2020-21,2019-20,6,33,5,false,1798,1634,36,5,54.484848484848484,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,0,0,0,0,,,,,,,,,,,1723.6416745105214,52.231565894258225,1878.3264792204197,56.918984218800595,0,55,347628e26f13,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2021-22,2020-21,6,33,5,false,1851,1513,36,5,56.09090909090909,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,0,0,0,0,,,,,,,,,,,1628.429639039166,49.346352698156544,1960.9044822522337,59.42134794703738,0,55,eb89dd66c059,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2022-23,2021-22,6,33,5,false,1809,1563,31,1,54.81818181818182,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,0,0,0,0,,,,,,,,,,,1558.52870829949,47.22814267574212,1820.9320173618992,55.179758101875734,0,55,1319d3d56d73,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2023-24,2022-23,6,33,5,false,2077,1662,33,2,62.93939393939394,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,0,0,0,0,,,,,,,,,,,1658.4344757989352,50.25559017572531,2049.623500314471,62.10980303983246,0,55,e4d98525659c,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2024-25,2023-24,6,33,5,false,1940,1762,33,4,58.78787878787879,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,0,0,0,0,,,,,,,,,,,1774.8051976947927,53.781975687720994,1974.993246783659,59.84828020556542,0,55,5f44285da178,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2025-26,2024-25,6,33,5,false,1865,1742,31,3,56.515151515151516,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,0,0,0,0,,,,,,,,,,,1683.786208877141,51.023824511428515,1827.7836688705913,55.387383905169436,0,55,0dc2d2b17e58,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2020-21,2019-20,11,28,5,false,1617,1389,24,1,57.75,49.607142857142854,,,,,,,1387,49.535714285714285,1212,43.285714285714285,0,0,0,0,,,,,,,,,,,1484.3014469042141,53.01076596086479,1660.1093701350094,59.28962036196462,0,55,dac65f49e6c3,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2021-22,2020-21,11,28,5,false,1521,1604,32,6,54.32142857142857,57.285714285714285,,,,,,,1632,58.285714285714285,1444,51.57142857142857,0,0,0,0,,,,,,,,,,,1602.0877101926003,57.217418221164294,1624.006749534639,58.00024105480854,0,55,b9a408253035,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2022-23,2021-22,11,28,5,false,1554,1548,30,4,55.5,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,0,0,0,0,,,,,,,,,,,1484.6570035466896,53.02346441238177,1586.9060651085679,56.67521661102028,0,55,f82a462d3eb2,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2023-24,2022-23,11,28,5,false,1710,1424,27,1,61.07142857142857,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,0,0,0,0,,,,,,,,,,,1412.0616730355432,50.430774036983685,1723.1767713162249,61.54202754700803,0,55,025d70cb5565,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2024-25,2023-24,11,28,5,false,1776,1704,26,1,63.42857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,0,0,0,0,,,,,,,,,,,1656.4013083792024,59.15718958497151,1731.128318438055,61.826011372787676,0,55,d7639030dcde,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2025-26,2024-25,11,28,5,false,1525,1489,24,0,54.464285714285715,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,0,0,0,0,,,,,,,,,,,1489.4444416753352,53.19444434554769,1546.6189630855467,55.236391538769524,0,55,b5c18c2f39b5,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2020-21,2019-20,16,23,5,false,1319,1189,23,2,57.34782608695652,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,0,0,0,0,,,,,,,,,,,1229.9728241965981,53.47707931289557,1374.193622422808,59.74754880099165,0,55,38103e5146cf,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2021-22,2020-21,16,23,5,false,1324,1260,24,3,57.56521739130435,54.78260869565217,,,,,,,1278,55.56521739130435,1153,50.130434782608695,0,0,0,0,,,,,,,,,,,1299.404660675238,56.495854811966865,1418.0266426719672,61.65333229008553,0,55,88076620b267,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2022-23,2021-22,16,23,5,false,1352,1106,23,2,58.78260869565217,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,0,0,0,0,,,,,,,,,,,1120.5017860161925,48.71746895722576,1373.1288908764627,59.701256125063594,0,55,f8a4e38b18ca,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2023-24,2022-23,16,23,5,false,1450,1077,22,1,63.04347826086956,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,0,0,0,0,,,,,,,,,,,1097.4323663170342,47.71445070943627,1434.6265998670942,62.37506955943888,0,55,36f167db5055,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2024-25,2023-24,16,23,5,false,1401,1336,23,2,60.91304347826087,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,0,0,0,0,,,,,,,,,,,1341.1098827586973,58.30912533733466,1390.4662895546398,60.455056067593034,0,55,35d18512b286,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2025-26,2024-25,16,23,5,false,1339,1288,23,3,58.21739130434783,56,,,,,,,1289,56.04347826086956,1127,49,0,0,0,0,,,,,,,,,,,1210.7845477335868,52.642806423199424,1264.7345107371789,54.98845698857299,0,55,334a04b1176a,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2020-21,2019-20,21,18,5,false,1021,942,17,2,56.72222222222222,52.333333333333336,,,,,,,963,53.5,845,46.94444444444444,0,0,0,0,,,,,,,,,,,965.0577004029183,53.614316689051016,1054.3465314777486,58.574807304319364,0,55,3828563d2a28,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2021-22,2020-21,21,18,5,false,1002,944,19,2,55.666666666666664,52.44444444444444,,,,,,,962,53.44444444444444,855,47.5,0,0,0,0,,,,,,,,,,,1001.6196502423109,55.64553612457283,1028.63757792194,57.146532106774444,0,55,2614de13199f,-,none
