sweep,run_id,key,value
bandstrength#1,1786888252-1904264,commit,9f7ce6a9fa886f29b2c50004c6de432c9c2e9640
bandstrength#1,1786888252-1904264,dirty,true
bandstrength#1,1786888252-1904264,constants_digest,67455aaa8835
bandstrength#1,1786888252-1904264,bank_up_to,5
bandstrength#1,1786888252-1904264,season,2020-21<-2019-20
bandstrength#1,1786888252-1904264,season,2021-22<-2020-21
bandstrength#1,1786888252-1904264,season,2022-23<-2021-22
bandstrength#1,1786888252-1904264,season,2023-24<-2022-23
bandstrength#1,1786888252-1904264,season,2024-25<-2023-24
bandstrength#1,1786888252-1904264,season,2025-26<-2024-25
bandstrength#1,1786888252-1904264,start_gw,1
bandstrength#1,1786888252-1904264,start_gw,6
bandstrength#1,1786888252-1904264,start_gw,11
bandstrength#1,1786888252-1904264,start_gw,16
bandstrength#1,1786888252-1904264,start_gw,21
bandstrength#1,1786888252-1904264,start_gw,26
bandstrength#1,1786888252-1904264,declared_arm,0	band_strength 0 — FPL's blended FDR alone (ships)
bandstrength#1,1786888252-1904264,declared_arm,1	band_strength 1 — the 3/14/3 adjustment at full strength
bandstrength#1,1786888252-1904264,declared_arm,"2	band_strength 2 — CANARY, double dose, sizes the instrument"
bandstrength#1,1786888252-1904264,constant,chip_plan.bench_boost_gameweek	8
bandstrength#1,1786888252-1904264,constant,chip_plan.free_hit_gameweek	16
bandstrength#1,1786888252-1904264,constant,chip_plan.triple_captain_gameweek	9
bandstrength#1,1786888252-1904264,constant,chip_plan.wildcard_gameweek	6
bandstrength#1,1786888252-1904264,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
bandstrength#1,1786888252-1904264,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
bandstrength#1,1786888252-1904264,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
bandstrength#1,1786888252-1904264,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
bandstrength#1,1786888252-1904264,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
bandstrength#1,1786888252-1904264,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
bandstrength#1,1786888252-1904264,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
bandstrength#1,1786888252-1904264,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
bandstrength#1,1786888252-1904264,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
bandstrength#1,1786888252-1904264,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
