season,cutoff,code,position,run,run_capped,flagged,expected,actual
2022-23,5,84450,MID,0,0,false,75.3272,72.0000
2022-23,5,184029,MID,0,0,false,78.5826,46.6000
2022-23,5,198869,DEF,0,0,false,76.4670,68.4000
2022-23,5,223340,MID,0,0,false,82.9099,72.0000
2022-23,5,225321,GKP,0,0,false,85.2632,72.0000
2022-23,5,226597,DEF,0,0,false,85.3026,72.0000
2022-23,5,444145,MID,0,0,false,67.8549,69.4000
2022-23,5,462424,DEF,0,0,false,90.0000,72.0000
2022-23,5,205651,FWD,0,0,false,67.8554,69.8000
2022-23,5,98980,GKP,0,0,false,87.6316,72.0000
2022-23,5,101188,DEF,0,0,false,77.1053,36.0000
2022-23,5,122806,MID,0,0,false,81.4400,64.0000
2022-23,5,178301,FWD,0,0,false,79.2861,72.0000
2022-23,5,199796,DEF,0,0,false,89.4342,23.2000
2022-23,5,199798,DEF,0,0,false,70.3281,72.0000
2022-23,5,232653,MID,0,0,false,66.7277,63.6000
2022-23,5,226944,MID,0,0,false,86.5684,26.6000
2022-23,5,54469,DEF,0,0,false,79.6117,72.0000
2022-23,5,128340,FWD,0,0,false,68.6981,14.8000
2022-23,5,152551,MID,0,0,false,90.0000,72.0000
2022-23,5,168991,MID,0,0,false,60.2741,69.0000
2022-23,5,223911,DEF,0,0,false,87.9223,72.0000
2022-23,5,144485,FWD,0,0,false,83.2632,72.0000
2022-23,5,154561,GKP,0,0,false,73.4211,72.0000
2022-23,5,194010,DEF,0,0,false,81.5132,72.0000
2022-23,5,207283,MID,0,0,false,57.6813,66.0000
2022-23,5,446008,FWD,0,0,false,77.0970,55.6000
2022-23,5,50175,FWD,0,0,false,55.3350,54.0000
2022-23,5,60307,MID,0,0,false,71.7500,47.0000
2022-23,5,83299,DEF,0,0,false,78.8553,54.0000
2022-23,5,109345,MID,0,0,false,63.4905,54.0000
2022-23,5,110735,DEF,0,0,false,63.8026,54.0000
2022-23,5,111478,DEF,0,0,false,76.6857,53.4000
2022-23,5,116216,MID,0,0,false,78.0925,52.8000
2022-23,5,179268,DEF,0,0,false,80.4973,32.2000
2022-23,5,215059,GKP,0,0,false,88.8158,54.0000
2022-23,5,243016,MID,0,0,false,72.7895,54.0000
2022-23,5,486672,MID,0,0,false,52.0370,53.6000
2022-23,5,51090,DEF,0,0,false,79.8553,36.0000
2022-23,5,85955,MID,0,0,false,65.6507,30.4000
2022-23,5,126187,MID,0,0,false,52.5725,36.2000
