season,cutoff,code,position,run,run_capped,flagged,expected,actual
2020-21,5,54694,MID,0,0,false,86.2632,89.2000
2020-21,5,80201,GKP,0,0,false,79.8553,90.0000
2020-21,5,84450,MID,0,0,false,64.6777,52.0000
2020-21,5,98745,DEF,0,0,false,60.2105,90.0000
2020-21,5,83299,DEF,0,0,false,87.5000,36.0000
2020-21,5,109345,MID,0,0,false,58.9258,62.6000
2020-21,5,110735,DEF,0,0,false,80.1053,90.0000
2020-21,5,115382,FWD,0,0,false,81.3553,56.6000
2020-21,5,116216,MID,0,0,false,69.5840,43.2000
2020-21,5,131897,GKP,0,0,false,90.0000,72.0000
2020-21,5,198869,DEF,0,0,false,88.3528,90.0000
2020-21,5,232792,DEF,0,0,false,45.2572,69.6000
2020-21,5,116594,MID,0,0,false,66.8398,90.0000
2020-21,5,165153,FWD,0,0,false,89.7255,78.8000
2020-21,5,40836,GKP,0,0,false,86.4474,90.0000
2020-21,5,50471,MID,0,0,false,83.1868,52.2000
2020-21,5,55037,MID,0,0,false,78.2105,90.0000
2020-21,5,55494,DEF,0,0,false,76.3158,0.0000
2020-21,5,60252,MID,0,0,false,61.8947,77.4000
2020-21,5,82403,MID,0,0,false,88.1447,54.0000
2020-21,5,244723,DEF,0,0,false,47.5395,18.0000
2020-21,5,59949,DEF,0,0,false,57.0735,18.0000
2020-21,5,101188,DEF,0,0,false,84.8816,50.2000
2020-21,5,106611,DEF,0,0,false,78.6316,90.0000
2020-21,5,111234,GKP,0,0,false,90.0000,72.0000
2020-21,5,164511,DEF,0,0,false,75.0132,54.0000
2020-21,5,177815,FWD,0,0,false,77.7172,90.0000
2020-21,5,212319,FWD,0,0,false,77.5424,33.0000
2020-21,5,128389,FWD,0,0,false,81.3523,61.0000
2020-21,5,166324,MID,0,0,false,84.4596,36.4000
2020-21,5,203325,MID,0,0,false,81.3523,71.2000
2020-21,5,66588,DEF,0,0,false,90.0000,85.8000
2020-21,5,72222,MID,0,0,false,85.3955,90.0000
2020-21,5,87873,DEF,0,0,false,90.0000,88.0000
2020-21,5,106617,FWD,0,0,false,82.5914,90.0000
2020-21,5,155405,MID,0,0,false,90.0000,36.0000
2020-21,5,165808,MID,0,0,false,79.6564,43.6000
2020-21,5,437495,GKP,0,0,false,90.0000,90.0000
2020-21,5,17745,GKP,0,0,false,90.0000,90.0000
2020-21,5,166989,MID,0,0,false,82.1447,90.0000
2020-21,5,201666,MID,0,0,false,72.3026,53.6000
2020-21,5,220627,DEF,0,0,false,58.2895,90.0000
2020-21,5,41733,MID,0,0,false,71.3756,90.0000
2020-21,5,92217,FWD,0,0,false,79.4290,77.8000
2020-21,5,97032,DEF,0,0,false,79.0189,0.0000
2020-21,5,116643,MID,0,0,false,68.2957,54.0000
2020-21,5,118748,MID,0,0,false,82.8816,66.4000
2020-21,5,122798,DEF,0,0,false,85.9342,90.0000
2020-21,5,169187,DEF,0,0,false,86.6127,48.4000
2020-21,5,50232,MID,0,0,false,71.3177,18.0000
2020-21,5,57145,DEF,0,0,false,79.4342,90.0000
2020-21,5,59735,GKP,0,0,false,90.0000,90.0000
2020-21,5,153127,MID,0,0,false,68.4454,19.4000
2020-21,5,40386,DEF,0,0,false,81.3040,87.0000
2020-21,5,63426,DEF,0,0,false,89.0132,54.0000
2020-21,5,82691,DEF,0,0,false,90.0000,90.0000
2020-21,5,153723,MID,0,0,false,74.6425,48.2000
2020-21,5,207189,MID,0,0,false,52.1918,90.0000
2020-21,5,40146,DEF,0,0,false,81.0789,69.6000
2020-21,5,58376,GKP,0,0,false,78.1579,90.0000
2020-21,5,78056,MID,0,0,false,65.9206,90.0000
2020-21,5,84939,FWD,0,0,false,81.8421,34.8000
2020-21,5,101178,MID,0,0,false,90.0000,90.0000
2020-21,5,158534,DEF,0,0,false,57.4211,90.0000
2020-21,5,171771,DEF,0,0,false,82.1352,81.0000
2020-21,5,200439,FWD,0,0,false,55.2452,89.6000
2020-21,5,37915,GKP,0,0,false,68.7895,90.0000
2020-21,5,78830,FWD,0,0,false,78.4813,90.0000
2020-21,5,85971,MID,0,0,false,69.6500,88.8000
2020-21,5,132015,MID,0,0,false,81.1842,90.0000
2020-21,5,49944,MID,0,0,false,90.0000,41.2000
2020-21,5,61600,MID,0,0,false,56.4477,42.8000
2020-21,5,101982,GKP,0,0,false,90.0000,90.0000
2020-21,5,37096,GKP,0,0,false,72.8553,90.0000
2020-21,5,40669,DEF,0,0,false,81.6579,84.4000
2020-21,5,55459,DEF,0,0,false,80.8816,90.0000
2020-21,5,57531,FWD,0,0,false,65.6908,19.2000
2020-21,5,178186,MID,0,0,false,55.6250,79.0000
2020-21,5,179830,MID,0,0,false,83.4352,47.2000
2020-21,5,204480,MID,0,0,false,90.0000,90.0000
2020-21,5,215439,MID,0,0,false,58.6711,90.0000
2020-21,5,217593,MID,0,0,false,69.6994,83.2000
2020-21,5,19624,MID,0,0,false,73.3705,40.2000
2020-21,5,38533,GKP,0,0,false,90.0000,90.0000
2020-21,5,90585,DEF,0,0,false,71.0526,90.0000
2020-21,5,94147,DEF,0,0,false,90.0000,72.0000
2020-21,5,102057,FWD,0,0,false,87.6447,74.8000
2020-21,5,107613,DEF,0,0,false,80.5658,13.4000
2020-21,5,247632,MID,0,0,false,53.1523,70.6000
2020-21,5,47431,MID,0,0,false,70.5907,51.6000
2020-21,5,210407,MID,0,0,false,85.9117,65.0000
2020-21,5,225321,GKP,0,0,false,88.8158,90.0000
2020-21,5,83314,MID,0,0,false,68.3329,66.0000
2020-21,5,193645,DEF,0,0,false,90.0000,90.0000
2020-21,5,166477,DEF,0,0,false,90.0000,18.0000
2020-21,5,219847,MID,0,0,false,81.1445,32.6000
2020-21,5,182539,MID,0,0,false,54.8662,63.0000
2020-21,5,75115,FWD,0,0,false,82.8250,68.6000
2020-21,5,60025,MID,0,0,false,83.9063,66.4000
2020-21,5,121599,MID,0,0,false,82.6198,83.4000
2020-21,5,194799,DEF,0,0,false,68.5791,90.0000
2020-21,5,86881,MID,0,0,false,46.7742,85.8000
2020-21,9,41270,DEF,3,3,false,44.9843,32.0000
2020-21,9,54694,MID,0,0,false,86.9645,72.0000
2020-21,9,59966,FWD,1,1,false,48.7281,34.4000
2020-21,9,80201,GKP,0,0,false,82.7538,90.0000
2020-21,9,84450,MID,0,0,false,57.3500,45.4000
2020-21,9,98745,DEF,0,0,false,68.7218,47.4000
2020-21,9,98980,GKP,0,0,false,62.1801,72.0000
2020-21,9,156074,DEF,0,0,false,45.6495,81.0000
2020-21,9,192895,DEF,0,0,false,62.8888,90.0000
2020-21,9,223340,MID,0,0,false,57.8124,90.0000
2020-21,9,114283,MID,0,0,false,88.2425,72.0000
2020-21,9,122806,MID,0,0,false,79.5865,72.0000
2020-21,9,148508,MID,0,0,false,69.6361,14.6000
2020-21,9,149484,DEF,0,0,false,85.1316,72.0000
2020-21,9,169359,DEF,0,0,false,79.3891,72.0000
2020-21,9,199798,DEF,0,0,false,77.0113,36.0000
2020-21,9,230046,MID,0,0,false,79.3252,52.8000
2020-21,9,78916,DEF,0,0,false,59.8037,18.0000
2020-21,9,83299,DEF,0,0,false,63.2410,90.0000
2020-21,9,109345,MID,0,0,false,54.2623,90.0000
2020-21,9,110735,DEF,0,0,false,82.9323,72.0000
2020-21,9,111478,DEF,0,0,false,50.3691,65.4000
2020-21,9,115382,FWD,0,0,false,74.1589,41.0000
2020-21,9,116216,MID,2,2,false,51.9124,48.2000
2020-21,9,131897,GKP,0,0,false,81.7583,54.0000
2020-21,9,198869,DEF,0,0,false,89.3956,84.2000
2020-21,9,227127,MID,0,0,false,65.4356,86.2000
2020-21,9,232792,DEF,0,0,false,58.8551,33.4000
2020-21,9,235382,MID,3,3,false,26.4686,25.0000
2020-21,9,17761,DEF,0,0,false,82.0116,90.0000
2020-21,9,41674,DEF,2,2,false,40.5445,0.0000
2020-21,9,44699,FWD,1,1,false,44.2195,46.4000
2020-21,9,60551,MID,0,0,false,87.4624,90.0000
2020-21,9,60689,FWD,0,0,false,79.9491,79.2000
2020-21,9,98747,GKP,0,0,false,90.0000,72.0000
2020-21,9,103914,DEF,0,0,false,76.1278,90.0000
2020-21,9,172782,MID,0,0,false,65.4229,72.0000
2020-21,9,433154,MID,0,0,false,89.2387,89.2000
2020-21,9,41328,DEF,3,3,false,50.2288,18.0000
2020-21,9,85955,MID,1,1,false,48.1478,13.0000
