sweep,run_id,metric,variant,variant_index,baseline_variant,mean_per_gw,n_cells,oracle
BBCEILING#1,1786990256-2606233,policy,bench boost at entry+6,1,no chip (reference),0.15759361411535386,36,-
BBCEILING#1,1786990256-2606233,policy,ORACLE[decision:chipweek] perfect bench-boost week,2,no chip (reference),0,36,decision:chipweek
BBCEILING#1,1786990256-2606233,policy_xpoints,bench boost at entry+6,1,no chip (reference),0.18886744152139873,36,-
BBCEILING#1,1786990256-2606233,policy_xpoints,ORACLE[decision:chipweek] perfect bench-boost week,2,no chip (reference),0,36,decision:chipweek
BBCEILING#1,1786990256-2606233,hold,bench boost at entry+6,1,no chip (reference),0,36,-
BBCEILING#1,1786990256-2606233,hold,ORACLE[decision:chipweek] perfect bench-boost week,2,no chip (reference),0,36,decision:chipweek
BBCEILING#1,1786990256-2606233,hold_xpoints,bench boost at entry+6,1,no chip (reference),0,36,-
BBCEILING#1,1786990256-2606233,hold_xpoints,ORACLE[decision:chipweek] perfect bench-boost week,2,no chip (reference),0,36,decision:chipweek
BBCEILING#1,1786990256-2606233,hold_fixedcap,bench boost at entry+6,1,no chip (reference),0,36,-
BBCEILING#1,1786990256-2606233,hold_fixedcap,ORACLE[decision:chipweek] perfect bench-boost week,2,no chip (reference),0,36,decision:chipweek
BBCEILING#1,1786990256-2606233,hold_nocap,bench boost at entry+6,1,no chip (reference),0,36,-
BBCEILING#1,1786990256-2606233,hold_nocap,ORACLE[decision:chipweek] perfect bench-boost week,2,no chip (reference),0,36,decision:chipweek
