sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
BBRULE#1,1786990769-2609726,no chip (reference),0,true,2020-21,2019-20,1,38,5,false,2192,1711,43,7,57.68421052631579,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,37,0,,,1.2432432432432432,33,38,12,16,-9,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,,,,,,,,,,,1726.4583824322613,45.43311532716477,2201.9303362949922,57.94553516565769,,55,2aadee614ec1,-,none
BBRULE#1,1786990769-2609726,no chip (reference),0,true,2021-22,2020-21,1,38,5,false,2230,1942,41,3,58.68421052631579,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,37,0,,,1.2162162162162162,33,36,14,10,1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,,,,,,,,,,,1931.8732187563267,50.83876891464018,2305.0258242957384,60.65857432357206,,55,2ee4dc9e44a7,-,none
BBRULE#1,1786990769-2609726,no chip (reference),0,true,2022-23,2021-22,1,38,5,false,2108,1842,43,6,55.473684210526315,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,37,0,,,1.1891891891891893,33,39,9,14,-9,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,0,0,,,,,,,,,,,1851.9591496843016,48.73576709695531,2126.6565662176863,55.9646464794128,,55,fe5b3efc1102,-,none
BBRULE#1,1786990769-2609726,no chip (reference),0,true,2023-24,2022-23,1,38,5,false,2316,1809,39,2,60.94736842105263,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,37,0,,,1.2432432432432432,33,33,12,6,8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,0,0,,,,,,,,,,,1848.0006352101223,48.63159566342427,2362.6573856018567,62.175194357943596,,55,7df5f95f1759,-,none
BBRULE#1,1786990769-2609726,no chip (reference),0,true,2024-25,2023-24,1,38,5,false,2277,1847,39,4,59.921052631578945,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,37,0,,,2.081081081081081,33,37,12,10,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,,,,,,,,,,,1917.9934896667921,50.47351288596821,2279.6396046675723,59.99051591230453,,55,5062709cbae7,-,none
BBRULE#1,1786990769-2609726,no chip (reference),0,true,2025-26,2024-25,1,38,5,false,2141,1514,37,2,56.3421052631579,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,37,0,,,1.3513513513513513,33,32,10,11,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,,,,,,,,,,,1575.5209560031244,41.46107778955591,2074.004244805953,54.57905907384087,,55,cdb305de770a,-,none
BBRULE#1,1786990769-2609726,no chip (reference),0,true,2020-21,2019-20,6,33,5,false,1781,1634,38,7,53.96969696969697,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,32,0,,,1.1875,32,38,10,17,-15,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,,,,,,,,,,,1723.6416745105214,52.231565894258225,1883.7496668392937,57.08332323755435,,55,347628e26f13,-,none
BBRULE#1,1786990769-2609726,no chip (reference),0,true,2021-22,2020-21,6,33,5,false,1877,1513,36,3,56.878787878787875,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,32,0,,,1.5625,32,36,16,10,8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,,,,,,,,,,,1628.429639039166,49.346352698156544,1977.8463539329525,59.934737997968256,,55,eb89dd66c059,-,none
BBRULE#1,1786990769-2609726,no chip (reference),0,true,2022-23,2021-22,6,33,5,false,1823,1563,33,1,55.24242424242424,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,32,0,,,1.71875,32,33,13,7,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,0,0,,,,,,,,,,,1558.52870829949,47.22814267574212,1828.8561773594247,55.41988416240681,,55,1319d3d56d73,-,none
BBRULE#1,1786990769-2609726,no chip (reference),0,true,2023-24,2022-23,6,33,5,false,2082,1662,34,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,32,0,,,1.84375,32,34,12,5,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,0,0,,,,,,,,,,,1658.4344757989352,50.25559017572531,2057.0471584233787,62.334762376466024,,55,e4d98525659c,-,none
