sweep,run_id,key,value
BBRULE#1,1786990769-2609726,commit,e579f301b33ca980d06a87c8a9fb307dcedb646f
BBRULE#1,1786990769-2609726,dirty,false
BBRULE#1,1786990769-2609726,constants_digest,402be5b8e6d8
BBRULE#1,1786990769-2609726,bank_up_to,5
BBRULE#1,1786990769-2609726,season,2020-21<-2019-20
BBRULE#1,1786990769-2609726,season,2021-22<-2020-21
BBRULE#1,1786990769-2609726,season,2022-23<-2021-22
BBRULE#1,1786990769-2609726,season,2023-24<-2022-23
BBRULE#1,1786990769-2609726,season,2024-25<-2023-24
BBRULE#1,1786990769-2609726,season,2025-26<-2024-25
BBRULE#1,1786990769-2609726,start_gw,1
BBRULE#1,1786990769-2609726,start_gw,6
BBRULE#1,1786990769-2609726,start_gw,11
BBRULE#1,1786990769-2609726,start_gw,16
BBRULE#1,1786990769-2609726,start_gw,21
BBRULE#1,1786990769-2609726,start_gw,26
BBRULE#1,1786990769-2609726,declared_arm,0	no chip (reference)
BBRULE#1,1786990769-2609726,declared_arm,1	bench boost at entry+6
BBRULE#1,1786990769-2609726,declared_arm,2	bench boost by state rule
BBRULE#1,1786990769-2609726,constant,chip_plan.bench_boost_gameweek	8
BBRULE#1,1786990769-2609726,constant,chip_plan.free_hit_gameweek	16
BBRULE#1,1786990769-2609726,constant,chip_plan.triple_captain_gameweek	9
BBRULE#1,1786990769-2609726,constant,chip_plan.wildcard_gameweek	6
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.BRE[0].start_date	2026-08-26
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.CHE[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.CHE[0].match_dates	6 items, sha f7a87904"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.CHE[0].note	enters at round two
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.CHE[0].start_date	2026-08-26
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.COV[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.COV[0].match_dates	6 items, sha f7a87904"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.COV[0].note	enters at round two
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.COV[0].start_date	2026-08-26
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.CRY[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.CRY[0].match_dates	5 items, sha 3f0a0705"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.CRY[0].note	enters at round three as a European qualifier
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.CRY[0].start_date	2026-09-15
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.EVE[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.EVE[0].match_dates	6 items, sha f7a87904"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.EVE[0].note	enters at round two
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.EVE[0].start_date	2026-08-26
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.FUL[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.FUL[0].match_dates	6 items, sha f7a87904"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.FUL[0].note	enters at round two
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.FUL[0].start_date	2026-08-26
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.HUL[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.HUL[0].match_dates	6 items, sha f7a87904"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.HUL[0].note	enters at round two
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.HUL[0].start_date	2026-08-26
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.IPS[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.IPS[0].match_dates	6 items, sha f7a87904"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.IPS[0].note	enters at round two
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.IPS[0].start_date	2026-08-26
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.LEE[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.LEE[0].match_dates	6 items, sha f7a87904"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.LEE[0].note	enters at round two
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.LEE[0].start_date	2026-08-26
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.LIV[0].competition	League Cup
BBRULE#1,1786990769-2609726,constant,"congestion.domestic_cup_campaigns.LIV[0].match_dates	5 items, sha 3f0a0705"
BBRULE#1,1786990769-2609726,constant,congestion.domestic_cup_campaigns.LIV[0].note	enters at round three as a European qualifier
