sweep,run_id,key,value
FREEVALUE#1,1786991554-2616786,commit,c4de5ce1e3bf3a1d599ba156036fabfcd64bd658
FREEVALUE#1,1786991554-2616786,dirty,false
FREEVALUE#1,1786991554-2616786,constants_digest,402be5b8e6d8
FREEVALUE#1,1786991554-2616786,bank_up_to,5
FREEVALUE#1,1786991554-2616786,season,2020-21<-2019-20
FREEVALUE#1,1786991554-2616786,season,2021-22<-2020-21
FREEVALUE#1,1786991554-2616786,season,2022-23<-2021-22
FREEVALUE#1,1786991554-2616786,season,2023-24<-2022-23
FREEVALUE#1,1786991554-2616786,season,2024-25<-2023-24
FREEVALUE#1,1786991554-2616786,season,2025-26<-2024-25
FREEVALUE#1,1786991554-2616786,start_gw,1
FREEVALUE#1,1786991554-2616786,start_gw,6
FREEVALUE#1,1786991554-2616786,start_gw,11
FREEVALUE#1,1786991554-2616786,start_gw,16
FREEVALUE#1,1786991554-2616786,start_gw,21
FREEVALUE#1,1786991554-2616786,start_gw,26
FREEVALUE#1,1786991554-2616786,declared_arm,0	free_value=2.0 (ships)
FREEVALUE#1,1786991554-2616786,declared_arm,1	free_value=1.0
FREEVALUE#1,1786991554-2616786,declared_arm,2	free_value=1.5
FREEVALUE#1,1786991554-2616786,declared_arm,3	free_value=3.0
FREEVALUE#1,1786991554-2616786,declared_arm,4	free_value=4.0
FREEVALUE#1,1786991554-2616786,constant,chip_plan.bench_boost_gameweek	8
FREEVALUE#1,1786991554-2616786,constant,chip_plan.free_hit_gameweek	16
FREEVALUE#1,1786991554-2616786,constant,chip_plan.triple_captain_gameweek	9
FREEVALUE#1,1786991554-2616786,constant,chip_plan.wildcard_gameweek	6
FREEVALUE#1,1786991554-2616786,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
FREEVALUE#1,1786991554-2616786,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
FREEVALUE#1,1786991554-2616786,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
FREEVALUE#1,1786991554-2616786,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
FREEVALUE#1,1786991554-2616786,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
FREEVALUE#1,1786991554-2616786,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
FREEVALUE#1,1786991554-2616786,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
FREEVALUE#1,1786991554-2616786,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
FREEVALUE#1,1786991554-2616786,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
FREEVALUE#1,1786991554-2616786,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
FREEVALUE#1,1786991554-2616786,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
FREEVALUE#1,1786991554-2616786,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
FREEVALUE#1,1786991554-2616786,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
FREEVALUE#1,1786991554-2616786,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
FREEVALUE#1,1786991554-2616786,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
FREEVALUE#1,1786991554-2616786,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
FREEVALUE#1,1786991554-2616786,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
FREEVALUE#1,1786991554-2616786,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
