sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2020-21,2019-20,1,38,5,false,2192,1711,43,7,57.68421052631579,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,37,0,,,1.2432432432432432,33,38,12,16,-9,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,,,,,,,,,,,1726.4583824322613,45.43311532716477,2201.9303362949922,57.94553516565769,,55,2aadee614ec1,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2021-22,2020-21,1,38,5,false,2230,1942,41,3,58.68421052631579,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,37,0,,,1.2162162162162162,33,36,14,10,1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,,,,,,,,,,,1931.8732187563267,50.83876891464018,2305.0258242957384,60.65857432357206,,55,2ee4dc9e44a7,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2022-23,2021-22,1,38,5,false,2108,1842,43,6,55.473684210526315,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,37,0,,,1.1891891891891893,33,39,9,14,-9,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,0,0,,,,,,,,,,,1851.9591496843016,48.73576709695531,2126.6565662176863,55.9646464794128,,55,fe5b3efc1102,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2023-24,2022-23,1,38,5,false,2316,1809,39,2,60.94736842105263,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,37,0,,,1.2432432432432432,33,33,12,6,8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,0,0,,,,,,,,,,,1848.0006352101223,48.63159566342427,2362.6573856018567,62.175194357943596,,55,7df5f95f1759,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2024-25,2023-24,1,38,5,false,2277,1847,39,4,59.921052631578945,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,37,0,,,2.081081081081081,33,37,12,10,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,,,,,,,,,,,1917.9934896667921,50.47351288596821,2279.6396046675723,59.99051591230453,,55,5062709cbae7,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2025-26,2024-25,1,38,5,false,2141,1514,37,2,56.3421052631579,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,37,0,,,1.3513513513513513,33,32,10,11,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,,,,,,,,,,,1575.5209560031244,41.46107778955591,2074.004244805953,54.57905907384087,,55,cdb305de770a,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2020-21,2019-20,6,33,5,false,1781,1634,38,7,53.96969696969697,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,32,0,,,1.1875,32,38,10,17,-15,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,,,,,,,,,,,1723.6416745105214,52.231565894258225,1883.7496668392937,57.08332323755435,,55,347628e26f13,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2021-22,2020-21,6,33,5,false,1877,1513,36,3,56.878787878787875,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,32,0,,,1.5625,32,36,16,10,8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,,,,,,,,,,,1628.429639039166,49.346352698156544,1977.8463539329525,59.934737997968256,,55,eb89dd66c059,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2022-23,2021-22,6,33,5,false,1823,1563,33,1,55.24242424242424,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,32,0,,,1.71875,32,33,13,7,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,0,0,,,,,,,,,,,1558.52870829949,47.22814267574212,1828.8561773594247,55.41988416240681,,55,1319d3d56d73,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2023-24,2022-23,6,33,5,false,2082,1662,34,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,32,0,,,1.84375,32,34,12,5,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,0,0,,,,,,,,,,,1658.4344757989352,50.25559017572531,2057.0471584233787,62.334762376466024,,55,e4d98525659c,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2024-25,2023-24,6,33,5,false,1958,1762,32,3,59.333333333333336,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,32,0,,,1.90625,32,32,15,4,14,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,,,,,,,,,,,1774.8051976947927,53.781975687720994,1989.1341348537692,60.27679196526573,,55,5f44285da178,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2025-26,2024-25,6,33,5,false,1845,1742,33,3,55.90909090909091,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,32,0,,,2.25,32,33,11,7,1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,,,,,,,,,,,1683.786208877141,51.023824511428515,1809.920164015288,54.84606557622085,,55,0dc2d2b17e58,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2020-21,2019-20,11,28,5,false,1609,1389,29,3,57.464285714285715,49.607142857142854,,,,,,,1387,49.535714285714285,1212,43.285714285714285,27,0,,,1.4444444444444444,27,29,7,12,-9,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,38,43,38,0,0,0,0,,,,,,,,,,,1484.3014469042141,53.01076596086479,1663.8457906844328,59.42306395301546,,55,dac65f49e6c3,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2021-22,2020-21,11,28,5,false,1615,1604,35,8,57.67857142857143,57.285714285714285,,,,,,,1632,58.285714285714285,1444,51.57142857142857,27,0,,,1.2222222222222223,27,35,13,7,8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,59,0,0,0,0,,,,,,,,,,,1602.0877101926003,57.217418221164294,1666.9937502400467,59.53549108000167,,55,b9a408253035,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2022-23,2021-22,11,28,5,false,1577,1548,31,4,56.32142857142857,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,27,0,,,1.8888888888888888,27,31,11,6,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,16,42,14,0,0,0,0,,,,,,,,,,,1484.6570035466896,53.02346441238177,1601.210335058528,57.18608339494743,,55,f82a462d3eb2,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2023-24,2022-23,11,28,5,false,1680,1424,28,1,60,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,27,0,,,1.5555555555555556,27,28,10,11,2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,21,0,0,0,0,,,,,,,,,,,1412.0616730355432,50.430774036983685,1744.394533496883,62.29980476774582,,55,025d70cb5565,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2024-25,2023-24,11,28,5,false,1796,1704,26,2,64.14285714285714,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,27,0,,,1.8888888888888888,27,26,16,6,19,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,8,0,0,0,0,,,,,,,,,,,1656.4013083792024,59.15718958497151,1743.5594955167742,62.26998198274193,,55,d7639030dcde,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2025-26,2024-25,11,28,5,false,1551,1489,25,1,55.392857142857146,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,27,0,,,2.5185185185185186,27,25,12,6,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,,,,,,,,,,,1489.4444416753352,53.19444434554769,1563.4866003406219,55.83880715502221,,55,b5c18c2f39b5,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2020-21,2019-20,16,23,5,false,1353,1189,25,3,58.82608695652174,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,22,0,,,1.6818181818181819,22,25,8,14,-12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,34,32,23,0,0,0,0,,,,,,,,,,,1229.9728241965981,53.47707931289557,1383.8286767621748,60.16646420705108,,55,38103e5146cf,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2021-22,2020-21,16,23,5,false,1331,1260,28,5,57.869565217391305,54.78260869565217,,,,,,,1278,55.56521739130435,1153,50.130434782608695,22,0,,,1.0454545454545454,22,28,11,7,4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,57,61,27,0,0,0,0,,,,,,,,,,,1299.404660675238,56.495854811966865,1395.862184481245,60.68966019483674,,55,88076620b267,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2022-23,2021-22,16,23,5,false,1364,1106,25,3,59.30434782608695,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,22,0,,,1.3181818181818181,22,25,10,6,8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,14,36,14,0,0,0,0,,,,,,,,,,,1120.5017860161925,48.71746895722576,1384.227109381085,60.183787364395,,55,f8a4e38b18ca,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2023-24,2022-23,16,23,5,false,1436,1077,25,3,62.43478260869565,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,22,0,,,1.4545454545454546,22,25,9,6,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,17,0,0,0,0,,,,,,,,,,,1097.4323663170342,47.71445070943627,1460.057899071733,63.480778220510125,,55,36f167db5055,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2024-25,2023-24,16,23,5,false,1407,1336,22,2,61.17391304347826,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,22,0,,,1.8181818181818181,22,22,11,6,12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,8,10,8,0,0,0,0,,,,,,,,,,,1341.1098827586973,58.30912533733466,1407.9519358103028,61.215301556969685,,55,35d18512b286,-,none
