sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
SCHEDFLOOR#1,1787072997-2775058,ON baseline,0,true,2020-21,2019-20,1,38,5,false,2217,1711,42,6,58.3421052631579,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,36,36,33,0,1.3333333333333333,32,37,15,13,-2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,26,6,19,8,,,,,,,,,,,1726.4583824322613,45.43311532716477,2257.7418307222997,59.414258703218415,,55,2aadee614ec1,-,none
SCHEDFLOOR#1,1787072997-2775058,ON baseline,0,true,2021-22,2020-21,1,38,5,false,2228,1942,41,4,58.63157894736842,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,36,36,32,0,1.25,32,36,9,12,-8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,36,26,26,6,,,,,,,,,,,1931.8732187563267,50.83876891464018,2326.1148189650426,61.21354786750112,,55,2ee4dc9e44a7,-,none
SCHEDFLOOR#1,1787072997-2775058,ON baseline,0,true,2022-23,2021-22,1,38,5,false,2142,1842,39,2,56.36842105263158,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,36,36,28,0,1.6388888888888888,32,35,17,4,17,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,29,6,34,18,,,,,,,,,,,1851.9591496843016,48.73576709695531,2180.0500157736346,57.36973725720091,,55,fe5b3efc1102,-,none
SCHEDFLOOR#1,1787072997-2775058,ON baseline,0,true,2023-24,2022-23,1,38,5,false,2335,1809,39,2,61.44736842105263,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,36,36,29,0,1.3611111111111112,32,33,10,6,5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,34,17,37,4,,,,,,,,,,,1848.0006352101223,48.63159566342427,2422.5599997170266,63.75157893992175,,55,7df5f95f1759,-,none
SCHEDFLOOR#1,1787072997-2775058,ON baseline,0,true,2024-25,2023-24,1,38,5,false,2385,1847,39,3,62.76315789473684,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,36,36,25,0,1.9722222222222223,32,37,11,8,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,33,3,0,0,,,,,,,,,,,1917.9934896667921,50.47351288596821,2370.795791538435,62.389362935221975,,55,5062709cbae7,-,none
SCHEDFLOOR#1,1787072997-2775058,ON baseline,0,true,2025-26,2024-25,1,38,5,false,2186,1514,37,3,57.526315789473685,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,36,36,28,0,1.4166666666666667,32,32,10,11,-1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,33,2,0,0,,,,,,,,,,,1575.5209560031244,41.46107778955591,2107.5539665343276,55.461946487745465,,55,cdb305de770a,-,none
SCHEDFLOOR#1,1787072997-2775058,ON baseline,0,true,2020-21,2019-20,6,33,5,false,1911,1634,37,6,57.90909090909091,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,31,31,29,0,1.1935483870967742,31,37,11,16,-10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,26,14,19,8,,,,,,,,,,,1723.6416745105214,52.231565894258225,1984.8978734197597,60.14842040665938,,55,347628e26f13,-,none
SCHEDFLOOR#1,1787072997-2775058,ON baseline,0,true,2021-22,2020-21,6,33,5,false,1935,1513,36,3,58.63636363636363,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,31,31,28,0,1.4838709677419355,31,36,9,14,-18,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,36,22,26,6,,,,,,,,,,,1628.429639039166,49.346352698156544,2029.983927750499,61.51466447728785,,55,eb89dd66c059,-,none
SCHEDFLOOR#1,1787072997-2775058,ON baseline,0,true,2022-23,2021-22,6,33,5,false,1816,1563,38,7,55.03030303030303,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,31,31,29,0,1.1935483870967742,31,38,16,8,12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,29,10,34,18,,,,,,,,,,,1558.52870829949,47.22814267574212,1837.579084336628,55.68421467686752,,55,1319d3d56d73,-,none
SCHEDFLOOR#1,1787072997-2775058,ON baseline,0,true,2023-24,2022-23,6,33,5,false,2105,1662,33,1,63.78787878787879,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,31,31,23,0,1.935483870967742,31,33,14,4,19,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,34,2,37,4,,,,,,,,,,,1658.4344757989352,50.25559017572531,2120.6928670648404,64.26342021408607,,55,e4d98525659c,-,none
