sweep,arm,season,start_gw,gw,n_moves,hit_net,out_played,wildcard_after,in_ids,hit,hold_net,hold_out_played,hold_weeks,out_was_captain
HITTUNE,"mgh3, flat (shipped)",2020-21,1,24,1,16,false,false,164,false,0,false,2,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,28,2,30,false,false,12|570,false,45,false,11,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,30,1,1,true,false,102,false,1,true,5,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,34,1,16,true,false,370,false,16,true,5,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,15,2,-8,false,false,308|224,false,5,false,7,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,17,2,13,true,false,272|344,true,38,false,4,true
HITTUNE,"mgh3, flat (shipped)",2020-21,1,4,2,20,true,false,514|519,false,97,true,35,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,8,2,29,false,false,202|494,true,151,false,31,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,20,1,-3,true,false,390,false,-15,true,11,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,29,1,-7,true,false,435,false,-5,true,3,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,36,2,-1,true,false,254|68,true,22,true,3,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,2,2,16,false,false,157|461,false,19,false,11,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,5,1,18,true,false,37,false,2,false,2,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,11,2,12,false,false,388|557,true,38,false,23,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,12,2,12,true,false,254|558,true,21,true,27,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,22,2,-25,true,false,259|37,false,23,true,17,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,23,1,29,true,false,271,false,29,true,5,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,6,1,-13,true,false,155,false,-10,true,2,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,31,1,-13,true,false,306,false,-13,true,5,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,33,1,-1,true,false,224,false,9,true,3,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,9,1,23,true,false,96,false,25,true,30,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,10,1,-15,true,false,272,false,14,true,2,true
HITTUNE,"mgh3, flat (shipped)",2020-21,1,21,1,27,true,false,276,false,0,false,1,true
HITTUNE,"mgh3, flat (shipped)",2020-21,1,26,2,48,false,false,388|373,false,54,true,13,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,32,1,24,true,false,155,false,21,true,7,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,7,1,-8,true,false,141,false,-26,true,4,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,35,1,-5,true,false,300,false,-5,true,4,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,16,2,46,false,false,277|302,true,153,true,23,true
HITTUNE,"mgh3, flat (shipped)",2020-21,1,13,1,5,true,false,325,false,-44,true,15,false
HITTUNE,"mgh3, flat (shipped)",2020-21,1,18,2,32,true,false,506|556,true,31,true,11,false
HITTUNE,"mgh3, flat (shipped)",2021-22,1,9,1,-2,true,false,96,false,-4,true,4,false
HITTUNE,"mgh3, flat (shipped)",2021-22,1,13,2,-12,true,false,230|482,false,-13,true,6,false
HITTUNE,"mgh3, flat (shipped)",2021-22,1,13,1,-14,true,false,142,false,-39,true,12,false
HITTUNE,"mgh3, flat (shipped)",2021-22,1,15,1,28,false,false,262,false,34,false,6,false
HITTUNE,"mgh3, flat (shipped)",2021-22,1,23,1,-11,true,false,679,false,-2,true,3,false
HITTUNE,"mgh3, flat (shipped)",2021-22,1,30,1,12,true,false,138,false,-7,true,9,false
HITTUNE,"mgh3, flat (shipped)",2021-22,1,35,2,-25,true,false,237|505,false,-21,false,4,false
HITTUNE,"mgh3, flat (shipped)",2021-22,1,31,1,17,true,false,341,false,17,true,6,false
HITTUNE,"mgh3, flat (shipped)",2021-22,1,32,2,18,true,false,265|259,true,10,true,7,false
HITTUNE,"mgh3, flat (shipped)",2021-22,1,5,1,18,false,false,413,false,0,false,1,false
HITTUNE,"mgh3, flat (shipped)",2021-22,1,17,1,15,false,false,422,false,15,false,6,false
