sweep,run_id,key,value
HITTUNE#1,1787091468-2822101,commit,a0877c2d2feec8e5314c3b3b0fbd0080773aa469
HITTUNE#1,1787091468-2822101,dirty,false
HITTUNE#1,1787091468-2822101,constants_digest,1b3ef345d407
HITTUNE#1,1787091468-2822101,bank_up_to,5
HITTUNE#1,1787091468-2822101,season,2020-21<-2019-20
HITTUNE#1,1787091468-2822101,season,2021-22<-2020-21
HITTUNE#1,1787091468-2822101,season,2022-23<-2021-22
HITTUNE#1,1787091468-2822101,season,2023-24<-2022-23
HITTUNE#1,1787091468-2822101,season,2024-25<-2023-24
HITTUNE#1,1787091468-2822101,season,2025-26<-2024-25
HITTUNE#1,1787091468-2822101,start_gw,1
HITTUNE#1,1787091468-2822101,start_gw,6
HITTUNE#1,1787091468-2822101,start_gw,11
HITTUNE#1,1787091468-2822101,start_gw,16
HITTUNE#1,1787091468-2822101,start_gw,21
HITTUNE#1,1787091468-2822101,start_gw,26
HITTUNE#1,1787091468-2822101,declared_arm,"0	mgh3, flat (shipped)"
HITTUNE#1,1787091468-2822101,declared_arm,"1	mgh4, flat"
HITTUNE#1,1787091468-2822101,declared_arm,"2	mgh5, flat"
HITTUNE#1,1787091468-2822101,declared_arm,"3	mgh6, flat"
HITTUNE#1,1787091468-2822101,declared_arm,"4	mgh3, floored machine"
HITTUNE#1,1787091468-2822101,declared_arm,5	no hits (wait)
HITTUNE#1,1787091468-2822101,constant,chip_plan.bench_boost_gameweek	8
HITTUNE#1,1787091468-2822101,constant,chip_plan.free_hit_gameweek	16
HITTUNE#1,1787091468-2822101,constant,chip_plan.triple_captain_gameweek	9
HITTUNE#1,1787091468-2822101,constant,chip_plan.wildcard_gameweek	6
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.BRE[0].start_date	2026-08-26
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.CHE[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.CHE[0].match_dates	6 items, sha f7a87904"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.CHE[0].note	enters at round two
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.CHE[0].start_date	2026-08-26
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.COV[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.COV[0].match_dates	6 items, sha f7a87904"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.COV[0].note	enters at round two
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.COV[0].start_date	2026-08-26
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.CRY[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.CRY[0].match_dates	5 items, sha 3f0a0705"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.CRY[0].note	enters at round three as a European qualifier
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.CRY[0].start_date	2026-09-15
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.EVE[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.EVE[0].match_dates	6 items, sha f7a87904"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.EVE[0].note	enters at round two
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.EVE[0].start_date	2026-08-26
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.FUL[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.FUL[0].match_dates	6 items, sha f7a87904"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.FUL[0].note	enters at round two
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.FUL[0].start_date	2026-08-26
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.HUL[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.HUL[0].match_dates	6 items, sha f7a87904"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.HUL[0].note	enters at round two
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.HUL[0].start_date	2026-08-26
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.IPS[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.IPS[0].match_dates	6 items, sha f7a87904"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.IPS[0].note	enters at round two
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.IPS[0].start_date	2026-08-26
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.LEE[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.LEE[0].match_dates	6 items, sha f7a87904"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.LEE[0].note	enters at round two
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.LEE[0].start_date	2026-08-26
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.LIV[0].competition	League Cup
HITTUNE#1,1787091468-2822101,constant,"congestion.domestic_cup_campaigns.LIV[0].match_dates	5 items, sha 3f0a0705"
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.LIV[0].note	enters at round three as a European qualifier
HITTUNE#1,1787091468-2822101,constant,congestion.domestic_cup_campaigns.LIV[0].start_date	2026-09-15
