season,band,n,sum_minutes,played60,played0
2020-21,nailed,2416,208302,2170,164
2020-21,likely starter,3070,189338,1986,834
2020-21,rotation risk,5801,184260,1897,3358
2020-21,squad player,5825,117146,1123,3852
2020-21,fringe,5121,31337,270,4405
2021-22,nailed,2240,194103,1998,167
2021-22,likely starter,2893,187954,1923,744
2021-22,rotation risk,5716,196964,1984,3152
2021-22,squad player,6781,118799,1098,4783
2021-22,fringe,4863,30610,262,4168
2022-23,nailed,2220,192801,2035,109
2022-23,likely starter,3187,197420,2082,795
2022-23,rotation risk,4333,176863,1795,1826
2022-23,squad player,8593,129340,1155,6012
2022-23,fringe,5846,30628,237,4981
2023-24,nailed,2208,184878,1999,125
2023-24,likely starter,3179,184932,1979,937
2023-24,rotation risk,6472,196339,2049,3681
2023-24,squad player,9642,127735,1170,6984
2023-24,fringe,6376,33750,255,5404
2024-25,nailed,2247,184675,2009,131
2024-25,likely starter,3279,199978,2188,774
2024-25,rotation risk,5941,189714,1989,3088
2024-25,squad player,8409,120437,1092,5809
2024-25,fringe,6551,32581,242,5536
2025-26,nailed,2325,190598,2076,143
2025-26,likely starter,3379,187944,2035,1036
2025-26,rotation risk,8673,194819,2021,5702
2025-26,squad player,8209,121382,1119,5646
2025-26,fringe,5911,32523,262,4949
