sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2020-21,2019-20,1,38,5,false,1963,1745,41,4,51.6578947368421,45.921052631578945,,,,,,,1751,46.078947368421055,1511,39.76315789473684,37,0,,,1.135135135135135,33,36,6,14,-13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,0,0,,,,,,,,,,,1745.3588179518977,45.930495209260464,2025.0699846640616,53.29131538589636,1.5,55,976c188c89f6,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2021-22,2020-21,1,38,5,false,2336,1910,44,7,61.473684210526315,50.26315789473684,,,,,,,1955,51.44736842105263,1660,43.68421052631579,37,0,,,1.2972972972972974,33,39,21,9,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,0,0,,,,,,,,,,,1907.2167596241975,50.189914726952566,2322.760854796969,61.12528565255182,1.5,55,c28ccc579d8f,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2022-23,2021-22,1,38,5,false,2086,1791,37,1,54.89473684210526,47.13157894736842,,,,,,,1794,47.21052631578947,1531,40.28947368421053,37,0,,,2.081081081081081,33,32,12,8,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,0,0,0,0,,,,,,,,,,,1785.6270185071526,46.99018469755665,2110.2671536265516,55.533346148067146,1.5,55,91a6546f699a,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2023-24,2022-23,1,38,5,false,2301,1589,37,0,60.55263157894737,41.81578947368421,,,,,,,1565,41.18421052631579,1354,35.63157894736842,37,0,,,1.8918918918918919,33,32,15,6,12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,0,0,0,0,,,,,,,,,,,1685.4186407640138,44.353122125368785,2341.3622793093673,61.61479682393072,1.5,55,c3c878900d0d,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2024-25,2023-24,1,38,5,false,2433,2108,33,1,64.02631578947368,55.473684210526315,,,,,,,2092,55.05263157894737,1746,45.94736842105263,37,0,,,1.9189189189189189,33,30,13,5,16,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,2056.8369542471496,54.12728826966183,2355.111527170072,61.97661913605452,1.5,55,0d76f53daee8,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2025-26,2024-25,1,38,5,false,2137,1490,36,1,56.23684210526316,39.21052631578947,,,,,,,1496,39.36842105263158,1342,35.31578947368421,37,0,,,1.5675675675675675,33,32,11,8,1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1554.0008063391663,40.894758061557006,2055.446430966109,54.09069555173971,1.5,55,d55010e72023,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2020-21,2019-20,6,33,5,false,1812,1545,38,6,54.90909090909091,46.81818181818182,,,,,,,1548,46.90909090909091,1362,41.27272727272727,32,0,,,1.125,32,38,13,11,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,0,0,,,,,,,,,,,1618.8072117267272,49.05476399171901,1830.3365358191215,55.46474350967035,1.5,55,cf965e9942be,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2021-22,2020-21,6,33,5,false,1952,1574,34,2,59.15151515151515,47.696969696969695,,,,,,,1610,48.78787878787879,1365,41.36363636363637,32,0,,,1.34375,32,34,12,10,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,0,0,,,,,,,,,,,1609.57570800674,48.77502145474969,2005.1657110550964,60.76259730469989,1.5,55,0e990ffa7a1d,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2022-23,2021-22,6,33,5,false,1815,1617,32,3,55,49,,,,,,,1556,47.15151515151515,1428,43.27272727272727,32,0,,,2.3125,32,32,15,5,17,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,0,0,0,0,,,,,,,,,,,1591.6131219208685,48.23070066426874,1797.0027682900939,54.45462934212406,1.5,55,11b61121eb6f,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2023-24,2022-23,6,33,5,false,2091,1736,32,0,63.36363636363637,52.60606060606061,,,,,,,1714,51.93939393939394,1496,45.333333333333336,32,0,,,2.0625,32,32,13,7,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,0,0,0,0,,,,,,,,,,,1730.7410004991327,52.4466969848222,2059.120351786757,62.397586417780516,1.5,55,ab5a706b9204,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2024-25,2023-24,6,33,5,false,2040,1746,28,0,61.81818181818182,52.90909090909091,,,,,,,1643,49.78787878787879,1487,45.06060606060606,32,0,,,3.15625,32,28,13,9,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1755.613847896406,53.20041963322443,2026.1513299359037,61.39852514957284,1.5,55,7d06f846b27d,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2025-26,2024-25,6,33,5,false,1973,1743,30,0,59.78787878787879,52.81818181818182,,,,,,,1663,50.39393939393939,1547,46.878787878787875,32,0,,,2.09375,32,30,5,11,-11,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1697.4225268293555,51.43704626755623,1885.0161016961551,57.12170005139864,1.5,55,135d9da53c17,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2020-21,2019-20,11,28,5,false,1593,1285,28,1,56.892857142857146,45.892857142857146,,,,,,,1280,45.714285714285715,1116,39.857142857142854,27,0,,,1.4444444444444444,27,28,6,13,-12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,38,43,38,0,0,0,0,0,0,,,,,,,,,,,1412.9613557803405,50.46290556358359,1636.3566856672,58.441310202400004,1.5,55,83613d5e2c60,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2021-22,2020-21,11,28,5,false,1693,1611,30,3,60.464285714285715,57.535714285714285,,,,,,,1639,58.535714285714285,1451,51.82142857142857,27,0,,,1.1851851851851851,27,30,12,4,12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,59,0,0,0,0,0,0,,,,,,,,,,,1607.3556448920162,57.405558746143434,1754.536340124715,62.66201214731125,1.5,55,522d3bf9c09c,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2022-23,2021-22,11,28,5,false,1692,1440,23,0,60.42857142857143,51.42857142857143,,,,,,,1379,49.25,1256,44.857142857142854,27,0,,,3.2222222222222223,27,23,10,5,12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,16,42,14,0,0,0,0,0,0,,,,,,,,,,,1441.2510653226186,51.473252332950665,1711.603852534024,61.12870901907229,1.5,55,918335b74323,-,none
bonusweight#1,1787958271-3930594,bonus_weight 1.5 — the evidence end of the schedule (SHIPS),0,true,2023-24,2022-23,11,28,5,false,1671,1428,27,0,59.67857142857143,51,,,,,,,1405,50.17857142857143,1247,44.535714285714285,27,0,,,1.5925925925925926,27,27,12,3,14,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,21,0,0,0,0,0,0,,,,,,,,,,,1416.7846694489685,50.5994524803203,1690.5178904222812,60.3756389436529,1.5,55,2a84996b516a,-,none
