season,rank,held,seen
2020-21,1,34,37
2020-21,2,31,37
2020-21,3,30,37
2020-21,4,29,37
2020-21,5,30,37
2020-21,6,28,37
2020-21,7,27,37
2020-21,8,24,37
2020-21,9,22,37
2020-21,10,20,37
2020-21,11,22,37
2021-22,1,36,37
2021-22,2,32,37
2021-22,3,32,37
2021-22,4,27,37
2021-22,5,30,37
2021-22,6,30,37
2021-22,7,28,37
2021-22,8,25,37
2021-22,9,26,37
2021-22,10,19,37
2021-22,11,17,37
2022-23,1,37,37
2022-23,2,36,37
2022-23,3,32,37
2022-23,4,32,37
2022-23,5,29,37
2022-23,6,23,37
2022-23,7,28,37
2022-23,8,30,37
2022-23,9,29,37
2022-23,10,32,37
2022-23,11,17,37
2023-24,1,32,37
2023-24,2,34,37
2023-24,3,30,37
2023-24,4,29,37
2023-24,5,28,37
2023-24,6,26,37
2023-24,7,25,37
2023-24,8,22,37
2023-24,9,25,37
2023-24,10,18,37
2023-24,11,20,37
2024-25,1,35,37
2024-25,2,31,37
2024-25,3,30,37
2024-25,4,30,37
2024-25,5,30,37
2024-25,6,33,37
2024-25,7,29,37
2024-25,8,27,37
2024-25,9,28,37
2024-25,10,26,37
2024-25,11,11,37
2025-26,1,35,37
2025-26,2,32,37
2025-26,3,32,37
2025-26,4,31,37
2025-26,5,30,37
2025-26,6,29,37
2025-26,7,28,37
2025-26,8,26,37
2025-26,9,18,37
2025-26,10,20,37
2025-26,11,11,37
