season,start,horizon_weeks,hold_points,hold_fixedcap_points,hold_oracle_points,weeks_total,weeks_oracle_differs,squad_hash
2020-21,1,38,1745,1751,1948,38,31,976c188c89f6
2020-21,6,33,1545,1548,1711,33,25,cf965e9942be
2020-21,11,28,1285,1280,1410,28,18,83613d5e2c60
2020-21,16,23,1143,1109,1261,23,18,76f119511c9e
2020-21,21,18,865,886,980,18,16,dc98d0376744
2020-21,26,13,634,642,720,13,11,1f8f3962f53a
2021-22,1,38,1882,1927,2102,38,33,72e1fb4887c5
2021-22,6,33,1574,1610,1761,33,26,0e990ffa7a1d
2021-22,11,28,1611,1639,1851,28,24,522d3bf9c09c
2021-22,16,23,1195,1213,1378,23,22,4e38281112ba
2021-22,21,18,918,936,1072,18,16,5e8988812401
2021-22,26,13,616,614,737,13,11,104b904736a7
2022-23,1,38,1791,1794,1988,38,31,091f1bdf2610
2022-23,6,33,1617,1556,1825,33,26,11b61121eb6f
2022-23,11,28,1440,1379,1609,28,21,918335b74323
2022-23,16,23,1143,1082,1246,23,14,5173c9132fbe
2022-23,21,18,1087,1083,1184,18,12,cb69466cfa17
2022-23,26,13,842,838,910,13,8,4efc8681974f
2023-24,1,38,1589,1565,1780,38,30,c3c878900d0d
2023-24,6,33,1736,1714,1922,33,23,ab5a706b9204
2023-24,11,28,1428,1405,1576,28,23,2a84996b516a
2023-24,16,23,1084,1084,1212,23,19,291eebc880a2
2023-24,21,18,914,904,1006,18,14,5c9bee1e51ad
2023-24,26,13,620,622,706,13,10,72c93b86408c
2024-25,1,38,2108,2092,2259,38,27,3dd3df924cb5
2024-25,6,33,1746,1643,1906,33,23,7d06f846b27d
2024-25,11,28,1663,1663,1763,28,17,280ed3df01d3
2024-25,16,23,1374,1374,1492,23,16,62aba3cd24f2
2024-25,21,18,961,961,1064,18,14,21839eb6c62a
2024-25,26,13,707,707,778,13,10,ecd4bb429175
2025-26,1,38,1490,1496,1718,38,36,d55010e72023
2025-26,6,33,1743,1663,1941,33,26,135d9da53c17
2025-26,11,28,1499,1471,1639,28,21,646654971306
2025-26,16,23,1307,1308,1432,23,18,439f261a429b
2025-26,21,18,950,927,1034,18,16,0f8336277f6d
2025-26,26,13,755,756,817,13,11,619e7d9ddf99
