season,start,horizon_weeks,hold_points,hold_fixedcap_points,hold_oracle_points,weeks_total,weeks_oracle_differs,squad_hash
2020-21,1,38,1745,1751,1948,38,31,976c188c89f6
2020-21,6,33,1568,1560,1733,33,26,ee0588793a4a
2020-21,11,28,1285,1280,1413,28,19,83613d5e2c60
2020-21,16,23,1153,1119,1274,23,18,f54920bb283a
2020-21,21,18,865,886,980,18,16,dc98d0376744
2020-21,26,13,634,642,720,13,11,1f8f3962f53a
2021-22,1,38,1909,1954,2129,38,33,4dc429b383e7
2021-22,6,33,1593,1629,1781,33,27,32166dd6f0ce
2021-22,11,28,1584,1612,1818,28,25,d0e5fe9a745d
2021-22,16,23,1236,1254,1417,23,22,39a9f3bccd42
2021-22,21,18,918,936,1072,18,16,5e8988812401
2021-22,26,13,635,640,746,13,13,f33bc1686b2c
2022-23,1,38,1640,1647,1846,38,30,ef45f374a57a
2022-23,6,33,1512,1451,1700,33,26,6f998861c49c
2022-23,11,28,1543,1482,1732,28,22,70d404fad1c4
2022-23,16,23,1104,1043,1213,23,13,5805d11ba9ff
2022-23,21,18,1112,1108,1206,18,13,a76c25d31cf5
2022-23,26,13,838,834,906,13,8,4787b73f4089
2023-24,1,38,1589,1565,1780,38,30,c3c878900d0d
2023-24,6,33,1736,1714,1922,33,23,ab5a706b9204
2023-24,11,28,1428,1405,1576,28,23,2a84996b516a
2023-24,16,23,1084,1084,1212,23,19,291eebc880a2
2023-24,21,18,914,904,1006,18,14,5c9bee1e51ad
2023-24,26,13,620,622,706,13,10,72c93b86408c
2024-25,1,38,2108,2092,2259,38,27,3dd3df924cb5
2024-25,6,33,1746,1643,1906,33,23,7d06f846b27d
2024-25,11,28,1663,1663,1763,28,17,280ed3df01d3
2024-25,16,23,1374,1374,1492,23,16,62aba3cd24f2
2024-25,21,18,961,961,1064,18,14,21839eb6c62a
2024-25,26,13,707,707,778,13,10,ecd4bb429175
2025-26,1,38,1490,1496,1718,38,36,d55010e72023
2025-26,6,33,1743,1663,1941,33,26,135d9da53c17
2025-26,11,28,1499,1471,1639,28,21,646654971306
2025-26,16,23,1307,1308,1432,23,18,439f261a429b
2025-26,21,18,950,927,1034,18,16,0f8336277f6d
2025-26,26,13,755,756,817,13,11,619e7d9ddf99
