match_id,match_date,team,minute,xg,shot_type,outcome
3753972,2015-11-21,AFC Bournemouth,3,0.115552,Open Play,Off T
3753972,2015-11-21,AFC Bournemouth,8,0.006542,Open Play,Blocked
3753972,2015-11-21,AFC Bournemouth,9,0.550618,Open Play,Goal
3753972,2015-11-21,Swansea City,11,0.219957,Open Play,Saved
3753972,2015-11-21,Swansea City,11,0.033228,Open Play,Wayward
3753972,2015-11-21,Swansea City,11,0.244186,Open Play,Saved
3753972,2015-11-21,AFC Bournemouth,16,0.176922,Open Play,Saved
3753972,2015-11-21,AFC Bournemouth,25,0.193089,Open Play,Goal
3753972,2015-11-21,Swansea City,27,0.032118,Open Play,Blocked
3753972,2015-11-21,Swansea City,27,0.410227,Open Play,Goal
3753972,2015-11-21,Swansea City,30,0.113072,Open Play,Blocked
3753972,2015-11-21,Swansea City,38,0.783500,Penalty,Goal
3753972,2015-11-21,AFC Bournemouth,40,0.029836,Open Play,Blocked
3753972,2015-11-21,AFC Bournemouth,46,0.058666,Open Play,Blocked
3753972,2015-11-21,AFC Bournemouth,51,0.021993,Open Play,Saved
3753972,2015-11-21,AFC Bournemouth,59,0.062887,Open Play,Off T
3753972,2015-11-21,AFC Bournemouth,60,0.061185,Open Play,Blocked
3753972,2015-11-21,AFC Bournemouth,61,0.100907,Open Play,Wayward
3753972,2015-11-21,Swansea City,68,0.109316,Open Play,Blocked
3753972,2015-11-21,AFC Bournemouth,72,0.070031,Open Play,Off T
3753972,2015-11-21,AFC Bournemouth,73,0.060181,Open Play,Blocked
3753972,2015-11-21,AFC Bournemouth,75,0.033740,Open Play,Blocked
3753972,2015-11-21,AFC Bournemouth,75,0.008251,Open Play,Off T
3753972,2015-11-21,Swansea City,76,0.018407,Open Play,Blocked
3753972,2015-11-21,Swansea City,80,0.035747,Open Play,Blocked
3753972,2015-11-21,Swansea City,82,0.019940,Open Play,Off T
3753972,2015-11-21,Swansea City,85,0.126623,Open Play,Blocked
3753972,2015-11-21,AFC Bournemouth,87,0.115622,Open Play,Wayward
3753972,2015-11-21,AFC Bournemouth,87,0.124861,Open Play,Off T
3753973,2016-03-19,Chelsea,8,0.017029,Open Play,Saved
3753973,2016-03-19,West Ham United,10,0.069263,Open Play,Saved
3753973,2016-03-19,West Ham United,16,0.032675,Open Play,Goal
3753973,2016-03-19,West Ham United,18,0.026000,Open Play,Blocked
3753973,2016-03-19,Chelsea,21,0.042360,Open Play,Off T
3753973,2016-03-19,West Ham United,21,0.026032,Open Play,Off T
3753973,2016-03-19,West Ham United,23,0.076871,Open Play,Wayward
3753973,2016-03-19,Chelsea,24,0.035673,Open Play,Off T
3753973,2016-03-19,Chelsea,27,0.040328,Open Play,Blocked
3753973,2016-03-19,Chelsea,29,0.110444,Open Play,Saved
3753973,2016-03-19,West Ham United,30,0.078850,Open Play,Blocked
3753973,2016-03-19,Chelsea,40,0.036702,Free Kick,Off T
3753973,2016-03-19,Chelsea,47,0.067772,Free Kick,Goal
3753973,2016-03-19,Chelsea,49,0.169262,Open Play,Off T
3753973,2016-03-19,Chelsea,51,0.027579,Open Play,Blocked
3753973,2016-03-19,West Ham United,56,0.016257,Open Play,Post
3753973,2016-03-19,Chelsea,60,0.043587,Open Play,Saved
3753973,2016-03-19,West Ham United,60,0.241011,Open Play,Goal
3753973,2016-03-19,Chelsea,64,0.084986,Open Play,Blocked
3753973,2016-03-19,West Ham United,65,0.015922,Open Play,Blocked
3753973,2016-03-19,Chelsea,67,0.325681,Open Play,Off T
3753973,2016-03-19,Chelsea,70,0.042302,Open Play,Blocked
3753973,2016-03-19,Chelsea,71,0.090675,Open Play,Off T
3753973,2016-03-19,Chelsea,73,0.066321,Open Play,Blocked
3753973,2016-03-19,Chelsea,73,0.088721,Open Play,Off T
3753973,2016-03-19,Chelsea,75,0.080288,Open Play,Off T
3753973,2016-03-19,West Ham United,77,0.064970,Open Play,Blocked
3753973,2016-03-19,West Ham United,78,0.083968,Open Play,Saved
3753973,2016-03-19,Chelsea,80,0.064231,Open Play,Blocked
3753973,2016-03-19,Chelsea,81,0.071900,Open Play,Off T
3753973,2016-03-19,Chelsea,83,0.029433,Open Play,Off T
3753973,2016-03-19,West Ham United,86,0.109366,Open Play,Blocked
3753973,2016-03-19,Chelsea,88,0.783500,Penalty,Goal
3753973,2016-03-19,West Ham United,92,0.045233,Free Kick,Saved
3753973,2016-03-19,Chelsea,94,0.086545,Open Play,Off T
3753974,2015-12-26,Everton,5,0.049471,Free Kick,Off T
3753974,2015-12-26,Everton,6,0.080075,Open Play,Saved
3753974,2015-12-26,Everton,18,0.095000,Open Play,Saved
3753974,2015-12-26,Newcastle United,24,0.255437,Open Play,Off T
3753974,2015-12-26,Everton,25,0.027555,Open Play,Off T
3753974,2015-12-26,Everton,27,0.147257,Open Play,Saved
3753974,2015-12-26,Newcastle United,29,0.082255,Open Play,Off T
3753974,2015-12-26,Newcastle United,36,0.053979,Open Play,Off T
3753974,2015-12-26,Everton,42,0.027854,Free Kick,Blocked
3753974,2015-12-26,Everton,44,0.047247,Open Play,Off T
3753974,2015-12-26,Newcastle United,52,0.053950,Open Play,Blocked
3753974,2015-12-26,Everton,55,0.121254,Open Play,Blocked
3753974,2015-12-26,Everton,56,0.240094,Open Play,Saved
3753974,2015-12-26,Everton,56,0.036730,Open Play,Blocked
3753974,2015-12-26,Everton,58,0.041154,Open Play,Saved
3753974,2015-12-26,Everton,62,0.034111,Open Play,Blocked
3753974,2015-12-26,Everton,62,0.039182,Open Play,Blocked
3753974,2015-12-26,Everton,67,0.036130,Open Play,Blocked
3753974,2015-12-26,Everton,67,0.075053,Open Play,Blocked
3753974,2015-12-26,Newcastle United,70,0.061894,Open Play,Off T
3753974,2015-12-26,Newcastle United,72,0.135774,Open Play,Off T
3753974,2015-12-26,Everton,73,0.028843,Open Play,Blocked
3753974,2015-12-26,Newcastle United,75,0.474047,Open Play,Saved
3753974,2015-12-26,Newcastle United,75,0.035794,Open Play,Blocked
3753974,2015-12-26,Newcastle United,76,0.040103,Open Play,Blocked
3753974,2015-12-26,Everton,77,0.088077,Open Play,Saved
3753974,2015-12-26,Everton,77,0.458349,Open Play,Off T
3753974,2015-12-26,Everton,79,0.052349,Open Play,Off T
3753974,2015-12-26,Newcastle United,86,0.028059,Open Play,Off T
3753974,2015-12-26,Everton,92,0.080483,Open Play,Goal
3753975,2016-01-23,AFC Bournemouth,5,0.048579,Open Play,Saved
3753975,2016-01-23,AFC Bournemouth,12,0.086097,Open Play,Goal
3753975,2016-01-23,AFC Bournemouth,16,0.062269,Open Play,Blocked
3753975,2016-01-23,AFC Bournemouth,18,0.078782,Open Play,Off T
3753975,2016-01-23,AFC Bournemouth,21,0.060801,Open Play,Saved
3753975,2016-01-23,AFC Bournemouth,24,0.020613,Open Play,Saved
3753975,2016-01-23,AFC Bournemouth,25,0.085699,Open Play,Saved
3753975,2016-01-23,AFC Bournemouth,27,0.021886,Open Play,Off T
3753975,2016-01-23,Sunderland,33,0.032692,Open Play,Saved
3753975,2016-01-23,AFC Bournemouth,39,0.038616,Open Play,Off T
3753975,2016-01-23,Sunderland,40,0.031105,Open Play,Blocked
3753975,2016-01-23,Sunderland,44,0.042076,Open Play,Saved
3753975,2016-01-23,Sunderland,45,0.095796,Open Play,Goal
3753975,2016-01-23,AFC Bournemouth,48,0.105215,Open Play,Off T
3753975,2016-01-23,Sunderland,53,0.014200,Open Play,Saved
3753975,2016-01-23,Sunderland,55,0.035848,Open Play,Off T
3753975,2016-01-23,Sunderland,57,0.088127,Open Play,Saved
3753975,2016-01-23,AFC Bournemouth,62,0.045186,Open Play,Wayward
3753975,2016-01-23,AFC Bournemouth,65,0.023482,Open Play,Off T
3753975,2016-01-23,Sunderland,72,0.075367,Open Play,Blocked
3753975,2016-01-23,Sunderland,72,0.045025,Open Play,Blocked
3753975,2016-01-23,AFC Bournemouth,79,0.045721,Open Play,Blocked
3753975,2016-01-23,AFC Bournemouth,82,0.448389,Open Play,Off T
3753975,2016-01-23,Sunderland,87,0.029812,Open Play,Blocked
3753975,2016-01-23,AFC Bournemouth,92,0.011635,Open Play,Blocked
3753976,2016-03-02,Arsenal,2,0.161641,Open Play,Blocked
3753976,2016-03-02,Arsenal,2,0.014114,Open Play,Off T
3753976,2016-03-02,Arsenal,6,0.142100,Open Play,Blocked
3753976,2016-03-02,Arsenal,10,0.070409,Open Play,Post
3753976,2016-03-02,Arsenal,14,0.012113,Open Play,Blocked
3753976,2016-03-02,Arsenal,14,0.214901,Open Play,Goal
3753976,2016-03-02,Swansea City,16,0.034159,Open Play,Blocked
3753976,2016-03-02,Swansea City,16,0.007373,Open Play,Blocked
3753976,2016-03-02,Arsenal,24,0.045308,Open Play,Blocked
3753976,2016-03-02,Arsenal,24,0.016068,Open Play,Saved
3753976,2016-03-02,Swansea City,25,0.046429,Open Play,Off T
3753976,2016-03-02,Swansea City,27,0.015065,Open Play,Blocked
3753976,2016-03-02,Arsenal,29,0.009894,Open Play,Saved
3753976,2016-03-02,Swansea City,31,0.281844,Open Play,Goal
3753976,2016-03-02,Arsenal,40,0.227553,Open Play,Post
3753976,2016-03-02,Arsenal,48,0.027099,Open Play,Blocked
3753976,2016-03-02,Swansea City,50,0.013202,Open Play,Blocked
3753976,2016-03-02,Swansea City,54,0.047946,Open Play,Off T
3753976,2016-03-02,Arsenal,56,0.062617,Open Play,Off T
3753976,2016-03-02,Swansea City,61,0.024516,Open Play,Blocked
3753976,2016-03-02,Swansea City,64,0.190984,Open Play,Off T
3753976,2016-03-02,Arsenal,67,0.046720,Free Kick,Post
3753976,2016-03-02,Swansea City,73,0.501922,Open Play,Goal
3753976,2016-03-02,Arsenal,75,0.032870,Open Play,Saved
3753976,2016-03-02,Arsenal,79,0.097808,Open Play,Off T
