season,start_gw,diff
2020-21,1,0.0
2020-21,11,8.0
2020-21,16,-6.0
2020-21,21,-1.0
2020-21,26,3.0
2020-21,6,-16.0
2021-22,1,0.0
2021-22,11,-96.0
2021-22,16,11.0
2021-22,21,-17.0
2021-22,26,3.0
2021-22,6,-7.0
2022-23,1,1.0
2022-23,11,-26.0
2022-23,16,186.0
2022-23,21,-18.0
2022-23,26,0.0
2022-23,6,-68.0
2023-24,1,0.0
2023-24,11,-17.0
2023-24,16,1.0
2023-24,21,62.0
2023-24,26,45.0
2023-24,6,5.0
2024-25,1,0.0
2024-25,11,0.0
2024-25,16,11.0
2024-25,21,-52.0
2024-25,26,11.0
2024-25,6,0.0
2025-26,1,0.0
2025-26,11,7.0
2025-26,16,-5.0
2025-26,21,-17.0
2025-26,26,54.0
2025-26,6,-62.0
