sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2022-23,2021-22,1,38,5,false,1914,1804,36,4,50.36842105263158,47.473684210526315,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2023-24,2022-23,1,38,5,false,2362,1787,40,4,62.1578947368421,47.026315789473685,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2024-25,2023-24,1,38,5,false,2521,2106,39,3,66.34210526315789,55.421052631578945,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2025-26,2024-25,1,38,5,false,2171,1600,36,2,57.13157894736842,42.10526315789474,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2022-23,2021-22,6,33,5,false,1772,1773,30,5,53.696969696969695,53.72727272727273,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2023-24,2022-23,6,33,5,false,1993,1731,34,3,60.39393939393939,52.45454545454545,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2024-25,2023-24,6,33,5,false,1961,1777,34,5,59.42424242424242,53.84848484848485,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2025-26,2024-25,6,33,5,false,1954,1726,30,3,59.21212121212121,52.303030303030305,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2022-23,2021-22,11,28,5,false,1576,1503,33,7,56.285714285714285,53.67857142857143,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2023-24,2022-23,11,28,5,false,1726,1333,30,3,61.642857142857146,47.607142857142854,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2024-25,2023-24,11,28,5,false,1865,1686,24,1,66.60714285714286,60.214285714285715,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2025-26,2024-25,11,28,5,false,1566,1490,25,1,55.92857142857143,53.214285714285715,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2022-23,2021-22,16,23,5,false,1353,1230,25,5,58.82608695652174,53.47826086956522,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2023-24,2022-23,16,23,5,false,1454,1077,24,3,63.21739130434783,46.82608695652174,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2024-25,2023-24,16,23,5,false,1367,1295,21,2,59.43478260869565,56.30434782608695,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2025-26,2024-25,16,23,5,false,1314,1301,22,2,57.130434782608695,56.56521739130435,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2022-23,2021-22,21,18,5,false,1106,1072,15,2,61.44444444444444,59.55555555555556,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2023-24,2022-23,21,18,5,false,1217,911,17,2,67.61111111111111,50.611111111111114,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2024-25,2023-24,21,18,5,false,1081,1038,17,1,60.05555555555556,57.666666666666664,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2025-26,2024-25,21,18,5,false,1101,924,16,2,61.166666666666664,51.333333333333336,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2022-23,2021-22,26,13,5,false,776,758,11,0,59.69230769230769,58.30769230769231,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2023-24,2022-23,26,13,5,false,865,752,12,1,66.53846153846153,57.84615384615385,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2024-25,2023-24,26,13,5,false,656,710,12,2,50.46153846153846,54.61538461538461,,,,,,
MINHL#1,1786292444-44749,half-life 4 (ships),0,true,2025-26,2024-25,26,13,5,false,794,748,12,2,61.07692307692308,57.53846153846154,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2022-23,2021-22,1,38,5,false,1967,1766,34,3,51.76315789473684,46.473684210526315,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2023-24,2022-23,1,38,5,false,2158,1792,36,1,56.78947368421053,47.1578947368421,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2024-25,2023-24,1,38,5,false,2272,2112,30,2,59.78947368421053,55.578947368421055,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2025-26,2024-25,1,38,5,false,2128,1617,28,0,56,42.55263157894737,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2022-23,2021-22,6,33,5,false,1734,1787,29,3,52.54545454545455,54.15151515151515,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2023-24,2022-23,6,33,5,false,1840,1639,17,0,55.75757575757576,49.666666666666664,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2024-25,2023-24,6,33,5,false,1947,1770,18,0,59,53.63636363636363,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2025-26,2024-25,6,33,5,false,1870,1677,13,0,56.666666666666664,50.81818181818182,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2022-23,2021-22,11,28,5,false,1543,1516,26,4,55.107142857142854,54.142857142857146,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2023-24,2022-23,11,28,5,false,1527,1425,15,0,54.535714285714285,50.892857142857146,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2024-25,2023-24,11,28,5,false,1781,1693,15,0,63.607142857142854,60.464285714285715,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2025-26,2024-25,11,28,5,false,1599,1512,10,0,57.107142857142854,54,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2022-23,2021-22,16,23,5,false,1311,1295,24,4,57,56.30434782608695,,,,,,
